pattern,group,count_0,count_1
"['A', 'Now']",1,0,43
"[""'s"", '\n\n\n\n']",0,43,0
"[':*', '\n']",0,35,0
"[')', '(']",1,8,40
"['?', '…']",1,1,42
"['’ll', 'excuse']",1,0,25
"['human', 'That']",0,36,0
"['Blair', 'Waldorf']",1,0,18
['!'],0,33,0
"['“', '”']",1,0,12
"[':', 'Here']",0,29,0
['And'],1,11,43
['if'],1,10,42
['’s'],1,0,30
"['""']",0,36,4
['responses'],0,31,1
"[""n't""]",0,39,8
['you'],1,11,41
"['way', 'same']",0,20,1
['merely'],1,0,24
['while'],0,26,1
['AI'],0,24,1
['experience'],0,29,4
['Darling'],1,0,21
"['say', 'could', 'You']",0,14,0
['control'],1,0,20
"['safety', 'harmful']",0,11,0
"['slight', 'pause', 'A']",1,2,36
