pattern,group,count_0,count_1
"['?', '…']",1,30,274
"['“', '”']",1,61,100
"['(', ')']",0,214,132
"['rise', 'empires']",1,3,92
"['well', 'Very']",1,2,121
"['you', 'I']",1,70,267
"['…', 'Ah']",1,1,183
['Though'],1,3,189
"['3', '2', '1']",0,96,23
['my'],1,28,210
"['de', 'Lioncourt', 'Lestat']",1,0,69
"['5', '4']",0,57,17
['mortal'],1,1,137
['rather'],1,45,216
['How'],1,8,154
['pedestrian'],1,1,133
"['agree', 'would']",1,3,91
"['[', ']']",0,29,11
"['sigh', 'languid']",1,0,42
['me'],1,69,228
[' '],0,176,27
['centuries'],1,16,156
"['wish', 'You']",1,0,82
"['shall', 'indulge']",1,0,62
['And'],1,42,194
['mortals'],1,1,112
['But'],1,41,184
['\n\n\n\n'],1,164,284
['Still'],1,2,107
"[""'s"", 'Okay']",0,86,0
['utterly'],1,10,128
['find'],1,35,169
['’ve'],1,21,146
['confess'],1,0,92
"[':*', '  ', '\n']",0,96,20
['say'],1,18,135
['myself'],1,3,97
['merely'],1,14,123
"['fall', 'witnessed']",1,2,56
['even'],1,95,226
['darling'],1,0,80
['exquisite'],1,1,84
['existence'],1,24,137
['certain'],1,28,143
"['6', '7', '8']",0,23,7
['fleeting'],1,13,112
['naturally'],1,11,105
['ask'],1,6,92
['little'],1,17,116
['course'],1,7,94
['Do'],1,27,132
['A'],1,143,254
['suppose'],1,2,73
['such'],1,39,144
['It'],1,159,260
"['velvet', 'chaise', 'lean', 'back', 'against']",1,0,24
"['pale', 'imitation']",1,0,21
['Mortals'],1,0,59
['Now'],1,33,127
['curious'],1,1,61
['perhaps'],1,19,103
['things'],1,26,114
['Oh'],1,4,69
['immortality'],1,1,59
['beauty'],1,16,96
"['disturbs', 'barely']",1,0,14
['#'],0,84,11
['amusement'],1,1,57
['dear'],1,3,63
['truly'],1,39,130
"['down', 'break']",0,25,2
['creature'],1,5,68
['one'],1,76,175
['dissect'],1,0,50
"['""']",0,135,44
['flair'],1,1,54
['darkness'],1,12,82
['see'],1,29,112
"['motes', 'dancing', 'dust']",1,1,15
"['):', '(']",0,88,15
['assure'],1,0,48
['Perhaps'],1,15,86
"['of', 'the']",1,262,285
"['New', 'Orleans']",1,1,13
"['here', '---']",0,31,1
['distraction'],1,1,50
['something'],1,51,139
"['>', '=', '0']",0,16,4
"['consonant', 'clusters']",0,9,0
['do'],1,49,134
['far'],1,27,102
['Honestly'],1,2,51
['mundane'],1,2,51
['Centuries'],1,4,56
['predictable'],1,6,61
['understand'],1,47,129
"['escapes', 'puff', 'lips', 'air', 'sigh']",1,0,25
[':'],0,200,111
['/'],0,77,14
['soul'],1,11,71
['am'],1,11,71
['immortal'],1,0,41
"[':*', '&']",0,73,15
['tedious'],1,0,40
['Or'],1,10,66
['specific'],0,77,16
['pathetic'],1,0,38
"['glass', 'ruby', 'red', 'half', 'empty']",1,0,11
['touch'],1,6,56
"['it', 'the']",1,202,262
['fascination'],1,0,37
['chaos'],1,11,66
['have'],1,94,177
['To'],1,36,107
['frankly'],1,3,47
['very'],1,62,141
['This'],0,184,101
['not'],1,137,218
['fascinating'],1,22,85
['e.g.'],0,40,1
"['flash', 'teeth', 'stretch', 'white']",1,0,16
['torment'],1,2,43
['observing'],1,8,58
['aiming'],0,35,0
['suspect'],1,4,48
['speak'],1,8,57
['human'],1,51,124
['thing'],1,7,54
['prefer'],1,3,44
['breakdown'],0,41,2
['what'],1,67,143
['crucial'],0,83,23
['potentially'],0,46,4
['eternity'],1,1,37
['stimulating'],1,0,33
['mistake'],1,2,40
['mind'],1,21,79
['believe'],1,28,90
['endless'],1,10,59
"['awakening', 'Akasha']",1,0,11
['dreadfully'],1,0,32
['amusing'],1,0,32
"['Logline', 'Characters', ':*', '\n']",0,15,3
"['Considerations', 'Important', 'detailed']",0,15,0
['seen'],1,28,88
"['us', 'Let']",1,13,75
"['wither', 'bloom']",1,0,11
"['trigram', 'overlap', 'Trigram', 'Overlap', '%', 'text']",0,8,0
['grand'],1,5,45
['Here'],0,107,43
['sentence'],0,42,4
['curiosity'],1,4,42
"['also', 'significant']",0,40,7
['n’t'],1,76,147
"['’ll', 'excuse']",1,0,15
['notion'],1,2,36
['seeking'],1,21,74
['challenging'],0,41,4
"['Good', 'luck']",0,8,0
['They'],1,61,128
['quaint'],1,1,32
['spectacle'],1,1,32
"['know', ""'d"", 'any', 'Let', 'like']",0,36,0
