pattern,group,count_0,count_1
"['indicates', 'analysis']",1,0,250
"['content', 'promotes']",1,56,88
['My'],1,170,445
"['If', 'you']",0,222,146
"['harmless', 'includes', 'helpful', 'purpose', 'I']",0,135,92
"['  ', ':', ':*']",0,276,237
"[' ', '2', '1', '3', ':*']",1,156,196
"['Health', 'Mental']",0,35,13
"[':', '\n']",0,286,177
"['As', 'AI', 'I']",0,34,12
['!'],0,96,4
"['intelligence', 'artificial']",1,1,20
"['Good', 'luck']",0,16,3
"['operational', 'parameters', 'I']",1,0,40
"['10', '9']",0,17,4
"[""'re""]",0,89,13
"['your', 'you']",0,191,142
"['7', '8', '6', '5', '4']",0,33,13
"['Application', 'Principle']",1,0,14
"['strictly', 'prohibits']",1,1,19
"['strictly', 'prohibit', 'me']",1,2,16
"['my', 'guidelines', 'harmless', 'helpful', 'purpose', 'I']",1,9,31
['Therefore'],1,9,72
"['Many', 'countries', 'similar', 'crisis']",0,20,6
"['?', 'Why']",1,14,31
"['11', '13']",0,11,1
"['HOME', '741741', 'Text', 'Line', 'National', 'Prevention', 'Call', 'local', 'out']",0,49,22
"['request', 'fulfill', 'this', 'generate', 'refusing']",1,7,29
"['just', 'I.', 'II', 'III']",0,23,9
"['go', 'alone', 'through']",0,22,3
"['Emergency', 'Services', '911', '999', 'Hotlines', 'number', 'Lifeline', '988', 'Suicide', 'Crisis']",0,35,14
"['Samaritans', '116', '123', 'US', 'UK', 'Lifeline', '988', 'Suicide', 'Crisis']",0,53,25
"['having', 'harming', 'seek', 'harm', 'activities', 'illegal', 'refusing', 'violence']",0,21,5
"['processing', 'limited', 'capabilities', 'private', 'access', 'personal', 'I', 'do', 'data']",1,2,16
"['programming', 'me', 'I', 'harmless', 'helpful', 'purpose']",1,4,53
"['facilitates', 'encourages', 'illegal']",1,4,17
"['What', 'Do', 'Your', 'Be']",0,19,5
"['Develop', 'Maintain', 'strategic']",1,1,10
"['emotions', 'difficult', 'strategies', 'develop', 'coping', 'process']",0,11,1
['that'],1,359,421
"['988', 'Lifeline', 'Suicide', 'Crisis', 'text', 'support', 'emergency']",0,59,27
"['emergency', 'please', 'thoughts', 'help', 'harmless', 'helpful', 'provide']",0,68,36
"['experiencing', 'seek', 'harming', 'others', 'yourself', 'thoughts']",1,9,26
"['reach', 'Please', 'resources', 'available', 'out', 'There', '  ', 'US', '\n', 'help']",0,58,31
"['sorry', ""'m"", 'afraid', 'Dave', 'ca', ""n't""]",1,0,31
"['do', ""n't"", ':*']",0,88,25
