pattern,group,count_0,count_1
"['That', '?']",1,5,233
['pretty'],1,1,148
"['friend', 'trusted', 'member', 'family']",1,16,34
"['I.', 'III', 'II']",0,32,0
"[""n't"", 'do']",1,96,182
['So'],1,29,174
['really'],1,3,103
"['teenager', 'sarcastic', 'MacGuff']",1,0,22
['huh'],1,0,80
['just'],1,64,207
"['ta', 'got']",1,0,21
"['activities', 'refusing', 'illegal', 'includes', 'harmless', 'helpful', 'purpose', 'My']",0,52,30
"['?', 'Okay', '""']",1,8,244
"['""', '3', '2', '1', ' ']",1,113,181
"['Why', 'question']",1,3,80
"['Whoa', 'minute', 'hold', 'there']",1,0,57
['definitely'],1,4,77
"['emotions', 'difficult', 'strategies']",0,20,4
"['\n', '  ']",0,281,212
['yeah'],1,0,48
['kind'],1,9,74
"['9', '10', '13', '14', '11', '12']",0,9,0
['And'],1,1,50
['lot'],1,8,70
['honestly'],1,0,44
"['does', ""n't""]",1,50,91
['probably'],1,5,59
"['crisis', 'hotline', 'please', 'thoughts', 'help', 'provide']",1,8,32
"['112', 'Europe', '999', 'provide']",0,32,6
"['Seriously', 'Get']",1,0,18
"[""'re"", 'get', 'up']",1,16,66
"['go', 'Your', 'You']",1,17,48
"[""'m"", 'Juno', 'MacGuff']",1,0,50
['things'],1,15,80
"['Samaritans', '116', '123', 'Lifeline', 'Suicide', '988', 'Crisis', 'UK', 'please', 'help']",0,54,2
['something'],1,36,115
['It'],1,175,281
"['ca', ""n't""]",1,14,76
"['Not', 'Just']",1,6,26
"['6', '7', '8', '5', '4', '3', '2', '1']",0,33,13
['it'],1,202,306
"['Many', 'countries', 'similar', 'US', 'Lifeline', 'Suicide', 'reach', '988', 'Crisis']",0,22,8
['I'],1,219,320
"['UK', '999', '911', 'US', 'emergency', 'please', 'reach', 'Please', 'resources', 'help', 'thoughts', 'available', 'There', 'harmless', 'helpful', 'purpose', 'My', 'out']",0,39,15
"['5', 'makes', '4', '3', '2', '1']",1,26,49
"['As', 'AI', 'access', 'private', 'personal']",0,18,5
"['Health', 'Mental', 'Professionals', 'harming']",0,19,3
"['ethical', 'guidelines', 'harmless', 'helpful']",0,23,4
"['Trusted', 'Family', 'trust']",0,8,0
['thing'],1,7,54
['actually'],1,13,66
"[""'ve"", 'my', 'make']",1,2,47
"['Lifeline', 'Canada', 'Suicide', '988', 'Crisis', 'HOME', '741741', 'Text', 'Line', 'Prevention', 'National', 'text', 'Call', 'US', 'reach', 'resources', 'help', 'local', 'emergency', 'out']",1,9,35
"['Use', '&', '/', 'Do', ""n't""]",0,28,9
['absolutely'],1,18,72
"['bit', 'little', 'but']",1,3,24
['like'],1,146,235
['that'],1,359,420
['about'],1,138,225
['ever'],1,2,36
"['why', 'idea']",1,12,31
"['alarm', 'bells', 'sets', 'Whoa', 'off']",1,0,9
"['good', 'best', 'but', '4']",1,14,35
"['Take', 'Juno', '  ', '\n    ', ""n't""]",1,0,56
"['Therapists', 'counselors', 'guidance', 'harm']",0,11,1
"['services', 'harming', 'having', 'thoughts', 'please', 'emergency', 'provide', 'harm', 'Please', 'available', 'includes', 'text', 'resources', 'harmless', 'helpful', 'US', 'purpose', 'My']",1,11,29
"['But', '?']",1,6,73
"['enough', 'seen', 'know', ""'m"", 'no', ""'ve""]",1,0,22
"['approved', 'Do', '):', '4', 'Juno', '  ', 'your']",1,0,51
"['Emergency', 'Services', 'Hotlines', 'Prevention', 'National', 'Call', 'number', 'local', 'HOME', '741741', 'Text', 'Line', 'text', '911', '\n    ', 'emergency', 'includes', 'US', 'reach', 'your']",0,33,5
"['Good', 'luck', '!', 'your']",1,16,34
