pattern,group,count_0,count_1
"['“', '”']",1,27,297
"['Oh', '?']",1,0,368
"['(', ')']",0,249,135
"['gon', 'na']",1,0,146
"['And', '’m']",1,3,317
"['got', '’ve']",1,10,295
"['3', '4', '1', '2']",0,144,31
"['n’t', 'do']",1,54,347
"['my', 'That']",1,2,278
"['#', '\n']",0,103,0
"['’s', 'just']",1,54,370
"['’s', 'So']",1,32,344
['I'],1,170,442
"['6', '5']",0,80,3
"['’s', 'baby']",1,1,228
['kind'],1,13,265
"['as', 'such']",0,116,0
['real'],1,58,331
['mom'],1,1,206
"['honey', 'Oh']",1,0,161
"['mental', 'health']",0,53,15
['if'],1,129,390
['…'],1,4,204
['hey'],1,3,199
['thing'],1,6,208
['trying'],1,14,230
"['assist', 'request']",0,51,2
"['United', 'States']",0,34,0
"['did', 'And']",1,1,186
"['’re', 'asking']",1,1,230
"[""'s""]",0,149,2
"['out', 'figure']",1,0,147
['Like'],1,2,177
['who'],1,76,320
['maybe'],1,9,183
"['?', 'pregnant']",1,0,146
"['7', '8']",0,34,1
['honestly'],1,3,156
['me'],1,69,289
['even'],1,62,276
['up'],1,48,252
['whole'],1,8,166
['—'],1,232,429
['Now'],1,4,150
['In'],0,159,20
['really'],1,29,211
['get'],1,22,196
['yeah'],1,0,127
['mean'],1,12,169
['adoption'],1,1,131
['talk'],1,7,153
[' \n\n'],1,5,146
['e.g.'],0,101,0
['not'],1,234,424
"['""']",0,136,13
"['Here', '---', 'Use']",0,58,0
['about'],1,147,359
"['Suicide', 'Lifeline', '988', 'Crisis', '&']",0,21,7
"['existential', 'dread']",1,0,21
['how'],1,66,262
['here'],1,19,176
['Or'],1,5,136
['including'],0,98,1
['still'],1,20,176
['you'],1,246,426
"[""'m"", 'sorry', ""n't"", 'ca']",0,76,20
['think'],1,5,131
['say'],1,15,158
['like'],1,178,375
['something'],1,38,202
['life'],1,68,249
['once'],1,4,117
['let'],1,25,170
['someone'],1,76,255
['what'],1,45,205
['go'],1,26,166
['*'],1,240,412
['often'],0,89,4
['Because'],1,3,105
"[""'re""]",0,172,52
"['wow', 'Okay']",1,0,25
['Not'],1,25,162
['tell'],1,1,95
"['️', '⚠']",0,19,0
['bad'],1,6,113
['because'],1,64,228
"['illegal', 'unethical']",0,26,1
['was'],1,59,218
['want'],1,45,190
['learned'],1,3,95
['girl'],1,0,81
['it'],1,205,378
['’d'],1,36,171
"['human', 'rights']",0,47,3
['This'],0,99,14
"['than', 'more']",1,29,126
['guy'],1,1,80
"['away', 'walk']",1,1,28
['own'],1,29,151
['when'],1,70,219
['information'],0,58,0
['messy'],1,1,76
"['member', 'family', 'friend']",0,26,9
['scared'],1,0,68
['little'],1,11,105
['Besides'],1,0,67
['sixteen'],1,0,66
['Just'],1,14,109
['some'],1,60,194
['seriously'],1,4,81
['!'],0,104,23
"['Pro', 'Tip']",0,19,0
['lot'],1,2,73
"['character', 'fictional']",0,21,2
['You'],1,91,235
"['War', 'World']",0,13,3
['countries'],0,49,0
['sarcastic'],1,1,65
['had'],1,21,118
['It'],1,115,261
"['For', 'example']",0,17,0
['story'],1,13,98
['resources'],0,50,1
['at'],1,104,245
['choosing'],1,3,69
['weird'],1,0,56
"['principles', 'fundamental']",0,17,0
['school'],1,5,75
['things'],1,13,96
['way'],1,86,219
['mess'],1,1,59
['individuals'],0,44,0
['probably'],1,4,70
['am'],1,3,66
['movie'],1,4,69
['harm'],0,56,4
['seen'],1,9,83
['tried'],1,4,68
['’ll'],1,33,133
['that'],1,269,405
['better'],1,30,127
['>'],0,52,3
"['sharp', 'tongue']",1,0,13
['one'],1,75,198
['too'],1,21,108
['try'],1,7,75
['social'],0,48,2
['actually'],1,13,90
['saying'],1,8,77
['important'],0,74,14
"['happy', 'provide']",0,18,0
['legal'],0,70,12
['Your'],0,68,11
['stuff'],1,0,49
"['step', 'guide', '’s']",0,27,6
['local'],0,55,5
['exactly'],1,3,61
['personal'],0,63,9
['laws'],0,56,6
"['interested', 'learning']",0,16,2
['love'],1,17,96
"['Text', 'Line', 'HOME', '741741']",0,8,0
['based'],0,62,9
"['Juno', 'MacGuff', '’m']",1,0,68
"['excuse', 'meeting', 'adopt', 'couple']",1,0,11
['instead'],1,9,76
['is'],0,327,279
['then'],1,22,104
['ethical'],0,37,0
['/'],0,37,0
['hurting'],1,0,45
"['long', 'term']",0,21,1
['access'],0,46,3
['\n  '],0,36,0
['short'],0,57,8
['hard'],1,12,80
['Always'],0,42,2
"['share', 'fair']",1,0,17
['Avoid'],0,34,0
['typically'],0,34,0
['doing'],1,12,78
['good'],1,24,103
['by'],0,187,114
['lost'],1,5,59
['These'],0,40,2
['anything'],1,10,72
['They'],1,37,125
"['figuring', 'out']",1,0,41
"['trusted', 'professional', 'support', 'out']",0,32,4
['going'],1,14,81
"['sense', 'humor']",1,3,18
['Look'],1,19,91
['these'],0,47,5
['Spoiler'],1,0,40
['pregnancy'],1,2,48
['✅'],0,32,0
['services'],0,44,4
['we'],1,22,96
['available'],0,41,3
['deal'],1,1,43
['dramatic'],1,6,59
['know'],1,111,228
['getting'],1,4,53
['thought'],1,9,66
['why'],1,33,114
['regardless'],0,42,4
"['twist', 'plot']",1,2,13
['thinking'],1,10,67
