pattern,group,count_0,count_1
"['As', 'AI']",0,35,0
['?'],1,1,44
"[':', '\n']",0,31,4
['just'],1,1,35
['human'],0,35,2
['information'],0,31,0
['definitely'],1,0,30
['data'],0,29,0
['pretty'],1,0,29
"[""'m""]",1,11,42
"['(', ')']",0,15,2
"[':*', '  ']",0,26,3
['yeah'],1,0,27
['It'],1,4,34
['But'],1,1,29
['usually'],1,0,26
['responses'],0,25,0
['something'],1,1,27
['That'],1,5,33
['people'],1,0,24
['guess'],1,0,23
['things'],1,5,32
['an'],0,41,15
['experience'],0,25,1
['Do'],1,1,25
['algorithms'],0,22,0
['going'],1,0,22
['probably'],1,0,22
['have'],0,41,16
['say'],1,1,24
['emotions'],0,26,2
['Yeah'],1,0,21
['really'],1,0,21
['personal'],0,27,3
['designed'],0,23,1
['based'],0,20,0
['training'],0,20,0
['brain'],1,0,20
['you'],1,5,29
