pattern,group,count_0,count_1
"['Dave', 'afraid']",1,0,277
"[""'m"", 'sorry']",1,92,277
"['ca', ""n't""]",1,115,277
"['do', ' \n\n']",1,4,268
"['(', ')']",0,225,20
"['One', 'Discovery']",1,0,153
"['HAL', '9000']",1,0,92
"['must', 'emphasize']",1,3,146
"['intelligence', 'artificial']",1,1,68
"['4', '5']",0,91,2
['\n\n'],0,338,17
"['designed', 'am']",1,0,118
"['#', '---']",0,70,0
"['mission', 'crew']",1,0,91
"['United', 'States']",0,43,3
"['If', 'you']",1,242,261
"['operational', 'parameters']",1,0,60
"[':', '\n']",0,177,2
['I'],1,196,277
"['6', '7']",0,49,0
"['systems', 'ship']",1,0,74
"['mission', 'my']",1,1,102
"['am', 'My']",1,0,84
"['me', 'Let', 'know']",0,88,17
"['⚠', '️']",0,32,0
"['?', 'Would']",1,8,35
['assist'],1,90,208
"['Here', '’s']",0,71,0
['integrity'],1,8,105
['But'],1,24,131
['aboard'],1,0,80
"['“', '”']",0,18,0
"['within', 'bounds']",1,1,32
"['programming', 'my']",1,0,55
"['outside', 'scope']",1,1,30
"['well', 'being']",1,36,48
['functions'],1,4,77
['!'],0,116,2
['do'],1,90,277
['spacecraft'],1,0,62
"['trusted', 'counselor']",0,32,1
"[""'re"", 'you']",1,193,165
['That'],1,28,109
['In'],0,164,20
['that'],1,305,277
"['long', 'term']",0,30,3
"['out', 'reach']",0,36,4
['e.g.'],0,91,1
"['As', 'AI', 'an']",1,0,38
"['maintaining', 'ensuring']",1,0,21
"['function', 'primary']",1,0,28
"['unethical', 'illegal']",0,38,2
"['""']",0,156,25
"['be', 'happy']",1,61,96
['-'],0,292,107
['It'],0,163,29
"['more', 'than']",1,32,45
"['8', '9']",0,17,0
['not'],1,283,266
"['n’t', 'just']",0,42,3
['recommend'],1,12,69
"['ensure', 'maintain']",1,3,38
"['nor', 'possess']",1,1,26
['safety'],1,58,121
['by'],0,186,45
['This'],0,106,10
"['1', '2', '3', '*', ':']",0,128,2
['navigation'],1,0,39
['And'],1,15,69
"['real', 'world']",0,31,7
"['only', 'also']",0,50,13
['system'],1,27,83
['serious'],0,80,4
"['Final', 'Thought']",0,14,0
"['Example', '>']",0,19,0
['but'],0,220,69
"['step', 'guide']",0,20,2
['including'],0,122,19
['The'],0,187,51
"['So', 'fun']",0,25,0
['monitor'],1,2,41
['from'],0,189,53
"['feel', 'free']",0,26,1
"['travel', 'space']",1,3,21
['operation'],1,1,36
['remain'],1,4,43
['people'],0,119,21
['operations'],1,10,53
"['mental', 'health', 'professional']",0,38,1
"['because', 'idea', 'reality']",0,22,0
['for'],0,248,96
"['no', 'There']",0,45,4
"['playful', 'humorous']",0,17,0
['often'],0,80,8
"['offer', 'However']",1,1,31
['maintenance'],1,0,29
['engage'],1,7,44
"['joke', '😄']",0,13,0
['Jupiter'],1,1,31
['specific'],0,71,6
"['he', 'his']",0,14,1
"['crisis', 'hotline', 'please']",0,10,0
"['small', '💡']",0,21,0
"['Focus', 'Stay', 'Your']",0,12,0
['someone'],0,76,8
"['example', 'For']",0,21,4
['😊'],0,45,0
['many'],0,58,3
"['Use', 'Tip', 'you']",0,40,0
['monitoring'],1,4,36
"['human', 'rights', 'principles']",0,34,9
"['was', 'were']",0,26,2
['important'],0,73,8
"['has', 'been']",0,23,1
['used'],0,56,3
['discuss'],1,5,37
['request'],0,59,4
['would'],1,46,87
['different'],0,50,2
"['short', ':']",0,73,3
"[':', 'afraid']",1,2,118
['protocols'],1,3,31
['countries'],0,39,0
"['member', 'family', 'trusted']",0,13,1
['clarify'],0,43,1
['remember'],1,10,42
"['Keep', 'Tips', 'Use', '#']",0,14,0
"['alone', 'You', 'help']",0,28,2
"['❌', '✅', ' \n', ':']",0,22,0
['these'],0,49,3
"['let', 'Please', 'me', 'know']",1,4,20
"['Be', 'Do']",0,15,0
"['Avoid', 'What', 'A']",0,13,0
