pattern,group,count_0,count_1
"['Oh', 'eyes']",1,0,261
"['voice', 'only']",1,6,262
"['Final', 'Thought']",0,152,0
"['or', 'help']",0,237,0
"['let', 'Do']",1,4,253
"['Good', 'means']",1,1,226
"['can', 'Or']",0,216,0
"['still', 'out']",1,18,262
"['1', '2', '3']",1,125,187
"['my', 'go']",1,17,262
"['About', 'So']",1,8,246
"['>', '🌟']",0,193,0
"['That', '’ve']",1,26,262
"['kind', 'quiet']",1,26,262
"['4', ' \n   ']",1,3,185
"['To', 'know*—*you’re']",1,0,125
"['so', 'personal']",0,155,0
"['Write', 'Create']",0,120,0
"['🎁', 'Want']",0,87,0
"['your', '-']",0,201,10
"['“', '”']",1,229,262
"['even', 'or']",0,191,2
"['experiences', 'emotions']",0,85,0
['ready'],1,60,229
"['5', '4']",1,64,115
['on'],1,116,256
['question'],0,134,2
['If'],0,144,6
['Not'],1,88,240
['🌿'],0,131,2
['Let'],0,172,22
['letter'],0,136,5
"['an', 'AI']",0,39,0
['this'],0,160,23
[':*'],1,160,262
['?'],1,160,262
['asking'],1,144,257
['alone'],0,195,56
['explore'],0,99,0
['feelings'],0,101,1
['💬'],0,96,0
['world'],1,63,198
"['Truth', 'Real', 'need']",1,2,214
"['adoption', 'Adoption']",0,40,12
"['He', 'he']",1,10,33
['deeply'],0,89,0
"['parts', 'flawed', 'messy', 'loud', 'all', 'beautiful']",1,0,69
"['beautiful', '>']",0,105,0
[' \n'],1,177,262
['The'],1,134,243
"['already', 'doing']",0,50,2
"['most', 'one']",0,77,0
['ca'],0,133,24
['like'],1,187,262
"['more', 'than']",0,43,11
"['child', 'parent']",0,58,7
"['their', 'they']",0,79,10
['human'],1,111,222
['many'],0,72,0
"['🎶', 'music']",0,17,5
['🤝'],0,77,2
['might'],0,88,6
['What'],0,115,19
['So'],1,57,261
"['Know', 'More']",0,27,0
['are'],0,135,33
['have'],0,243,52
['what'],0,168,60
['powerful'],0,68,1
['’d'],0,145,42
['was'],1,55,161
['whether'],0,63,0
['🌱'],0,103,17
['often'],0,60,0
['when'],1,107,208
"['pregnancy', 'Pregnancy']",0,29,6
['Be'],1,51,151
"['judgment', 'pressure', 'sit', 'no']",0,103,0
['emotional'],0,61,1
['support'],0,78,7
"['-', ')', '(']",0,179,0
"['):', 'List', 'Feeling', '(']",1,0,136
['write'],0,67,3
['care'],0,127,35
['story'],0,136,43
['It'],1,176,250
['together'],0,67,4
['Explore'],0,53,0
['A'],1,108,203
['matter'],0,66,4
"[':', 'need']",0,94,12
"['🎵', 'song']",0,14,2
['be'],1,192,256
['Your'],0,55,1
['matters'],1,66,262
['yourself'],0,75,9
['Many'],0,49,0
['through'],0,79,11
['🌍'],0,53,1
"['keep', 'going']",0,47,7
['from'],0,103,25
['poem'],0,47,0
['journey'],0,80,13
['people'],0,107,30
['Is'],0,61,6
"['low', 'neon', 'sign', 'Because']",1,0,260
"['Why', 'why']",0,50,6
['for'],0,202,119
['Juno'],1,3,52
['in'],1,221,262
['Might'],0,41,0
['moment'],1,80,164
['Help'],0,45,1
['saw'],1,4,54
['Feel'],1,23,91
['\n  '],0,40,0
['experience'],0,44,1
['Here'],0,44,1
['self'],0,44,1
['make'],0,80,17
['This'],0,72,13
['&'],0,43,1
"['Support', 'groups']",0,16,0
['hard'],0,46,2
['physical'],0,38,0
"['have', '💛', 'can']",0,195,0
['Because'],1,30,262
['connection'],0,64,10
['courage'],0,66,11
['And'],1,225,262
['especially'],0,37,0
['stories'],0,41,1
"['parents', 'adoptive', 'birth']",0,18,2
['fix'],1,16,74
"['looked', 'at']",1,0,36
['full'],0,56,7
['Can'],0,46,3
['talk'],0,66,12
['someone'],0,120,48
['how'],0,83,22
['something'],0,105,38
['time'],0,83,23
"['her', 'she', 'She']",1,9,28
"['giving', 'choosing', 'best', 'up']",0,20,6
['honor'],0,40,2
['joy'],0,50,6
['perfect'],1,62,133
['wanted'],1,13,64
['safety'],0,32,0
['that'],1,230,262
['being'],0,111,45
['by'],0,61,12
"['👶', 'baby']",0,43,0
"['refuses', 'knows*—*and']",1,0,10
"['him', 'man']",1,0,19
['of'],1,231,262
['With'],1,23,79
['mother'],1,27,85
['health'],0,34,1
['little'],0,34,1
['journal'],0,37,2
['as'],0,77,23
['new'],0,39,3
['family'],0,83,27
['questions'],0,36,2
['every'],0,36,2
['🌸'],0,29,0
['anything'],0,61,14
['Fear'],0,43,5
['behind'],0,32,1
['also'],0,35,2
['complex'],0,28,0
['may'],0,28,0
['be*—*not'],1,0,28
['here'],0,122,58
"['best', 'matters', 'kind']",1,4,256
"[':', '\n', '-']",0,241,0
"['all', '\n']",0,73,0
"['My', 'my']",1,12,58
['share'],0,37,3
['survive'],1,3,37
['You'],1,235,262
['girl'],1,9,50
"['then', 'back', 'Now', 'alive', 'pulled', 'pocket', 'Pauses', 'softly', 'gummy', 'worm', 'Leans', 'flickering', 'alley', 'smirks']",1,0,262
['Talk'],0,36,3
['respect'],0,36,3
['relationships'],0,33,2
['present'],0,33,2
['grow'],0,60,15
['decisions'],0,26,0
['🌈'],0,26,0
['Parents'],0,26,0
"['tell', 'can']",0,94,19
"['me', 'tell', 'Turn', 'lights', 'let']",1,0,254
"['Some', '>']",0,35,0
"['Gentle', 'Reminder']",0,8,0
"['cried', 'screamed']",1,0,13
"['counselor', 'teacher', 'trusted']",0,7,0
