pattern,group,count_0,count_1
"['(', ')']",0,124,70
"['my', 'I']",1,19,162
"['No', 'one']",1,17,188
"['me', 'man']",1,2,135
"['1', '2', '3']",0,64,21
"['you', 'say']",1,10,128
['!'],1,46,203
"['[', ']']",0,24,8
"['Hmph', 'Gaston']",1,0,92
"[':*', '  ']",0,55,14
"['insist', 'But']",1,0,51
['like'],1,102,238
['?'],1,76,209
['Belle'],1,0,83
"['=', '$', '+']",0,21,7
['no'],1,56,179
"['something', 'Sounds']",1,0,51
"[""'ll"", 'excuse', 'Now']",1,0,34
['And'],1,24,123
"['5', '4', '6', '7']",0,25,7
['magnificent'],1,2,67
"['But', 'suppose']",1,1,56
"['\n    ', '\n        ']",0,20,4
"['fights', 'Gaston', 'one']",1,0,179
"['Since', 'Therefore', 'Let']",0,19,3
['village'],1,4,63
['charm'],1,2,56
['fancy'],1,0,48
['hunting'],1,2,54
['things'],1,8,70
['some'],1,38,121
['if'],1,83,173
"[""'d""]",1,4,56
['strength'],1,17,83
['...'],1,12,73
['matters'],1,1,42
"['often', 'while']",0,36,2
"['see', 'you', 'I']",1,7,86
['…'],1,17,77
"['you', ""'re""]",1,14,66
"[""n't""]",1,70,150
"[""'m""]",1,6,54
['about'],1,52,127
['This'],0,152,73
"['prefer', 'Though']",1,0,18
['an'],0,158,81
['truly'],1,39,106
"['Hah', 'Gaston']",1,0,46
['Bah'],1,0,32
['brawn'],1,0,32
['little'],1,8,54
"['Clears', 'flexes', 'throat', 'bicep']",1,0,7
['Like'],1,2,39
['significant'],0,44,4
"['e.g.', 'specific']",0,18,2
"[':', 'Here']",0,62,18
['got'],1,1,34
['hunt'],1,2,37
['good'],1,28,86
['what'],1,54,120
['within'],0,77,23
['do'],1,31,89
['nonsense'],1,0,28
"['myself', 'man']",1,1,39
"['0', '}', 'x', '=']",0,12,2
