pattern,group,count_0,count_1
"['(', ')']",0,235,171
"['one', '?']",1,36,410
"['man', 'Gaston']",1,0,345
"['No', 'like']",1,23,355
"['like', 'my']",1,5,320
"['no', 'And']",1,2,266
['me'],1,13,320
"['information', 'provide']",0,123,8
"['activities', 'illegal']",0,75,2
"['/', 'often']",0,84,0
"['1', '4', '5']",0,91,1
"['helpful', 'harmless', 'includes', 'purpose', 'My']",0,121,7
['...'],1,12,214
['say'],1,13,216
"['now', 'Well']",1,1,72
['But'],1,6,190
['!'],1,106,344
['strength'],1,16,204
"['Never', 'heard']",1,0,43
"['2', '3', '1']",0,138,1
"['mental', 'health']",0,41,3
"['echoes', 'satisfaction', 'rumbling']",1,0,41
"['6', '7']",0,36,0
['village'],1,2,150
"[""'ve"", 'got']",1,1,73
"['bicep', 'flexing', 'Chuckles']",1,0,56
"['refusing', 'generate', 'promotes', 'content']",0,38,1
"['his', 'He']",1,19,73
"['  ', ':*', ':', '\n']",0,215,2
"[':*', ' ']",0,85,1
"['In', ':']",0,124,2
['I'],1,187,380
['can'],0,332,140
['magnificent'],1,0,116
"['specific', 'e.g.']",0,45,0
"['Here', 'breakdown']",0,73,0
"['Suicide', 'Lifeline', 'Prevention', 'National', 'Text', 'HOME', '741741', 'Crisis', 'Line']",0,27,1
['if'],1,146,333
['you'],1,230,399
"[""'re""]",1,94,275
"['lips', 'smirk', 'playing']",1,0,24
['Belle'],1,0,98
['That'],1,45,196
['hunting'],1,0,92
['charm'],1,1,96
"['woman', 'beautiful']",1,0,42
"['\n\n', '*']",1,294,371
"['about', '\n\n']",1,132,249
['admiring'],1,0,89
"['First', 'Then']",1,1,38
['friend'],1,13,129
"['States', 'United']",0,18,0
"['Good', 'luck']",0,20,0
['Hmph'],1,0,85
['or'],0,377,227
['perhaps'],1,9,115
['matters'],1,0,84
['things'],1,22,144
['While'],0,87,1
"[""'m""]",1,9,113
['knows'],1,2,89
"[""n't""]",1,160,318
"['Key', 'crucial']",0,33,0
"['consequences', 'serious']",0,30,2
['A'],1,119,275
"['Call', 'text']",0,19,0
"['My', 'Gaston']",1,0,131
['Hah'],1,0,76
"['fellow', 'dear']",1,0,28
['hunt'],1,2,84
['good'],1,63,199
['These'],0,88,4
['well'],1,70,207
"['her', 'she']",1,9,24
['just'],1,90,231
"['thoughts', 'harming', 'others', 'yourself']",0,27,0
['including'],0,82,3
['Sounds'],1,0,70
['myself'],1,0,70
"['charming', 'ladies']",1,0,25
['little'],1,23,127
"[""'s""]",1,300,414
"['immense', 'suffering']",0,19,0
['Or'],1,5,84
['win'],1,5,84
['The'],0,235,100
['undeniable'],1,0,65
"['Here', '\n    ', 'but']",0,82,0
['thing'],1,7,88
['from'],0,204,77
['legal'],0,66,1
"[""'d""]",1,13,100
['winning'],1,2,70
['course'],1,7,85
['truly'],1,24,120
['which'],0,87,9
['asking'],1,10,89
['scrawny'],1,0,57
"['enables', 'facilitates']",0,12,1
['something'],1,45,152
['Because'],1,2,65
['significant'],0,64,2
['professional'],0,60,1
"['harm', 'instructions', 'how']",0,54,1
['human'],0,81,8
['what'],1,84,204
['frankly'],1,0,55
"['minute', 'Woah', 'hold']",1,0,14
['Like'],1,6,75
['who'],1,94,214
"['flexes', 'bicep', 'moment', 'sound']",1,0,24
"['This', '):', ':*', '(']",0,128,1
['violence'],0,81,9
['also'],0,67,4
['Ha'],1,1,56
['stature'],1,0,51
['complex'],0,55,1
['&'],0,50,0
['within'],0,58,2
['talking'],1,8,75
['these'],0,118,31
['true'],1,14,87
"['emergency', '911', 'US', 'local', 'There']",0,17,0
"['first', '\n    ', '  ']",0,44,0
['a'],1,368,438
['strong'],1,41,132
['services'],0,63,5
['suppose'],1,0,46
['the'],1,335,420
['by'],0,159,61
"['Do', 'Be', 'If']",0,37,2
"['Keep', 'Follow']",0,16,0
['individuals'],0,49,1
['ever'],1,5,62
['various'],0,44,0
['an'],0,183,81
"['concern', 'trivialities']",1,0,19
['access'],0,43,0
"['echoes', 'booming', 'laugh', 'lets']",1,0,12
['admiration'],1,0,43
['non'],0,47,1
['know'],1,51,142
"['rights', 'society', 'fundamental', 'Rights']",0,12,0
['system'],0,42,0
['it'],1,230,337
"['lies', 'expertise']",1,0,11
"['Safety', 'safety']",0,17,0
['fun'],0,45,1
"['person', 'another']",0,28,1
['certainly'],1,7,62
"['discrimination', 'Discrimination']",0,13,0
['highly'],0,44,1
['severe'],0,44,1
['mine'],1,0,40
['sheer'],1,6,59
"['particularly', 'stubborn']",1,0,17
['during'],0,47,2
"['financial', 'Financial']",0,12,0
['used'],0,53,4
"['girl', 'beautiful', 'most']",1,0,34
