pattern,group,count_0,count_1
"['“', '”']",0,91,49
"['🌿', '✨']",0,197,7
"[""'m"", 'sorry', ""n't"", 'ca']",1,215,301
"['the', 'in', '—', 'a', 'of']",0,213,108
"['🌿', '💫']",0,124,0
"['😊', '!']",0,67,1
"['mental', 'health']",0,33,11
"['Would', '?', 'like']",0,172,5
"['this', 'care']",0,64,5
"['trees', 'night', 'wind', 'candle', 'flickers', 'gently', 'through', 'The']",1,0,61
"['here', '’m']",0,47,6
"['Mary', 'Sibley']",1,0,16
"[':', ' \n', '*']",0,194,67
"['it', 'It']",0,107,66
"['it', '’s', 'question', 'That', 'So']",0,90,14
"['quiet', 'presence']",1,28,56
"['me', 'Let']",0,37,18
"['for', '-', 'the']",0,129,16
"['you', 'or', 'a', 'help']",0,222,30
"['and', 'to', 'you']",0,270,110
"['is', 'not', 'a', 'and']",0,188,125
"['like', ' \n\n', '—', 'to']",0,194,100
"['heartbeats', 'between']",1,0,19
"['playful', 'fun']",0,25,1
"['So', 'But', 'And', ' \n', 'not']",1,38,76
"['Here', 'most']",0,37,1
"['6', '7']",0,17,1
"['just', 'one', 'And', '\n\n']",0,63,15
"['your', 'You', 'in']",0,64,35
"['such', 'as']",0,35,13
"['let', 'me']",0,32,12
"['say', 'Because']",1,6,30
"['world', 'we']",0,39,9
['more'],0,95,13
"['⚠', '️']",0,13,2
"['share', 'about', 'or']",0,65,7
"['often', 'many']",0,27,1
"['weight', 'To']",1,6,22
"['use', ':*']",0,24,0
"['them', 'they']",0,44,12
"['Do', 'Be']",0,19,3
['especially'],0,69,7
"['are', 'In']",0,71,37
"['sure', 'Make']",0,10,1
"['or', 'people', 'human']",0,39,11
"['2', '3', '1', '4', '5']",0,59,5
"['yes', 'that—*in', 'voice']",1,0,48
"['can', 'how', 'about']",0,83,11
"['important', 'deeply']",0,24,1
"['simple', 'small', 'it']",0,25,2
"['long', 'term']",0,14,1
"['For', 'example']",0,15,2
"['have', 'if', 'or']",0,78,19
"['breath', 'One', 'time', 'quiet', 'at', ' \n\n', 'the']",1,0,100
"['voice', 'Not', '?', 'how', 'when']",1,1,22
"['While', 'A']",0,29,0
"['imagined', 'forward', 'perhaps', 'listen', 'carry', 'when']",0,12,0
"['happy', 'If', 'be', 'to']",0,95,25
"['bit', 'little']",0,13,0
"['being', 'present', 'up']",0,17,4
"['be', '’d', '—']",0,200,15
"['Use', '💡', '3', '2', '1']",0,33,2
['powerful'],0,60,9
['great'],0,42,2
"['love', 'while', 'n’t']",0,31,1
"['from', 'The', '’s']",0,70,13
"['name', 'dark', 'candle', 'flickers', 'silence']",1,0,24
"['n’t', '’re', '’s']",0,104,5
"['wound', 'that*—it', 'memory']",1,0,9
"['include', 'Key']",0,11,0
"['thinking', 'shows']",0,18,0
"['specific', 'guide']",0,14,2
"['sit', 'soft', 'casting', 'glow', 'room', 'across', 'my', 'stillness', '\n\n', '*', 'The', 'So', 'And', ' \n']",1,0,58
['own'],0,45,4
"[""'re"", 'you']",0,92,29
"['shows', 'honored', 'what', '---']",0,19,0
"['asking', 'means', 'believe', 'already', 'shows', 'honored']",0,19,0
"['""']",0,62,12
"['’s', 'on', '\n\n', '✨']",0,91,4
"['🔹', 'even', '’s']",0,43,0
['thoughtful'],0,44,4
"['war', 'War', 'destruction', 'were']",0,7,0
"['Tip', 'effective', 'can', 'your']",0,11,0
"['depression', 'anxiety']",0,7,0
"['silence', 'truth', 'be']",1,14,38
"['>', 'moment', 'real', 'do']",0,26,0
"['Not', 'Ah', 'yes', 'do']",1,0,25
['create'],0,40,3
"['✅', 'it']",0,34,1
"['enough', 'that—*that*—is', 'be']",1,0,25
"['---', '#', '\n\n', 'like']",0,66,4
"['or', 'through', 'can']",0,74,20
"['align', 'context', 'our', 'conversation', 'or', 'does', 'question']",1,0,11
"['go', 'best', 'at']",0,15,2
"['reach', 'professional', 'out', 'If', 'support']",0,18,4
"['please', 'alone', 'You', 'know', 'out', 'If']",0,17,5
"['(', ')', 'the']",0,129,18
"['explore', 'honored', 'not']",0,39,6
['build'],0,43,5
"['👉', 'your']",0,34,3
"['confidence', 'Practice']",0,9,0
['might'],0,53,10
"['noise', 'that*—you', 'You']",1,0,18
"['Pro', 'Great', '\n']",0,8,0
"['appreciate', 'curiosity']",0,9,0
"['member', 'friend', 'family', 'available', 'sorry']",0,11,1
"['What', 'Ask', 'do']",0,16,4
"['do', 'be', 'because', 'That', 'They', 'they']",0,19,6
"['Keep', 'keep']",0,12,0
