pattern,group,count_0,count_1
"['“', '”']",1,37,150
"['Dunder', 'Mifflin']",1,32,117
"['That', 'And']",1,20,151
"['(', ')']",1,77,107
"['Michael', 'Scott']",1,15,115
"['was', 'But']",1,20,143
"['So', '…']",1,13,132
"['mean', 'You']",1,3,119
['Like'],1,2,116
['once'],1,3,116
"['gon', 'na']",1,0,29
"['just', 'my']",1,28,146
"['an', 'AI']",0,56,0
"['Regional', 'Manager']",1,4,33
['’m'],1,36,144
['then'],1,12,120
"['yeah', 'So']",1,5,99
['guy'],1,2,97
['’ve'],1,32,137
['Because'],1,4,101
['got'],1,13,116
['if'],1,55,150
['?'],1,61,152
['know'],1,34,137
"['Now', 'excuse']",1,2,52
['said'],1,16,117
['Oh'],1,3,92
"['tear', 'wipes']",1,0,24
"[""'m"", ""n't""]",0,35,0
['’re'],1,39,133
['me'],1,54,143
"['chair', 'back']",1,1,45
['who'],1,37,130
['cried'],1,0,74
"['Paper', 'Company']",1,3,35
"['’ll', 'You']",1,4,99
"['2', '4', '1', '3', '5']",0,50,2
['tried'],1,8,92
['Dwight'],1,29,119
"['tell', 'But']",1,8,85
"['personal', 'experiences']",0,51,0
['did'],1,29,117
['It'],1,51,136
"['just', 'little']",1,10,87
['what'],1,50,133
['not'],1,86,152
['he'],1,13,92
['lot'],1,8,83
['Ohhh'],1,0,62
"['Sweet', 'Caroline']",1,0,13
['go'],1,11,86
['thing'],1,4,71
['still'],1,17,94
"['tie', 'adjusts', 'leans']",1,0,37
"[""'re""]",0,61,1
['man'],1,1,61
['family'],1,8,78
['when'],1,60,136
"['’', '‘']",1,0,20
['one'],1,43,122
['had'],1,19,95
['love'],1,25,102
['’s'],1,98,153
['boss'],1,17,91
['paper'],1,24,99
['really'],1,4,65
"['presentation', 'PowerPoint']",1,2,25
['friend'],1,5,66
"['7', '6', '8']",0,20,0
['or'],0,140,72
['brought'],1,3,60
['often'],0,54,1
['at'],1,44,118
['because'],1,29,102
['been'],1,10,74
['cry'],1,0,49
['she'],1,4,61
['ever'],1,11,75
['it'],1,101,152
['told'],1,1,52
['office'],1,32,102
"['asked', 'glad']",1,0,15
['heart'],1,9,68
['called'],1,4,57
['n’t'],1,92,147
['whole'],1,5,58
['Or'],1,2,50
['Not'],1,17,79
['thought'],1,11,69
['room'],1,7,61
['hey'],1,7,61
"['Jan', 'Levinson']",1,0,10
['made'],1,19,81
['Jim'],1,29,94
['say'],1,23,86
['*'],1,112,153
['While'],0,41,0
['He'],1,10,65
['based'],0,44,1
['here'],1,19,79
"['steepling', 'fingers']",1,0,10
['If'],0,77,18
['even'],1,64,126
"['leans', 'pauses']",1,0,25
['Pauses'],1,0,39
['help'],0,72,15
['like'],1,88,142
"['rather', 'than']",0,20,2
"['Now', 'start']",1,1,42
['gave'],1,3,46
['says'],1,6,53
['stapler'],1,12,64
"['father', 'figure']",1,0,11
"['Best', 'Boss']",1,1,14
['think'],1,18,73
['look'],1,9,58
['day'],1,13,65
['wow'],1,0,35
['sandwich'],1,0,35
['up'],1,37,96
['time'],1,39,98
['She'],1,1,38
['too'],1,12,62
['question'],1,22,77
['grins'],1,0,34
['get'],1,14,65
['very'],1,10,58
['dance'],1,0,33
['best'],1,18,70
['learned'],1,21,74
['trying'],1,12,60
['maybe'],1,12,60
['people'],1,62,118
['her'],1,5,46
['seen'],1,12,59
['others'],0,35,1
"['thinking', 'lately']",1,0,16
['also'],1,18,68
['this'],1,35,90
['clear'],0,31,0
['Hey'],1,0,31
['proud'],1,0,31
"['motivational', 'speech']",1,0,19
['Well'],1,3,40
['bad'],1,4,42
['real'],1,49,104
"['Always', 'Will', 'Love']",1,0,11
['No'],1,6,46
['smile'],1,3,39
['emotional'],1,20,69
['parking'],1,2,36
['great'],1,23,73
"['Leans', 'dramatically']",1,0,15
['loved'],1,0,29
['Even'],1,17,64
"['eyes', 'twinkling']",1,0,11
['growth'],0,40,4
"['long', 'term']",0,12,0
['remember'],1,9,50
['Pam'],1,19,66
['seriously'],1,8,48
['communication'],0,28,0
['let'],1,22,70
"['For', 'example']",0,17,2
['him'],1,8,47
[' \n'],1,14,57
['want'],1,16,60
['need'],1,13,55
['company'],1,27,75
['you'],1,115,149
['fire'],1,4,38
['that'],1,120,151
['soul'],1,2,33
['sometimes'],1,9,48
['deep'],1,9,48
['write'],1,1,30
['Kevin'],1,1,30
['share'],0,44,7
['snacks'],1,0,26
['something'],1,26,73
"['Most', 'Likely']",1,0,8
['weird'],1,3,35
['always'],1,13,54
['\n'],0,29,1
['front'],1,1,29
['emotions'],0,39,5
['entire'],1,7,43
['am'],1,6,41
['explore'],0,25,0
['questions'],0,25,0
"['psychological', 'safety']",0,9,0
['laugh'],1,9,46
['challenges'],0,36,4
['wanted'],1,4,36
"['entrepreneurs', 'businesses', 'insights', 'market']",0,7,0
"[' \n   ', 'Here', '6']",0,18,0
"['Lead', 'Example']",0,8,0
