pattern,group,count_0,count_1
"[""'ve"", 'got']",1,0,39
['provide'],0,39,0
"['this', 'just']",1,0,33
['But'],1,0,37
['So'],1,0,36
"['helpful', 'respectful']",0,22,0
['responses'],0,28,0
['up'],1,2,32
"['baby', 'adoption']",1,0,15
['designed'],0,26,0
['Plus'],1,0,26
['but'],1,5,34
['However'],0,25,0
"['share', 'fair']",1,0,10
['out'],1,1,27
"['1', '2', '3', ':']",0,8,0
['trying'],1,0,24
['yeah'],1,0,23
['know'],1,6,33
['it'],1,13,39
"['How', 'today']",0,7,0
['assist'],0,21,0
['say'],1,0,21
"['Juno', 'MacGuff']",1,0,11
['If'],0,25,2
['life'],1,2,25
['?'],1,8,33
"[""'s""]",1,18,41
"['had', 'learned']",1,0,8
"['As', 'AI']",0,14,0
