pattern,group,count_0,count_1
"['de', 'Lioncourt', 'Lestat']",1,0,34
['provide'],0,39,1
"['helpful', 'respectful']",0,22,0
['am'],1,10,44
['existence'],1,0,30
['So'],1,0,30
['Ah'],1,0,29
['My'],1,12,42
['nature'],1,1,29
['responses'],0,28,1
['centuries'],1,0,25
['one'],1,3,31
['creature'],1,0,24
['not'],1,14,41
['world'],1,2,28
"[""n't""]",0,26,1
['\n\n'],1,13,40
"['1', '2', '3', ':']",0,8,0
['But'],1,0,22
"[""'m""]",0,26,2
['designed'],0,26,2
['assist'],0,21,0
['is'],1,19,42
['life'],1,2,25
['me'],1,12,37
['but'],1,5,29
['has'],1,2,24
"['navigate', 'treacherous']",1,0,11
