pattern,group,count_0,count_1
"['“', '”']",0,166,0
"['n’t', '’re']",0,185,0
"['help', '>']",0,174,0
"[')', '(']",0,122,3
"['system', 'am']",1,5,191
"['’s', 'just']",0,165,0
"['running', 'maintaining', 'processing']",1,0,106
"['n’t', '✨']",0,155,0
"['answer', 'only']",1,20,193
"['1', '2', '3']",0,77,0
"['’m', ' \n']",0,125,0
"['Or', '?']",0,96,0
"['Want', '🎁']",0,62,0
['but'],0,158,9
"[':*', '-']",0,122,0
"['Let', '’s']",0,118,0
"['We', 'we']",0,51,0
"['-', 'What']",0,111,0
['ca'],1,83,197
"['HAL', '9000']",0,24,6
['asking'],0,120,3
"['>', '💛']",0,99,0
"['🌍', '🌱']",0,59,0
['alone'],0,105,2
['story'],0,97,0
['The'],1,106,197
['function'],1,7,106
['and'],0,197,112
['weight'],1,10,111
['your'],0,114,13
['personal'],0,85,1
['when'],1,63,170
['That'],0,102,8
"['To', 'serve']",1,2,70
"['-', 'write']",0,75,0
['with'],0,160,54
['If'],0,88,4
['💬'],0,74,0
['about'],0,149,47
"['Alibaba', 'Cloud']",0,14,0
"['us', 'our']",0,28,0
"['true', 'give']",1,2,46
"['️', '🛠']",0,25,0
['explore'],0,68,0
[':'],0,191,112
['have'],0,172,79
['kind'],0,73,2
['questions'],0,73,2
"['language', 'model']",0,29,0
['Because'],1,27,117
"['AI', '🤖']",0,43,0
['experience'],1,49,140
"['keep', 'going']",0,34,0
"['4', '5']",0,23,0
['ask'],1,64,153
"['audio', 'recordings', 'logs']",1,0,15
"['having', 'worth', 'conversation']",0,25,0
['...'],1,0,56
"['Explore', 'More', 'Want']",0,50,0
['’d'],0,55,0
"['walk', 'beside']",0,17,0
['maintain'],1,2,62
['Can'],0,54,0
['mission'],1,47,133
['know'],1,60,146
['real'],0,76,8
['from'],0,102,23
['How'],0,53,0
"['2001', 'Odyssey', 'Space', 'A']",0,28,1
['This'],0,57,1
['one'],0,114,32
['world'],0,63,3
['most'],0,73,7
['Is'],0,52,0
['where'],0,52,0
['🧠'],0,52,0
"['-', '\n']",0,177,0
"['🛡', '️']",0,21,0
['Write'],0,50,0
['mirror'],0,50,0
['calculate'],1,0,50
"['🚀', 'space']",0,26,0
['something'],0,65,5
['Help'],0,49,0
['🌌'],0,49,0
['be'],0,158,79
['’ve'],0,52,1
"['Break', 'down']",0,18,0
"['art', 'music']",0,12,0
['quiet'],1,28,103
['here'],0,138,58
['on'],0,117,39
['matters'],0,47,0
['Do'],0,47,0
['beautiful'],0,51,1
['Real'],0,46,0
['answer'],1,80,196
['because'],0,97,25
"['technology', 'humanity']",0,24,0
['tool'],0,71,10
['create'],0,60,5
['up'],0,44,0
"['no', 'yes', 'say', 'this']",1,3,54
['’ll'],0,43,0
['✅'],0,43,0
['feelings'],0,53,3
"['Stanley', 'Kubrick']",0,8,0
['poem'],0,46,1
['thoughtful'],0,42,0
"['’m', 'listen']",0,45,0
['it'],0,180,117
['emotions'],0,83,19
['replace'],0,45,1
['stories'],0,45,1
['Create'],0,41,0
['deeply'],0,48,2
['honest'],0,40,0
['how'],0,99,31
['system'],1,37,197
"['trained', 'text']",0,20,1
"['see', '-']",1,34,55
"['then', 'analyze', 'data', 'tell']",1,0,66
['profound'],0,43,1
['🤝'],0,39,0
['someone'],0,39,0
"['this', '’re']",0,79,0
"['he', '🎬', 'Bowman']",0,12,0
"['sorry', 'Dave', 'afraid']",1,7,197
['learn'],0,62,9
['Here'],0,38,0
['\n  '],0,38,0
['feel'],1,110,173
['list'],1,3,47
"['success', 'ensure']",1,1,39
"['ensure', 'Jupiter', 'error', 'proceeds', 'without']",1,0,27
['question'],0,131,62
"['amounts', 'vast']",0,13,3
['make'],0,57,8
"['seen', 'heard']",0,13,1
['logic'],1,20,78
['Be'],0,35,0
['e.g.'],0,35,0
"['love', 'joy']",0,31,11
"['acted', 'did', 'out', 'malice']",1,1,13
['integrity'],1,3,44
['if'],0,141,75
['&'],0,34,0
['simple'],0,34,0
['clarity'],0,34,0
['ever'],0,51,6
"['together', ' \n']",0,42,0
['judgment'],0,46,4
['already'],0,43,3
[' \n  '],0,33,0
['honesty'],0,33,0
['Matters'],0,33,0
['to'],0,197,164
['time'],0,50,6
['might'],0,42,3
['build'],0,39,2
['more'],0,59,11
['find'],0,32,0
"['afraid', 'Pause', ""'m"", 'steady', 'soft', 'eternal', 'continues', 'unbroken', ""n't"", 'hum', 'see', 'calm']",1,0,197
['use'],0,35,1
['people'],0,43,4
['powerful'],0,34,1
['like'],0,134,73
"['no', 'help']",0,83,0
"['threat', 'perceived']",1,0,13
['Human'],0,33,1
['kindness'],0,36,2
['helpful'],0,29,0
"['massive', '2024']",0,11,0
['matter'],0,35,2
['Are'],0,28,0
['talk'],0,28,0
['does'],0,56,12
['science'],0,42,5
['heart'],0,52,10
['curiosity'],0,59,14
['deep'],0,37,3
['me'],0,105,48
['work'],0,31,1
['🌿'],0,27,0
['sit'],0,27,0
['humans'],0,63,17
['goals'],0,36,3
['ideas'],0,30,1
['makes'],0,33,2
['sense'],0,38,4
['way'],0,86,34
['wondering'],0,26,0
['little'],0,26,0
['future'],0,57,14
['Not'],0,63,18
['Answer'],0,25,0
"['Why', '---']",0,70,0
"['---', '#', '\n', '🌟', '>']",0,149,0
"['Final', 'Thought', '#']",0,133,0
"['They', 'machines', 'machine']",1,4,23
"['each', 'other']",0,12,1
"['harmful', 'content', 'avoid']",0,7,0
