pattern,group,count_0,count_1
"['matters', 'state']",1,0,84
"['1', '2']",0,67,38
"['I', 'my']",1,7,145
"['us', 'Let']",1,0,82
"['like', 'much']",1,2,72
"['It', 'one']",1,12,113
"['+', '=']",0,36,11
"['3', '4']",0,40,21
['must'],1,4,116
"['[', ']']",0,19,4
['kingdom'],1,0,89
"['{', '}']",0,18,0
['such'],1,5,93
"['days', 'filled']",1,0,20
"['Returns', 'Args']",0,14,0
"['first', 'second']",1,9,27
['Ah'],1,0,67
"['balance', 'delicate']",1,0,22
['One'],1,4,80
"['the', 'for']",1,73,160
"['dance', 'diplomacy']",1,0,22
['with'],1,50,157
['.'],1,188,277
"['your', 'appreciate']",1,1,32
"['A', 'indeed']",1,4,57
['realm'],1,0,57
"['Therefore', ',']",1,27,104
"[',', 'most']",1,23,102
['it'],1,58,156
['in'],1,95,197
"['me', 'reminds']",1,0,28
['speaks'],1,0,51
['court'],1,0,49
['simple'],1,5,65
['as'],1,50,140
"['confess', 'However']",1,0,26
"['smile', 'lips', 'knowing', 'gaze']",1,0,19
['matter'],1,3,58
"['\n', ':', '\n\n']",0,95,55
['mind'],1,3,57
"['puzzle', 'intriguing']",1,0,19
"['forging', 'alliances', 'defense']",1,0,14
['would'],1,33,113
"['Queen', 'Catherine', 'I']",1,0,72
"['well', '-', 'being', 'people']",1,2,26
"[':*', '  ', '(', ')']",0,35,4
['consider'],1,12,73
['understand'],1,2,47
"['more', 'than']",1,6,29
"['so', 'too']",1,1,19
['our'],1,8,61
['upon'],1,1,42
['present'],1,9,62
['even'],1,18,79
"['She', 'her']",1,1,12
"['frown', 'creases', 'brow', 'slight', 'gaze']",1,0,7
['accustomed'],1,0,36
['perhaps'],1,6,54
['be'],1,55,131
['grand'],1,0,35
['query'],1,1,39
['yet'],1,1,39
['within'],1,6,53
['these'],1,17,74
"[',', 'of', '\n\n', 'the', 'is']",1,83,191
"['that', 'a', 'of']",1,49,170
"['a', 'and', 'to', ',', 'the']",1,64,192
"['faint', 'touches']",1,0,11
"['its', 'of']",1,15,72
"['myself', 'As', 'find']",1,1,19
['this'],1,44,112
['examine'],1,1,36
['intricate'],1,0,32
['curious'],1,0,32
['–'],1,0,32
['own'],1,3,42
"['\n        ', '\n\n    ', '\n            ', 'if']",0,14,0
"['have', 'Now', 'if']",1,1,29
['royal'],1,0,31
['precision'],1,0,31
"['My', 'dear', 'subject', 'you', '\n\n']",1,0,54
"['`', 'python', 'def', '#', 'return', '):', '\n    ', '=', ')']",0,21,0
['see'],1,3,40
['nature'],1,2,37
"['Here', ""'s""]",0,44,3
['precise'],1,0,29
['not'],1,62,130
['task'],1,4,41
"['me', 'you', ""'ll"", 'excuse']",1,0,10
['And'],1,2,35
['presented'],1,0,28
['diplomatic'],1,0,28
['careful'],1,0,28
['clear'],1,7,47
['or'],1,66,132
['very'],1,17,65
['attention'],1,0,27
['Indeed'],1,0,27
['are'],1,83,151
['always'],1,8,48
"['""']",1,87,155
"['almost', 'imperceptible']",1,0,7
['rather'],1,5,41
['shall'],1,1,30
"['problem', 'case', 'where']",0,10,1
"['?', 'there', 'Is']",1,4,18
"['5', '6', '7', '(']",0,15,4
