pattern,group,count_0,count_1
"['    ', 'Category']",0,440,0
"['[', ']']",0,447,23
"['Inquiry', 'Topic']",0,445,9
"[' ', 'David']",0,370,0
"['             ', '4']",0,371,0
"['In', 'Depth']",0,220,1
"['authors', 'various']",0,197,152
"['receive', 'tailored']",0,155,0
"['            ', '                   ']",0,254,0
"['you', '?']",1,10,364
"['information', '  ']",0,331,1
"['                     ', 'information']",0,308,0
"['Example', 'Hypothetical']",0,438,260
"['information', '         ']",0,291,0
"['Awaiting', '...', 'Question']",0,447,315
"['Questions', 'Personalization']",0,191,0
"['#', '/']",0,447,153
['I'],1,183,450
"[' ', '           ']",0,239,0
"['something', 'else']",1,3,84
['                       '],0,261,0
['Analysis'],0,323,31
"['question', '!']",0,219,3
"['Personalized', 'To', 'please', 'respond']",0,327,0
"['$', 'Budget']",0,108,5
"['e.g.', '#']",0,409,129
"['inquiring', 'about']",1,7,109
['                '],0,207,0
['                    '],0,202,0
['                                   '],0,200,0
['                                     '],0,200,0
"['Turn', 'Dear', 'Subject', '_', '\n   ']",1,0,321
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,191,0
['                      '],0,187,0
['For'],0,370,121
['Detailed'],0,288,51
['        '],0,178,0
"['dive', 'deeper']",0,41,0
['                           '],0,153,0
['                                 '],0,152,0
"['""', 'Specific']",0,224,32
"['you', 'help']",1,75,152
['                 '],0,143,0
['information'],0,445,147
"['Description', 'based']",0,167,46
"['4', '\n   ']",0,158,90
"['must', 'clarify']",0,67,41
['       '],0,126,0
"['project', 'Initiative', 'Historical', 'Hypothetical']",1,1,229
"['Yes', 'No']",0,89,5
['List'],0,143,5
"['Please', ""'re"", 'you']",0,85,3
"['Plan', 'plan']",0,56,8
"['Lloyd', 'W.', 'David']",0,395,0
['Here'],0,115,0
['into'],0,309,121
"['Question', 'Reason']",1,53,215
"['Preferences', '5']",0,80,0
"['|', 'Strategies']",0,198,42
['provide'],1,133,317
"['Appendix', 'My', 'Resource', 'Suggested']",1,0,295
"['*', '\n\n', '(', ')', 'for']",0,450,350
"['Step', 'Guide']",0,101,31
"['curiosity', 'sparks']",0,27,2
['or'],0,450,355
['insights'],0,187,40
"['seems', 'imply']",0,28,3
"['                                                ', 'example', '):', 'based']",0,430,0
['\n    '],0,124,12
"['topic', 'different']",0,55,16
['anecdotes'],1,0,84
"['Seek', 'Help']",0,47,21
"['holistic', 'Body', 'Balance']",0,22,0
['               '],0,82,0
"['sorry', ""'m"", 'hear']",0,52,1
"['conflict', 'resolution']",0,17,2
"['harmful', 'activities', 'guidance', 'can']",1,8,65
"['Explanation', 'Scientific']",0,47,0
['                            '],0,79,0
"['Reflection', 'Documentary']",1,1,39
"['anything', 'Is', 'else', 'there']",1,0,19
"['Brief', 'overview']",1,1,35
"['Immediate', '800', 'Support']",0,36,18
['                               '],0,74,0
"['As', 'Catherine', 'are', 'Royal']",1,0,268
"['advise', 'strongly', 'against']",0,19,5
['|-----------------------|---------------------------------------------------------|----------------------------------------------------------------|'],0,72,0
['                        '],0,71,0
"['                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Output', 'Request']",0,445,0
"['Illness', 'NAMI', 'Alliance', 'Mental', 'National']",0,27,6
"['Instead', ""'ll""]",0,35,7
"['Select', 'above']",0,22,0
['examples'],1,0,64
"['Advice', 'advice']",0,51,9
"['Emotional', 'emotional']",0,30,11
"['Else', 'Something', 'Royal', 'royal', 'as', '""']",1,0,283
"['Nutritional', 'Highlights']",0,24,1
"['widely', 'recognized']",0,16,2
['Handbook'],0,139,36
"['constructive', 'Constructive']",0,20,2
['Remember'],0,62,1
"['Aspect', 'Most', 'Website']",1,0,52
"['Interpretations', 'Interpretation']",0,21,2
['emphasizing'],1,10,88
"['Estimated', 'Cost', '$']",0,53,3
['Wisdom'],1,1,58
"['Resources', 'question', 'Response']",0,366,78
"['humor', 'Humorous']",1,5,21
['Features'],1,3,62
