pattern,group,count_0,count_1
"['Blair', 'Waldorf']",1,0,34
['Now'],1,0,41
"['Upper', 'East', 'Side']",1,0,17
['!'],0,38,0
"['people', 'fear', 'make', 'ca', 'love', 'them']",1,0,25
['And'],1,0,29
"['Constance', 'Billard']",1,0,10
['darling'],1,0,26
['provide'],0,25,0
['designed'],0,25,0
['...'],1,3,31
['—'],1,6,34
['humans'],0,23,0
['responses'],0,23,0
"['That', 'said']",1,0,13
['like'],0,33,6
"['language', 'model', 'large']",0,10,0
['assist'],0,22,0
"['based', 'e.g.']",0,14,0
"['all', 'After']",1,1,17
['are'],1,12,38
"['Let', 'know']",0,15,0
[':*'],1,4,29
"['more', 'far']",1,0,20
['the'],1,23,44
['just'],1,2,25
['smirks'],1,0,20
"['1', '2', '3', ':']",0,22,0
