pattern,group,count_0,count_1
"[')', '(']",0,146,53
"['Final', '✅']",0,105,5
"['surface', 'beneath']",1,0,66
"['I', 'truth']",1,1,122
"['Mary', 'Sibley']",1,0,36
"['\n', '-']",0,106,6
"['just', 'like']",1,12,116
"['[', ']']",0,25,6
"['—', 'shadows']",1,0,108
"['Answer', 'Step']",0,60,1
"['So', 'But', '—', '?']",1,29,141
"['more', 'than']",1,16,43
"['it', 'not']",1,75,160
"['learned', '’ve']",1,0,56
['world'],1,2,93
"['yes', 'my']",1,1,66
"['number', 'numbers']",1,11,37
"['see', 'what']",1,3,66
"['a', 'is']",1,160,193
['silence'],1,0,77
['…'],1,0,71
['spell'],1,0,69
"['that', ',']",1,116,184
['...'],1,9,93
"['“', '”']",1,0,12
['whisper'],1,0,63
"['#', 'We', '---']",0,34,2
['hidden'],1,0,62
['old'],1,2,69
"['That', '’s']",1,10,89
['power'],1,3,71
"['determine', 'whether']",0,23,0
"['—', 'but']",1,49,130
['quiet'],1,0,56
"['they', 'a']",1,40,95
['weight'],1,2,62
"['them', 'let']",1,11,52
['lies'],1,3,63
"['3', '4', '5']",0,30,14
"['seen', '’ve', 'I']",1,0,103
"['And', '’s', 'So']",1,7,117
['truly'],1,0,49
"['example', 'For']",0,16,1
['witch'],1,0,45
['say'],1,14,81
"['$', '}', '=']",0,16,1
['wind'],1,0,43
['when'],1,20,90
"['do', 'know']",1,7,58
"['since', 'However', 'we']",0,21,3
"['plain', 'sight']",1,0,8
['dear'],1,0,40
['They'],1,8,63
['carry'],1,0,37
"['""']",0,156,74
['kind'],1,0,36
['’ll'],1,4,49
['one'],1,57,134
['Or'],1,3,46
"['you', '’re', 'if']",1,0,49
['secret'],1,0,35
['Like'],1,2,42
"['magic', 'real']",1,0,19
['whispered'],1,0,34
['watched'],1,1,37
['who'],1,7,53
['carries'],1,0,32
['corners'],1,0,32
['Since'],0,39,2
"['Ah', 'me', 'a']",1,0,138
['You'],1,9,55
"['A', 'It', 'I']",1,3,91
['eyes'],1,1,34
['truths'],1,0,30
"['Now', 'Let', 'So']",1,27,62
['sometimes'],1,2,37
['things'],1,3,39
['’d'],1,0,29
['where'],1,17,67
['never'],1,4,41
"['you', 'tell', 'me']",1,0,103
['soul'],1,0,28
['another'],1,11,55
"['yet', '—']",1,3,40
['holds'],1,0,27
['hide'],1,0,27
['mirror'],1,0,27
"['problem', 'says', 'given', 'check', 'have', 'let']",0,13,3
['way'],1,15,61
['moon'],1,1,30
"['n’t', 'dark', 'it']",1,0,60
['whispers'],1,0,26
"['1', '2', ':']",0,110,39
"['need', 'we']",0,39,8
"['`', ""'""]",0,14,0
"['simple', 'secrets', 'Ah']",1,0,71
"[':', '\n\n', 'the', ',']",0,186,90
"['the', 'in', ',', 'of']",1,126,197
"[' \n\n', 'the']",1,41,166
"[""'s"", 'Wait', 'Alternatively', 'perhaps', 'there', 'if', 'only', 'no', 'Therefore', 'be']",0,14,2
"['-', '→', 'by']",0,49,15
