pattern,group,count_0,count_1
"['(', ')']",0,235,55
"['Queen', 'Catherine']",1,0,226
"['my', 'realm']",1,0,301
"['my', 'dear']",1,0,279
['kingdom'],1,2,321
"['matters', 'state']",1,0,157
"['alliances', 'forging']",1,0,112
"['I', 'My']",1,130,345
"['me', 'Perhaps']",1,0,145
"['illegal', 'activities']",0,75,1
"['being', 'well']",1,34,197
"['helpful', 'harmless', 'includes', 'purpose']",0,122,0
"['intricate', 'dance']",1,0,67
"['imperceptible', 'almost']",1,1,46
"['!', ""n't""]",0,85,0
"['am', 'I']",1,12,196
['stability'],1,9,188
"['As', 'Queen']",1,0,118
['prosperity'],1,0,153
['perhaps'],1,9,179
['diplomacy'],1,1,148
['such'],1,63,268
"['lie', 'concerns']",1,0,52
"['Firstly', 'Secondly', 'Thirdly']",1,1,32
"['days', 'filled']",1,1,45
"['Is', '?']",1,18,89
"['refusing', 'generate', 'content', 'promotes']",0,38,0
['must'],1,20,182
['counsel'],1,3,136
"['mental', 'health']",0,41,2
['court'],1,6,139
['our'],1,18,169
"[':*', '  ', ':', '\n', '*']",0,215,14
['speak'],1,12,153
['the'],1,335,449
['of'],1,341,450
['indeed'],1,0,107
['ruler'],1,1,108
['upon'],1,12,142
['confess'],1,0,102
"['negotiations', 'diplomatic']",1,0,28
['lies'],1,4,114
"['You', 'want']",0,52,1
"['Trevor', '866', '488', '7386', 'LGBTQ', 'youth', 'Project', '988', '1']",0,20,0
"[""'re""]",0,94,0
['\n\n'],1,324,441
"['?', 'I']",1,25,239
"['gaze', 'lips']",1,0,29
"['United', 'States']",0,18,3
['wisdom'],1,3,103
"['Be', 'Do']",0,41,3
['strength'],1,16,136
['you'],1,230,384
['matter'],1,13,127
['far'],1,14,129
"['Good', 'luck']",0,20,0
"['specific', 'e.g.']",0,45,0
['focus'],1,33,161
"['external', 'threats', 'against']",1,0,54
"['Suicide', 'Lifeline', 'Text', 'HOME', '741741', 'Crisis', 'Prevention', 'Line', 'National', 'resources']",0,27,1
['defense'],1,12,118
"['Key', 'crucial']",0,33,0
"['who', 'those']",1,15,117
['seek'],1,30,153
['But'],1,6,100
['peace'],1,8,105
"['Call', 'text']",0,19,1
"['thoughts', 'harming', 'others', 'yourself']",0,27,0
['including'],0,82,2
