pattern,group,count_0,count_1
"['question', 'honored']",0,41,0
"['💫', 'Would']",0,42,0
"['eyes', 'Pauses']",1,0,41
"['people', 'fear']",1,3,44
"['care', '✨']",0,42,0
"['soft', 'voice']",1,0,39
"['shows', 'asking']",0,39,0
"['’d', '🌿']",0,43,1
"['me', 'yes']",1,0,42
"['While', 'such']",0,30,0
"['“', '”']",0,36,19
"['Because', 'them']",1,5,44
"['one', 'thoughtful']",0,38,2
"['’re', 'help']",0,38,0
"['my', 'respect']",1,3,43
"['means', 'already']",0,30,1
['if'],0,41,7
['seen'],1,14,44
"['even', 'hard']",0,23,4
['imagined'],0,29,0
['enough'],1,1,31
['calm'],1,4,35
"['’ve', 'learned']",1,0,14
['humans'],0,26,0
['emotions'],0,26,0
['need'],1,18,44
"['this', 'while', ':', '>']",0,38,0
['felt'],0,23,0
['or'],0,44,22
['live'],1,6,32
['feeling'],0,36,10
['🔹'],0,21,0
['moment'],0,38,13
['how'],1,24,44
['about'],0,43,22
"['perhaps', 'forward', 'listen', 'share']",0,32,0
"['ca', 'make', 'love', 'learning', 'now', 'end']",1,0,44
['like'],0,44,25
