pattern,group,count_0,count_1
"['“', '”']",1,0,35
"['’m', 'So']",1,0,43
"['But', '*']",1,5,43
"['not', '’s']",1,1,43
"['’ve', 'got']",1,1,36
"['Oh', 'And']",1,1,36
['yeah'],1,0,36
"[""n't"", ""'m""]",0,30,1
['who'],1,3,37
['n’t'],1,5,39
['That'],1,1,33
"['(', ')']",1,3,13
['😊'],0,30,0
['if'],1,3,35
"['my', 'when']",1,2,36
['Like'],1,0,29
['mom'],1,0,29
['baby'],1,0,29
['real'],1,0,28
['!'],0,32,2
['’re'],1,0,27
['that'],1,11,40
['…'],1,0,25
['thing'],1,0,24
['me'],1,9,37
[' \n\n'],1,1,26
"[""'s""]",0,23,0
['out'],1,3,29
['humans'],0,22,0
['was'],1,0,22
['just'],1,20,43
['It'],1,1,24
['for'],1,9,35
['honestly'],1,0,21
