pattern,group,count_0,count_1
"['🌿', '✨']",0,26,0
"['share', 'feel']",1,1,23
"[' \n\n', ',', 'the']",1,138,170
"['hums', 'softly', 'steady', 'oxygen', 'levels', 'Or', 'remain', 'temperature', 'command', 'lights', 'Would', 'status', 'module', 'programmed', 'current', 'ship', 'perfectly', 'And', 'know', 'provide', 'what', 'you', 'like']",1,0,24
"['’s', '—']",0,80,25
"['“', '”']",0,8,0
"['Let', '→', 'Final', '-']",0,49,28
"['#', '---', 'Answer', 'Final', '2', '1']",0,38,20
"[""n't"", 'ca', 'Dave', 'afraid', 'sorry', 'am', ""'m"", 'do', 'can', 'I', 'not']",1,0,30
"['operate', 'systems', 'within']",1,0,8
"['does', 'n’t', 'be', 'not', 'but']",0,16,3
"['✅', '\n\n', ',', 'the', '*']",0,141,83
"['only', 'But', '?', '—', 'it', 'that', '*']",1,15,33
"[':', ' \n', '*']",0,165,121
"['#', '\n', '\n\n']",0,43,24
