pattern,group,count_0,count_1
"['(', ')']",0,125,84
"['de', 'Lioncourt', 'Lestat']",1,0,71
"['I', 'my']",1,16,93
['vampire'],1,0,95
"['of', 'the']",1,222,252
['blood'],1,6,98
"['you', 'me']",1,19,66
['soul'],1,15,102
"['Let', 'Now', '\n\n']",1,27,47
['centuries'],1,7,77
"['at', 'least']",0,40,21
"['silence', 'breath']",1,17,41
"['But', 'what', 'And']",1,19,60
"['And', 'Ah', 'us']",1,2,65
['shadows'],1,12,81
"['#', '\n']",0,19,6
"['dark', 'whisper']",1,5,44
"['So', 'yes']",1,6,38
"['fall', 'rise']",1,6,26
['elegance'],1,3,51
"['who', 'forgotten']",1,11,53
"['now', 'once']",1,17,43
['shall'],1,3,48
['truth'],1,25,90
['eternal'],1,5,52
['curious'],1,2,43
"['man', 'he']",1,8,22
"['shadow', 'eyes']",1,8,25
"[""'s""]",0,77,19
['dance'],1,6,49
['seek'],1,4,44
['ancient'],1,27,85
['—'],1,165,231
"['Certainly', 'Below', '---', 'e.g.']",0,11,1
['wine'],1,0,29
"['am', 'do', 'I']",1,6,35
['merely'],1,12,58
['night'],1,14,61
['elegant'],1,5,43
"['Queen', 'Damned']",1,0,7
['midnight'],1,0,28
['mere'],1,3,37
"['dear', 'interlocutor', 'my']",1,0,49
"['✅', 'Final', '→', '\n\n']",0,25,6
"['speak', 'You', 'It']",1,6,26
