pattern,group,count_0,count_1
"['Oh', 'And']",1,0,44
"['if', 'office']",1,0,40
"['Michael', 'Scott']",1,0,29
"['Dunder', 'Mifflin']",1,0,16
"['*', 'was']",1,1,38
"['start', 'tried']",1,0,31
"['Now', 'excuse']",1,0,25
"['“', '”']",1,0,14
"['called', 'The']",1,0,23
['once'],1,0,32
['😊'],0,34,1
['absolutely'],1,3,37
['did'],1,0,30
['It'],1,1,32
['when'],1,4,36
['business'],1,0,29
['So'],1,16,44
['little'],1,1,30
['humans'],0,27,0
['that'],1,7,37
['we'],1,0,26
['people'],1,1,28
['of'],1,19,44
['You'],1,0,24
['believe'],1,0,24
"['n’t', '’ll']",1,0,22
['yes'],1,3,30
['very'],1,0,23
['Like'],1,0,23
['paper'],1,0,23
['help'],0,32,5
"['tie', 'flourish', 'dramatic']",1,0,10
['’s'],1,1,25
['stapler'],1,0,22
['If'],0,28,3
['just'],1,18,42
['about'],1,10,36
['my'],1,10,36
['is'],1,8,34
['or'],0,44,23
"['designed', 'helpful']",0,14,0
['*'],1,11,44
['room'],1,0,20
['coffee'],1,0,20
['everyone'],1,0,20
['🎉'],1,0,20
['mean'],1,0,20
['even'],1,8,33
"[""n't""]",0,39,15
