pattern,group,count_0,count_1
"['“', '”']",1,38,126
"['I', '’m']",1,14,112
"['just', 'n’t']",1,24,154
"['you', '’re']",1,17,130
"['Juno', 'MacGuff']",1,0,41
"['’ve', 'got']",1,1,63
"['na', 'gon']",1,0,23
"['And', 'But']",1,35,109
"['me', 'my']",1,9,61
"['she', 'her']",1,11,29
"['mom', 'baby']",1,0,30
"['That', 'So']",1,9,70
"['please', 'Oh']",1,0,26
['?'],1,61,167
['kind'],1,10,84
['’s'],1,142,241
"['down', 'break']",1,2,27
"['’ll', 'want']",1,1,38
['—'],1,154,242
['if'],1,67,155
['like'],1,108,198
"['thing', 'still']",1,5,51
"['who', 'about', 'up']",1,4,52
['yeah'],1,0,40
['trying'],1,5,56
['honestly'],1,0,39
['*'],1,134,218
['someone'],1,8,61
['let'],1,16,74
['here'],1,27,92
['your'],1,36,105
['go'],1,12,64
['asking'],1,2,40
['even'],1,55,127
['really'],1,2,39
['get'],1,5,47
"['’d', 'I']",1,5,58
['such'],0,78,22
['It'],1,64,135
['Like'],1,7,50
['little'],1,3,40
['hey'],1,0,30
['it'],1,138,210
"['For', 'example']",0,18,5
"['You', 'do', 'what']",1,11,43
