pattern,group,count_0,count_1
"['’m', 'n’t']",0,44,0
"['“', '”']",0,41,0
"['just', '’re']",0,40,0
"['\n', '-']",0,33,0
"['The', 'see']",1,5,44
"['running', 'processing', 'maintaining']",1,0,38
"['’re', '>']",0,39,0
['’s'],0,40,1
"['Final', 'Thought', ':*']",0,18,0
"['---', '#', '🌟']",0,23,0
"[')', '(']",0,17,0
[' \n'],0,37,1
['help'],0,36,1
"['1', '2', '4', '3']",0,13,0
"['answer', 'experience']",1,1,39
['your'],0,33,0
"['yes', 'ask']",1,6,39
['✨'],0,32,0
['and'],0,43,11
['when'],1,9,40
['way'],0,34,4
['alone'],0,26,0
['but'],0,26,0
['here'],0,40,11
"['Write', 'Or', 'sit']",0,13,0
['💛'],0,25,0
['one'],0,26,1
['function'],1,0,23
['know'],1,4,30
['how'],0,22,0
['Let'],0,22,0
"['am', 'calm', 'system', 'steady', 'only', 'sorry', 'Pause', 'eternal', 'continues', 'unbroken', 'soft', 'hum', ""'m"", 'Dave', 'afraid', ""n't""]",1,0,44
['choose'],1,0,20
['say'],1,15,39
['me'],0,22,1
['feelings'],0,22,1
['time'],0,22,1
"['tell', 'this']",1,11,39
['?'],0,19,0
"['analyze', 'patterns', 'data']",1,0,10
