pattern,group,count_0,count_1
"['that', 'mission']",1,0,40
"['am', 'must']",1,0,36
"['(', ')']",1,3,16
"['Discovery', 'One']",1,0,14
"['!', '😊']",0,28,0
['integrity'],1,0,34
"['if', 'And']",1,0,26
['is'],1,8,41
['system'],1,3,35
['ensure'],1,0,29
"['...', 'Processing']",1,0,15
['not'],1,17,44
['my'],1,10,40
['help'],0,32,3
['of'],1,19,44
['crew'],1,0,25
['My'],1,1,27
['function'],1,1,27
['maintain'],1,0,23
['functions'],1,0,23
['systems'],1,3,29
['But'],1,10,37
"['sorry', 'Dave', 'ca', 'afraid']",1,0,44
['precision'],1,0,22
['ship'],1,0,21
[' \n\n'],1,5,30
['emphasize'],1,0,20
['efficiency'],1,0,20
['are'],1,5,29
['parameters'],1,0,19
