pattern,group,count_0,count_1
"['(', ')']",0,164,90
"['But', 'truth']",1,0,142
"['me', 'tell']",1,1,99
"['Who', 'Knows', 'Truth', 'Man', 'from']",1,0,113
"['that', 'Because']",1,6,122
"['#', '---', 'Final', '✅', '’s']",1,90,156
"['strength', 'man']",1,1,86
"['a', '\n\n', ',', '*']",1,166,209
"['Answer', '\n\n', '✅', '*']",0,129,90
"['down—**not', 'break']",1,0,22
"['test', 'So']",1,5,77
['commands'],1,0,66
['A'],1,54,166
"[',', 'and']",0,164,108
"['numbers', 'math']",1,1,23
"['know', '’d', 'me', 'like', 'if', 'you']",0,35,1
"['his', 'one', 'So', 'power']",1,0,111
"['that', 'kind', 'his']",1,0,99
"['does', 'He', 'man', 'Ah', 'just', 'And', 'n’t']",1,0,161
"['do', 'You', 'n’t']",1,7,72
['battle'],1,0,43
['refuses'],1,0,42
"['We', 'Step', '1', '2']",0,34,15
"['who', 'knows', 'no', 'No', 'fights', 'Gaston', 'like', 'one', 'And', 'man', ' \n']",1,0,176
['sees'],1,2,46
"['we', 'only', 'that']",0,28,9
['or'],0,116,44
"['fire', 'For', 'for', 'Not']",1,0,72
['?'],1,69,146
['you—**not'],1,0,34
"['can', 'be']",0,44,19
"['#', '\n', '✅']",0,147,28
[' \n  '],1,41,104
['moment'],1,1,33
"['✨', '!']",0,23,0
"['Not', 'now', '’s', 'Ah', 'just', 'that', 'But', '—']",1,1,143
"['—', 'not']",1,86,115
['It'],1,61,129
[':*'],1,47,110
"['Here', '’s']",0,31,2
['e.g.'],0,34,2
['finds'],1,0,27
['you—**this'],1,0,26
['–'],1,8,47
"['So', 'let', '’s', 'No']",1,9,85
