pattern,group,count_0,count_1
"['“', '”']",1,27,406
"['Dunder', 'Mifflin']",1,0,345
"['But', 'And']",1,6,397
"['Scott', 'Michael']",1,0,304
"['That', 'once']",1,0,369
"['(', ')']",0,249,244
"['wow', 'Oh']",1,0,234
"['?', '’re']",1,18,352
"['’m', 'just']",1,4,343
"['Manager', 'Regional']",1,0,104
"['1', '2', '3', '4']",0,144,69
['got'],1,13,343
"['’s', 'n’t']",1,73,393
"['’s', '…']",1,4,312
['tried'],1,4,310
"['\n', '#']",0,103,9
"['gon', 'na']",1,0,63
"['if', 'me']",1,54,364
"['tie', 'adjusts']",1,0,81
"['I', 'you']",1,165,437
['was'],1,59,377
['Dwight'],1,0,264
['Like'],1,2,265
['did'],1,9,277
['So'],1,50,347
['lot'],1,2,251
['mean'],1,12,275
"['clears', 'throat']",1,0,51
['very'],1,10,258
"['That', 'office']",1,0,239
"['5', '6']",0,80,11
['question'],1,40,309
"['even', 'if']",1,41,318
['do'],1,92,370
"['company', 'paper']",1,1,127
['said'],1,6,217
"['mental', 'health']",0,53,7
['really'],1,29,266
['here'],1,19,245
"['as', 'such']",0,116,2
['maybe'],1,9,217
['then'],1,22,246
"['assist', 'request']",0,51,2
['get'],1,22,242
"['presentation', 'PowerPoint']",1,0,56
"['you', 'know']",1,109,327
['hey'],1,3,189
['Or'],1,5,194
['had'],1,21,234
['say'],1,15,218
"['States', 'United']",0,34,7
['little'],1,11,204
['learned'],1,3,177
['been'],1,45,272
['tell'],1,1,161
['think'],1,5,176
['we'],1,22,221
"['speech', 'motivational']",1,0,57
['guy'],1,1,158
"['He', 'he']",1,14,113
['let'],1,25,225
['when'],1,70,299
"['You', 'you']",1,88,312
['what'],1,45,259
"['seriously', 'But']",1,3,153
['*'],1,240,436
['—'],1,232,432
['thing'],1,6,168
['about'],1,147,375
['Because'],1,3,157
['talk'],1,7,170
['It'],1,115,343
['ever'],1,14,188
['We'],1,7,168
['Ohhh'],1,0,139
['stapler'],1,0,139
"['7', '8']",0,34,0
['like'],1,178,396
['it'],1,205,414
"['Company', 'Paper']",1,0,34
"['Leans', 'Pauses']",1,0,37
['whole'],1,8,167
['at'],1,104,325
['great'],1,17,189
['Scranton'],1,0,133
"['expression', 'leans', 'serious']",1,0,68
['real'],1,58,263
['how'],1,66,272
['still'],1,20,187
"['Sweet', 'Caroline']",1,0,24
"[""'s""]",0,149,18
['good'],1,24,194
['e.g.'],0,101,0
['not'],1,234,422
"['write', 'letter']",1,1,48
['something'],1,38,213
"['thinking', 'lately']",1,0,43
['who'],1,76,271
['love'],1,17,167
['trying'],1,14,157
"['you', ""'re""]",0,168,58
['sandwich'],1,0,106
['honestly'],1,3,119
"['Suicide', 'Lifeline', '988', 'Crisis', '&']",0,21,5
"['Here', '---', 'Use']",0,58,1
['cried'],1,0,103
['often'],0,89,1
['up'],1,48,216
['heart'],1,12,141
['because'],1,64,237
['coffee'],1,4,114
"['farm', 'beet']",1,0,21
"['asking', 'appreciate']",1,0,48
['Jim'],1,3,109
['kind'],1,13,139
"['just', 'back']",1,15,138
"['illegal', 'unethical']",0,26,4
"['fair', 'share']",1,0,38
"['wipes', 'tear']",1,0,19
['start'],1,14,138
['bad'],1,6,114
['meeting'],1,0,89
['that'],1,269,426
"['fails', 'else']",1,0,24
"['step', 'guide']",0,28,0
['called'],1,9,121
['need'],1,61,222
['...'],1,4,103
['one'],1,75,240
['accidentally'],1,0,85
['so'],1,37,179
"['angry', 'feeling']",1,11,45
"['family', 'member']",0,29,5
['including'],0,98,11
['Not'],1,25,152
['Just'],1,14,127
['or'],0,343,260
['things'],1,13,124
['boss'],1,3,93
['always'],1,27,153
"['sighs', 'dramatically']",1,0,26
"['team', 'building']",1,2,40
['time'],1,59,206
['thought'],1,9,108
['someone'],1,76,230
['ta'],1,0,75
"['’ll', 'excuse', 'Now']",1,0,128
['In'],0,159,54
[' \n\n'],1,5,94
['named'],1,2,80
['Office'],1,4,87
['emotional'],1,28,145
['man'],1,5,89
['way'],1,86,236
"['break', 'room']",1,1,48
"['character', 'fictional']",0,21,3
