pattern,group,count_0,count_1
"['                         ', '                                            ']",0,264,0
"['[', ']']",0,253,20
"['                             ', '      ']",0,262,0
"['Output', '    ']",0,253,1
"['haute', 'couture']",1,0,124
"['various', 'authors']",0,104,0
"['Insights', 'into']",0,155,0
"['In', 'Depth']",0,104,2
"['As', 'connoisseur']",1,0,71
"['Provided', 'Above']",1,1,121
"['1', '2']",0,279,202
['            '],0,178,0
['   '],0,183,6
"['3', '4']",0,243,69
"['3', '             ']",0,156,1
['         '],0,163,2
"['eye', 'discerning']",1,0,53
"['more', 'Question', 'Deep', 'Dive', 'Respond', 'following', 'information', 'Request', 'Inquiry']",0,234,0
['                                     '],0,141,0
['                     '],0,135,0
"['akin', '—', 'it']",1,0,144
['                       '],0,133,0
['Response'],0,275,112
"['Personalized', 'please', 'respond', 'To']",0,62,0
['Detailed'],0,214,48
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,120,0
['  '],0,146,9
['                   '],0,113,0
['           '],0,116,1
['        '],0,123,3
['---'],1,0,232
"['Additional', '                    ']",0,104,0
"['seems', 'misunderstanding', 'there', 'It']",0,31,1
"['                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Expected', 'Other']",0,242,0
"['provide', 'Please', 'à', 'la', 'Elegance', 'Custom']",1,0,163
"['I', ""'ll"", 'provide']",1,51,99
['or'],0,265,129
"['Khan', 'Academy']",0,17,0
['                '],0,94,0
['                                   '],0,92,0
"['understanding', 'requires']",1,3,49
['is'],1,119,251
"[' ', 'Your']",0,245,156
"['Awaiting', '...', 'Your']",0,265,1
"['Linguistic', 'Power']",0,44,0
['on'],0,255,129
['Refined'],1,2,90
['\n    '],0,114,11
"['+', '\n\t']",1,0,39
"['like', 'much']",1,1,31
['     '],0,95,5
"['Invest', 'Provided']",1,0,66
"['Upper', 'East', 'Side']",1,0,13
"['Advice', 'precision']",1,0,51
['Explanation'],0,124,20
['                      '],0,75,1
['Personalization'],0,70,0
['                           '],0,70,0
['task'],1,28,133
['                                 '],0,69,0
"['à', 'Attend']",1,0,67
"['Blair', 'Waldorf', 'darling', '’s']",1,0,194
"['attention', 'detail']",1,0,26
"['W.', 'Lloyd', 'Resources', 'David', 'by', 'Additional']",0,231,0
['sophisticated'],1,0,63
"['Inquiry', 'Provided']",1,32,89
"['Style', 'William', 'Elements', 'writing']",0,16,0
['Handbook'],0,58,0
"['can', 'elegance', 'n’t']",1,0,140
"['Grocery', 'Shopping']",0,12,1
['The'],0,254,156
['                 '],0,60,1
['                                    '],0,55,0
['Enthusiasts'],0,54,0
['insights'],0,92,15
"['You', 'Parting', 'n’t', 'ca', 'you', 'but']",1,0,152
"['Desired', 'refined']",1,0,61
"['linguistic', 'Linguistics']",0,22,0
['fashion'],1,0,51
"['yet', 'straightforward', 'requiring']",1,0,21
['       '],0,54,1
"[""'s""]",1,134,231
"['tailored', 'elegant', ' ']",1,0,106
"['smirks', 'intrigued', 'by']",1,0,24
['Strategies'],0,53,1
['handbag'],1,0,48
"['Calculation', 'calculation', '=']",1,3,17
['gown'],1,0,47
"['High', 'Low']",0,18,4
"['Rare', 'Collect']",1,0,10
"['Note', 'Tip']",1,0,22
['designer'],1,0,45
['Clarification'],0,64,6
['|-----------------------|---------------------------------------------------------|-----------------------------|'],0,44,0
['                            '],0,44,0
['Practice'],1,1,48
['luxury'],1,1,47
['                               '],0,42,0
['outfit'],1,0,42
"['Eckhart', 'Tolle', 'Now', 'Power']",0,9,0
"['donning', 'hat']",1,0,7
"['converting', 'conversion', 'Conversion']",1,1,10
['one'],0,244,162
