pattern,group,count_0,count_1
"['oxygen', 'levels']",1,0,195
"['(', ')']",1,10,197
"['🌿', '✨']",0,171,0
"['“', '”']",0,118,9
"['carry', 'quiet']",0,127,0
"['shows', 'one']",0,132,0
"['just', 'While']",0,122,0
"['’s', 'That']",0,153,4
"['already', 'You']",0,94,0
"['about', '🔹']",0,123,0
"['truth', 'while']",0,103,0
"['Would', '?']",1,150,197
"['question', 'thoughtful']",0,129,1
['but'],0,186,45
['But'],1,74,197
"['no', 'function']",1,2,124
['stability'],1,0,108
"['there', 'Only']",1,1,70
"['power', 'presence']",0,79,0
"['most', 'powerful']",0,56,1
['share'],1,99,197
"['way', 'humans']",0,95,41
"['every', 'conversation']",0,60,0
"['does', 'mean']",0,41,0
['The'],1,109,197
"['connection', 'about']",0,109,3
['we'],0,93,2
"['show', 'up']",0,34,0
['feel'],1,113,197
['explore'],0,84,0
"['seen', 'heard']",0,36,0
['respect'],0,81,0
['system'],1,26,130
"['deeply', 'So']",0,78,1
"['vast', 'amounts']",0,21,1
"['mission', 'ensure']",1,1,72
['truly'],0,74,1
['someone'],0,68,0
['meaningful'],0,67,0
"['being', 'present']",0,63,0
"['model', 'large', 'language']",0,21,0
['strength'],0,73,2
['operate'],1,19,108
['what'],1,132,197
"['tone', 'context']",0,26,0
"['content', 'harmful']",0,19,0
['something'],0,81,6
['with'],0,176,89
"['important', 'just']",0,58,1
[' \n\n'],1,137,197
"['to', 'you']",1,186,197
['maintain'],1,3,69
['heart'],0,58,0
"['moment', 'felt', 'when', 'feeling']",0,65,0
['world'],0,73,5
"['doubt', 'hesitation']",1,0,27
['precision'],1,3,65
['can'],1,144,197
"['build', 'humanity']",0,34,3
['failure'],1,4,66
['your'],0,53,1
['In'],0,77,11
['people'],0,58,3
['technology'],0,58,3
"['no', 'There']",1,6,58
"['most', 'thing']",0,44,1
['find'],0,46,0
['because'],0,102,29
"['Discovery', 'One', '*']",1,14,36
"['us', 'our']",0,23,0
"['help', '’d', 'be']",0,158,0
['systems'],1,21,89
['values'],0,70,10
"['within', 'parameters']",1,0,27
"['even', 'hard', 'when']",0,65,0
['honor'],0,43,0
"['profound', 'one']",0,48,0
"['love', 'joy', 'emotions']",0,29,13
['kind'],0,41,0
['then'],1,3,51
['interpret'],1,6,58
"['safely', 'proceeds']",1,0,15
['reflect'],0,81,19
['answer'],0,49,3
"['\n\n', '💫', 'n’t', 'asking', 'care', ' \n']",0,152,0
['understanding'],0,55,6
['grow'],0,63,10
['am'],1,59,197
['know'],1,49,197
"['Safety', 'Respect']",0,10,0
['beauty'],0,36,0
"['thinking', '’re']",0,45,0
['stories'],0,43,2
"['be', 'listen', '💫', '🌿']",0,130,0
['beautiful'],0,35,0
['answers'],0,35,0
"['if', ':', '’re', 'means', 'believe', 'this']",0,137,0
['behind'],0,34,0
['prevent'],1,2,41
['silence'],0,40,2
['protocol'],1,0,33
['meaning'],0,60,11
"['steady', 'command', 'temperature', 'module', 'provide', 'afraid']",1,0,196
"['pressing', 'button', 'before']",1,0,7
"['*', 'And', 'it', 'in', 'not']",1,160,197
"['not', 'If']",1,32,85
['see'],0,68,16
"['responsibility', 'ethical']",0,18,0
['empathy'],0,59,11
"['2001', 'Space', 'A', ':']",0,19,4
"['afraid', ':']",1,13,68
['We'],0,35,1
"['gently', 'clarify']",0,12,0
['monitor'],1,2,38
"['without', 'error']",1,0,23
['’ve'],0,31,0
['data'],1,47,108
"['where', 'say']",0,50,7
"['!', 'happy']",0,13,0
['person'],0,47,6
['deeper'],0,34,1
"['’m', 'here', 'in']",0,50,0
"['question', 'grace', 'quiet']",0,79,0
"['honored', 'this', '’d']",0,138,0
['deep'],0,44,5
"['problems', 'solve', 'intelligence']",0,12,1
"['sorry', ""'m"", ""n't""]",1,29,197
['hope'],0,48,7
['crew'],1,21,72
"['forward', 'imagined', 'perhaps', 'real', 'carry']",0,78,0
"['say', 'courage', 'moment']",0,83,0
['feels'],0,32,1
['words'],0,28,0
"['perspectives', 'diverse']",0,8,0
"['protocols', 'pre']",1,0,10
"['child', 'parent']",0,8,0
['clarity'],0,48,8
['generate'],0,34,2
['shares'],0,27,0
['saying'],0,27,0
"['’re', 'tool']",0,46,0
"['avoid', 'false']",0,11,0
['logic'],1,26,76
"['story', 'it']",0,65,7
['mirror'],0,30,1
['speed'],0,33,2
['like'],1,171,197
['respectful'],0,26,0
['spirit'],0,26,0
['understand'],0,68,21
['and'],0,181,137
"['ca', 'question']",1,22,49
"['Dave', 'only', 'ca', ""n't"", 'status', 'remain', 'ship', 'perfectly', 'programmed', 'softly', 'lights', 'Or', 'hums', 'current', 'am', 'know']",1,0,197
"['longer', 'trusted', 'if', 'begins']",1,0,9
"['weigh', 'threatens']",1,0,9
"['detect', 'anomalies']",1,1,14
"['he', 'himself', 'observe', 'Bowman']",1,0,9
"['Thank', 'care']",0,28,0
['stillness'],0,25,0
['honesty'],0,25,0
['shared'],0,34,3
"['imagine', 'future', 'AI']",0,14,1
['me'],0,70,24
['gentle'],0,24,0
"['be', 'how', 'it']",0,108,2
"['experiences', 'personal', '?']",0,33,3
"['space', 'exploration', 'spacecraft']",0,10,0
"['Alibaba', 'Cloud', 'developed', 'by']",0,11,0
"['universe', 'cosmos', 'imagine']",0,7,0
"['very', 'touches']",0,9,1
"['designed', 'was']",1,24,53
"['make', 'choices']",0,22,5
"['wonder', 'curiosity', 'n’t']",0,19,0
"['>', 'So', ':', '\n\n', 'question', ' \n']",0,143,0
