pattern,group,count_0,count_1
"['just', 'part']",1,0,118
['|'],0,129,0
"['""']",1,14,129
"['language', 'model']",1,18,49
"[':', '*']",0,104,86
"['*', ':*']",1,1,90
['one'],1,35,121
"['Gossip', 'Girl']",1,4,16
"['TV', 'show']",1,2,29
"['fictional', 'character']",1,4,27
['it'],1,80,124
"['Waldorf', 'party', 'Life', 'Blair']",1,0,128
['is'],1,94,129
['-'],1,94,129
"['an', 'AI', 'do']",0,89,49
"['so', 'directly']",0,14,2
"['me', 'myself']",1,1,21
"['As', 'I']",1,96,122
"['get', 'eat', 'enough', 'Care']",1,0,9
