pattern,group,count_0,count_1
"['voice', 'Pauses']",1,0,119
"['Would', '💫']",0,108,0
"['✨', 'help']",0,104,0
"['learning', 'yes']",1,0,113
"['care', 'honored']",0,102,0
"['people', 'respect']",1,13,126
"['ca', 'soft']",1,0,113
"['them', 'fear']",1,12,126
"['shows', 'While']",0,67,0
"['learning', 'calm']",1,0,99
"['gently', 'clarify']",0,34,0
['need'],1,39,126
"['this', '🔹']",0,66,0
"['grace', 'such']",0,55,0
"['only', 'lasts']",1,0,33
"['even', 'hard']",0,72,20
"['dress', 'red']",1,0,20
"['honest', 'learned']",1,3,78
['strong'],1,2,72
"['was', 'did']",1,5,64
['seen'],1,56,126
['question'],0,118,42
['But'],1,59,126
['Not'],1,29,105
['ca'],1,21,129
['that—*I'],1,0,57
"['large', 'language', 'Qwen3', 'model']",0,15,0
"['personal', 'experiences']",0,45,0
"['conversation', 'while', 'every']",0,65,0
"['>', 'asking', 'if', '’re', 'this']",0,92,0
['how'],1,67,126
['’ve'],1,28,98
['meaningful'],0,51,0
['or'],0,123,63
['matters'],1,13,78
['loud'],1,9,71
['have'],0,119,57
"[""'m"", 'sorry', ""n't""]",0,16,3
"['watching', 'no']",1,0,25
['perfect'],1,30,96
['emotions'],0,49,1
"['started', 'stopped']",1,0,19
"[' \n', 'And', 'So']",1,104,123
['like'],0,120,64
"['silence', 'And']",1,41,98
['’m'],1,78,126
['thoughtful'],0,60,8
['enough'],1,5,53
['girl'],1,0,39
['Ah'],1,3,48
['live'],1,21,76
['stand'],1,0,36
['trying'],1,4,47
"['real', 'can']",1,82,126
['myself'],1,7,53
['It'],1,76,122
['loved'],1,3,44
['any'],0,38,1
['know'],1,27,81
['who'],1,27,81
['believed'],1,0,34
"['!', '😊', 'playful']",0,9,0
['what'],1,80,123
"['1', '2', '4', '3']",1,0,7
['pain'],1,23,75
['explore'],0,32,0
['without'],1,18,67
['stop'],1,1,35
['room'],1,1,35
['here'],0,68,20
['never'],1,6,45
['okay'],1,10,52
['had'],1,7,46
['we'],0,53,11
['thought'],1,1,32
"['means', 'already', 'believe', 'You']",0,78,0
"['just', 'You', '\n\n']",1,72,126
"['experience', '\n\n']",0,42,5
['connection'],0,60,16
['control'],1,23,69
[':'],0,109,64
"['perhaps', 'forward', 'imagined', 'share', 'listen', 'courage']",0,74,0
['hide'],1,5,40
['purpose'],0,33,2
['nor'],0,26,0
['patience'],0,26,0
['meant'],1,0,26
"['“', '”', ' \n']",1,89,106
"[' \n\n', '—']",1,92,126
"['n’t', '?', '—', 'be']",1,113,126
"['’d', '🌿', 'be']",0,118,4
['everyone'],1,2,31
"['felt', 'feeling', 'truly']",0,38,2
['sit'],1,12,50
['That'],1,96,126
['broken'],1,5,37
"['humans', 'way', '’s']",0,39,0
"['’s', 'quiet', '*']",1,99,126
"['reflect', '*']",0,42,3
"['my', 'me', 'love', 'Because', 'now', 'eyes', 'make', 'end']",1,0,124
['by'],1,27,69
"['simply', 'can']",0,48,4
"['carried', 'years']",1,0,13
"['show', 'up', '*']",0,55,18
