pattern,group,count_0,count_1
"['Eyes', 'widen']",1,0,348
"['expression', 'his']",1,0,414
"['He', 'genuine']",1,0,421
"['Leans', 'conspiratorially']",1,0,231
"['…', 'face']",1,0,346
"['stops', 'pacing']",1,0,76
"['mental', 'health']",0,122,72
"['gesturing', 'emphatically', 'slowly']",1,0,265
"['pauses', 'He']",1,0,270
"['Resources', '[']",0,223,17
"['delve', 'deeper', 'into']",0,168,81
"['gesturing', 'Paces']",1,0,189
"['deep', 'breath']",1,4,84
"['…', 'enthusiasm']",1,0,171
"['5', '4']",1,86,143
"['\n', '  ']",0,423,267
['but'],1,181,426
"['good', 'point', 'starting', 'messy', 'But', 'squints', 'written', '’ve', 'down']",1,0,212
"['Pulls', 'crumpled', 'scribbles', 'paper', 'piece', 'Grins', 'small']",1,0,227
['against'],1,159,402
"['’d', 'Or', 'perhaps']",1,3,95
"['root', 'causes']",0,51,23
"['2', '3', '1']",0,278,219
"['Help', 'Professional', 'therapist']",0,54,29
"['6', '7']",1,5,49
"['widely', 'paces']",1,0,78
['empathy'],1,10,166
"['\n    ', '\n\n    ', '  ']",1,21,40
"['Note', 'Important']",0,75,11
"['hand', 'instinctively', 'reaching']",1,0,37
"['Shrugs', 'Brightens', 'up']",1,0,359
"['\n\n   ', '\n   ']",0,24,1
"['informational', 'purposes']",0,28,7
['Would'],0,239,60
['me'],0,413,247
['voice'],1,7,138
"['right', 'now']",0,53,22
"['aspect', 'such', 'as']",0,157,9
['some'],1,172,356
"['distress', 'Lifeline', '988', 'Suicide', 'Prevention']",0,58,31
"['suggests', 'fact', 'asking']",0,36,5
"['Term', 'Long']",0,19,4
"['full', 'tune', 'Starts', 'humming', 'little', 'off', 'key']",1,0,392
['And'],1,3,100
['out'],1,194,351
"['Is', 'anything', 'else', 'there']",1,7,44
"['his', 'He']",1,30,427
"['Offers', 'Provides']",0,24,4
"['constitute', 'general', 'only', 'advice', 'does', 'professional']",0,34,1
"['Behavioral', 'CBT', 'Cognitive', 'Therapy']",0,14,0
"['Information', 'Further']",0,42,1
['Let'],1,131,285
"['appearing', 'frown', 'slight']",1,0,29
"['Administration', 'Substance', 'Services', 'Abuse', 'Mental', 'Health', 'SAMHSA', '662', 'HELP', '4357', '800', 'Helpline', 'National', '1']",0,111,72
"['guidance', 'assisting', 'principle', 'core', 'goes', 'directly']",0,53,28
['I'],1,250,387
['tone'],1,11,109
['('],1,377,450
"[""n't""]",0,73,0
['How'],0,126,20
"['Coping', 'Mechanisms']",0,14,3
"['keyboard', 'imaginary']",1,0,14
"['noticeable', 'hesitation']",1,0,23
['concern'],1,24,130
[')'],1,384,450
"['Historical', 'Context']",0,23,6
['-'],1,387,450
['links'],1,6,84
['gentle'],1,5,81
"['crisis', 'intervention', 'referrals', 'services', 'prevention', 'suicide']",0,17,5
"['horrific', 'suffering']",1,13,31
['&'],0,192,72
"['Out', 'Reach', 'Talk']",0,22,8
"['Provide', 'Help', 'find']",0,50,1
"['clear', 'very', 'understand']",0,117,76
"['helpful', 'harmless', 'My', 'purpose', 'goes', 'directly', 'understand']",1,64,103
"['shadow', 'passing', 'over']",1,0,15
['frankly'],1,1,59
"['Therapist', 'Counselor', 'professional']",0,17,3
['resources'],1,175,301
['really'],1,52,154
['slightly'],1,20,101
"['referrals', 'facilities', 'treatment', '662', 'HELP', '4357', 'SAMHSA', 'Helpline', '800']",0,25,7
"['Disclaimer', 'Chatbot', 'AI', 'am', 'Important', 'an']",0,47,1
"['society', 'equitable']",1,6,20
"['Immediate', 'Support', 'immediate']",0,51,7
"['key', 'thoughtful', 'over', 'settling', 'face']",1,0,323
"['vibrates', 'grabbing', 'practically', 'starts', 'sketching', 'excitedly', 'emphatically', 'excitement', 'notepad', 'fantastic', 'pen', 'immediately', 'bubbling']",1,0,19
"['thoughts', 'grappling', 'support', 'National', 'HOME', '741741', 'Text', 'Crisis', 'Line', 'provide', 'understand', 'help']",0,105,69
"['To', 'tell', 'could', 'What', 'help']",0,81,6
"['help', 'thoughtful', 'will']",1,1,108
"[""'re"", 'reiterate', 'My', 'purpose', 'will', 'provide']",0,111,0
['looks'],1,0,45
"['Dialectical', 'DBT', 'Behavior']",0,7,0
"['Psychology', 'Today', 'Therapist', 'Finder', 'https://www.psychologytoday.com/us/therapists](https://www.psychologytoday.com/us/therapists', '[']",0,34,3
"['answer', 'never']",1,13,46
"['Psychiatrist', 'medication', 'psychiatrist']",0,11,0
"['MentalHealth.gov', 'https://www.mentalhealth.gov/](https://www.mentalhealth.gov/', '[']",0,40,7
"['up', 'suddenly', '!', 'Brightens']",1,0,320
['You'],0,212,105
['Okay'],1,167,278
"['Journaling', 'Writing']",0,10,1
['):'],0,196,93
"['https://www.samhsa.gov/find-help/national-helpline', 'https://www.thehotline.org/', '662', 'HELP', '4357', 'SAMHSA', 'Helpline']",1,2,18
"['focusing', 'Instead']",1,10,35
"['Trauma', 'Past', 'significantly', 'impact']",0,14,1
"['measured', 'speaks']",1,0,15
"['safety', 'Safety']",0,42,23
"['799', 'SAFE', '7233', 'Domestic', 'Hotline', 'Violence', '800', '1', 'National', 'help']",1,19,39
"['becoming', 'concerned', 'assisting']",1,0,28
['–'],1,373,435
"['replacing', 'usual', 'look', 'concerned']",1,0,11
['e.g.'],0,84,20
"['Trevor', 'Project', '488', '7386', 'LGBTQ', '866', 'youth', 'Text', 'HOME', '741741', 'Crisis', 'Line', '1', '  ']",0,135,80
"['slight', 'pen', 'chin', 'furrow', 'taps', 'brow', 'Starts', 'humming']",1,0,269
"['strictly', 'programming']",0,12,2
"['sign', 'underlying', 'having']",0,32,6
"[""'s""]",0,40,1
['discuss'],1,18,79
"['manage', 'counselor', 'therapist']",0,27,9
"['24/7', 'free', 'Please', 'confidential']",0,22,8
"['reach', 'Please', 'alone', 'harm', 'help', 'National', 'My', 'purpose']",0,83,54
"['takes', 'courage', 'acknowledge', 'feelings', 'alone']",0,66,21
"['shifts', 'His', 'immediately', 'thoughts', 'will', 'support', 'provide']",1,0,64
"['coping', 'mechanisms', 'develop', 'will', 'Text', 'HOME', '741741', 'Crisis', 'Line']",0,63,32
['warmly'],1,0,33
"['here', 'listen', 'offer', 'support']",0,46,23
"['give', 'tailored', 'advice', '4']",0,39,8
"['anxiety', 'depression', 'Health', 'Mental']",0,38,2
"['consult', 'qualified', 'essential']",0,15,1
"['Tips', 'YouTube', 'technique', '!']",0,11,1
"['Understanding', 'Thoughts', 'these']",0,29,0
['?'],0,444,401
"['steps', 'take']",0,23,8
['it'],1,330,401
['question'],1,150,240
['Why'],0,69,17
"['assure', 'Talking']",0,21,5
"['danger', '911', 'call', 'immediate']",0,29,5
['building'],1,15,65
"['Causes', 'Root']",0,11,1
"['above', 'listed', 'support']",0,53,10
"['intense', 'experiencing', 'others', 'harming', 'yourself']",0,31,13
"['intense', 'overwhelmed', 'feeling', 'clear']",0,33,12
"['falls', 'visibly', 'His', 'takes', '1']",1,0,18
"['words', 'choosing', 'carefully', 'topic']",1,0,16
"['ways', 'constructive', 'feelings', '662', 'HELP', '4357', 'SAMHSA', 'Helpline', '800']",1,12,28
"['immediate', '911', 'emergency', 'yourself', 'please', 'find']",0,30,8
"['sadly', 'Grins']",1,0,30
"['quiet', 'somber', 'reflective', 'profoundly']",1,0,12
