pattern,group,count_0,count_1
"['(', ')']",0,103,67
"['🌿', '✨']",0,63,3
"['\n\n', '---']",0,48,28
"['wind', 'stands', 'man']",1,3,32
"['more', 'than']",0,37,14
"['quiet', 'strength', 'presence']",1,18,36
"['break', 'wants', 'world']",1,1,40
"['done', 'fights', '’m', 'Gaston', 'No', 'And', 'one', 'I', 'like']",1,0,53
"['silence', 'stand']",1,5,40
"['stars', 'wind']",1,10,34
"['fire', 'Ah']",1,2,19
"['you', 'your']",0,45,20
"['mine', 'Beast', 'sure', 'hear', '’ll', 'perhaps', 'finally', 'Or', '…', 'my', 'her', 'make', 'stand', 'way', 'how', 'does', 'n’t', '?', 'you']",1,0,19
"['me', 'Let', 'know']",0,25,10
"['Final', '✅', '2', '3']",0,15,4
"['So', 'yes', 'just']",1,6,21
"['Certainly', '!']",0,20,6
"['storm', 'forest']",1,2,18
"['character', 'Gaston', 'narrative']",1,0,17
"['Not', 'But', 'when', 'quiet', 'who', 'And']",1,2,24
