pattern,group,count_0,count_1
"['Okay', 'So']",0,279,52
"['Sibley', 'Mary']",1,0,125
"['1', '2']",0,156,108
"['(', ')']",0,239,168
"['see', 'let']",0,230,54
"['maybe', 'But']",0,177,32
"['[', ']']",0,54,24
"['user', 'wants']",0,111,28
"['For', 'example']",0,113,17
"[' \n', ' \n\n']",0,128,72
"[""n't"", '\n']",0,219,45
['should'],0,230,52
"['let', 'First']",0,199,40
['which'],0,207,46
"['is', 'to']",0,293,150
"['down', 'break']",0,39,8
['if'],0,246,89
"['Okay', 'Hmm']",0,169,28
"['=', '+']",0,52,28
['there'],0,201,47
"['since', 'given']",0,109,19
['it'],0,263,117
"['I', '.']",0,288,169
['that'],0,266,124
"[""'s"", 'check']",0,178,40
"['based', 'on']",0,97,24
"['second', 'first']",0,71,21
"['sense', 'makes']",0,53,6
['are'],0,252,116
['answer'],0,182,47
['so'],0,206,68
['says'],0,161,33
"['out', 'figure']",0,44,8
['The'],0,285,179
['Since'],0,135,22
['about'],0,163,41
['shadows'],1,0,78
"['made', 'mistake']",0,33,8
['might'],0,176,54
['would'],0,198,73
['because'],0,148,34
['but'],0,235,112
['That'],0,145,33
['Therefore'],0,121,20
"[',', 'and']",0,279,182
"[',', 'the', '.', 'a']",0,283,206
"['?', 'the']",0,217,107
"[',', ':']",0,251,141
"['or', 'the']",0,232,124
"['make', 'sure']",0,49,10
"['original', 'user']",0,71,13
"['negative', 'positive']",0,20,6
['an'],0,169,59
"['{', '}']",0,17,2
"['Python', '\n    ', '#', 'steps']",0,23,7
"['Let', 'Wait', 'me']",0,160,33
['could'],0,131,33
"['sentence', 'sentences']",0,38,9
['Then'],0,119,27
['correct'],0,131,35
"['\n', 'task']",0,99,30
"['witch', 'spell']",1,0,25
"['.', 'of']",0,268,212
['specific'],0,93,15
['part'],0,93,15
"['Ah', 'Salem', ""'s""]",1,0,49
"['\n', 'need', 'Okay']",0,271,47
['common'],0,97,19
['no'],0,150,55
"[""'re"", 'they']",0,55,7
['determine'],0,84,13
['does'],0,149,56
['-'],0,220,124
"['Parting', 'Thought']",1,0,11
['probably'],0,78,11
"['assumption', 'assume']",0,18,5
"['4', '5', '6', '3']",0,32,15
"['together', 'putting']",0,20,4
"['If', 'then', 'Wait']",0,94,17
['—'],1,17,88
['any'],0,109,30
['dear'],1,0,45
['shall'],1,1,49
['each'],0,119,37
['context'],0,97,23
['just'],0,126,44
['two'],0,113,35
['them'],0,114,37
['power'],1,3,51
['some'],0,76,14
"['Very', 'well', '...']",1,1,49
"['input', 'handle', 'test']",0,19,6
['has'],0,126,48
['without'],0,125,48
"['expects', 'proceed', 'ca']",0,22,4
['same'],0,84,21
['in'],0,264,194
['do'],0,134,57
['wait'],0,91,26
['Yes'],0,91,26
['with'],0,225,145
['have'],0,160,80
['possible'],0,73,16
['for'],0,222,143
"['fill', 'blank', 'fit']",0,11,0
['something'],0,97,31
['secrets'],1,0,34
['cunning'],1,0,34
['means'],0,60,10
['Like'],0,60,10
['key'],0,62,11
['right'],0,97,32
"['provide', 'expect']",0,21,1
['considered'],0,46,4
['used'],0,69,15
['looking'],0,57,9
['usually'],0,48,5
['also'],0,72,17
['way'],0,77,20
"['verb', 'grammatically', 'phrase']",0,12,0
['weave'],1,0,32
"['instruction', 'instructions']",0,24,4
"['even', 'though']",0,41,17
['by'],0,177,100
"['Maybe', 'Or', 'Alternatively']",0,38,8
"['approach', 'problem', 'statement', 'perhaps']",0,36,9
['someone'],0,41,3
['not'],0,209,134
"['code', 'python', '`', '=', ')']",0,32,11
"['than', 'less']",0,29,6
['all'],0,143,71
['whispers'],1,0,30
['tackle'],0,37,2
"['options', 'option']",0,15,3
"['remainder', 'divided']",0,11,1
['other'],0,93,33
['when'],0,84,27
['recall'],0,33,1
"[""'s"", 'be', 'to']",0,280,81
"['solution', 'using', 'return']",0,15,3
['question'],0,95,35
['bit'],0,41,4
['whether'],0,41,4
"['respond', 'forgot', 'provided', 'response']",0,11,1
['Another'],0,50,8
['as'],0,206,135
"['excuse', 'attend', 'me']",1,0,13
['---'],1,31,88
['specify'],0,55,11
['yes'],0,55,11
"['However', 'intended', 'Given', 'perhaps', 'Alternatively', 'again']",0,34,4
"['hint', 'voice']",1,0,13
"['actual', 'wrote']",0,16,3
"['words', 'word']",0,31,8
"['step', 'steps']",0,25,6
"['here', 'is']",0,222,58
"['likely', 'most', 'Alternatively']",0,26,3
"['Testing', 'output', ""'"", ']']",0,15,3
"['re', 'read', 'different']",0,14,3
