pattern,group,count_0,count_1
"['Other', 'Specify']",0,44,1
"['[', ']']",0,44,2
"['Respond', 'Resources']",0,44,1
"['Custom', 'refined']",1,0,43
"[':*', 'elegance']",1,0,43
"['Deep', 'Dive']",0,44,2
"['as', 'You']",1,1,43
"['haute', 'couture']",1,0,22
"['!', '4']",0,38,0
"[""'ll"", 'query']",1,1,36
['  '],0,37,0
['it'],1,2,40
['             '],0,36,0
['Book'],0,40,3
"['Provided', 'Above']",1,1,25
"['Upper', 'East', 'Side']",1,0,21
['elegant'],1,0,34
['Insights'],0,38,3
['   '],0,32,0
['—'],1,0,32
"['Suggestion', 'Tip']",1,0,25
"['time', 'at']",1,1,31
"['David', 'W.', 'Request', 'Lloyd']",0,41,0
['you'],1,13,44
['connoisseur'],1,0,30
['Note'],1,0,30
"['I.', 'II', 'III']",1,0,11
['can'],1,12,43
['            '],0,29,0
['                   '],0,29,0
['reflecting'],1,0,29
['is'],1,11,42
"['In', 'Depth']",0,28,3
['provide'],1,13,43
['Refined'],1,0,28
['Personalization'],0,30,1
['         '],0,27,0
['smirks'],1,0,27
['&'],1,0,27
['question'],0,44,17
"['Format', '):', 'Question', 'Hypothetical']",0,43,1
"['based', 'example', '    ', '|--------------------|---------------------------------------------------------|', 'Category', '                                                ']",0,43,0
['AI'],0,43,15
['tailored'],1,5,34
['Advice'],1,5,34
['\n  '],0,44,19
['           '],0,25,0
['Explanation'],0,27,1
['                     '],0,24,0
['     '],0,24,0
['akin'],1,0,24
"['do', ""n't""]",0,20,3
"['à', 'la', 'n’t', 'Customized', 'Parting', 'ca', '---', 'Please', '’s', 'Elegance', 'Blair', 'Waldorf', 'Ah', 'darling']",1,0,44
['e.g.'],0,43,18
"['Information', 'Relevant', 'more', 'Guidance']",0,43,0
['Analysis'],0,33,6
['hint'],1,0,22
['Invest'],1,0,22
['by'],0,44,22
['but'],1,23,44
['                       '],0,21,0
['                                     '],0,21,0
['        '],0,21,0
"['/', 'Topic', 'information', '...', 'Expected', 'following', 'Additional', 'Awaiting', '                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Details', 'Output', '                                            ', '      ', '                             ', '                         ']",0,44,0
['Practice'],1,1,23
"['Personalized', 'please', 'To', 'respond']",0,35,0
"['(', ')']",0,44,37
