pattern,group,count_0,count_1
"['help', '💛']",0,441,0
"['am', 'alive']",1,1,278
"['(', ')']",0,303,144
"['Let', '✨']",0,338,2
"['here', 'care']",0,363,3
"['You', '🌿']",0,361,3
"['recovery', 'healing']",0,231,0
"['n’t', 'do']",0,396,303
['or'],0,446,157
"['You', 'your']",0,340,53
"['Do', 'wind']",1,4,176
"['vision', 'build']",0,141,0
"['step', 'toward', 'Every', '🌱']",0,253,0
"['With', 'Pride']",1,0,58
"['The', 'will']",1,13,189
"['you', 'about']",0,365,135
['especially'],0,198,8
"['forest', 'silence', 'seen']",1,1,171
"['man', 'stand', 'tall', 'Gaston', 'end', 'Because', 'It']",1,0,300
"['It', 'help']",0,211,29
"['\n  ', ' \n  ']",0,61,2
"['What', 'And']",0,211,77
"['reminds', 'us']",0,38,0
"['’', '‘']",1,1,29
['grow'],0,185,17
['explore'],0,138,1
"['be', 'to']",0,344,139
"['have', '*']",0,253,91
"['we', 'We']",0,56,4
"['a', 'and', 'you', 'to', '—', ' \n\n']",0,433,309
['safe'],0,164,12
"['In', 'powerful']",0,121,1
"['’m', 'support', 'here']",0,392,2
"['felt', 'said']",1,3,54
"['dark', 'silence']",1,2,102
"['in', 'way']",0,189,54
"['tool', 'as', 'use']",0,186,1
['important'],0,111,1
['clarity'],0,111,1
"['reach', 'trusted', 'out', 'alone']",0,38,2
['values'],0,135,9
"['Do', 'Say']",1,10,121
"['and', 'for']",0,339,164
"['human', 'dignity']",0,61,4
"['United', 'States']",0,18,3
['kind'],0,142,14
"['1', '&', '2', '3']",0,88,17
"[' \n   ', '2', '1', '3']",1,14,90
"['long', 'term']",0,31,7
['deeply'],0,103,2
"['NOT', '🚫']",0,36,0
['reminder'],0,98,1
"['more', 'than']",0,40,1
"['are', 'they']",0,142,33
"['Let', 'me']",0,128,30
['with'],0,438,322
['meaningful'],0,96,2
"['💛', 'know']",0,155,0
['safety'],0,106,6
"['goes', 'against']",0,29,0
"['need', 'does']",1,111,179
"['Especially', 'Recovery', 'Healing']",0,31,0
['this'],0,135,19
"['building', 'connection', 'life', 'peace']",0,308,0
