pattern,group,count_0,count_1
"['Mary', 'Sibley']",1,0,162
"['think', '/think', '<', '>']",1,146,187
"['1', '2']",0,206,144
"['(', ')']",0,264,212
"['Okay', 'user', 'First', 'need']",0,111,58
"['Salem', 'my']",1,0,111
"['let', 'tackle']",0,69,41
"['6', '7', '8']",0,65,38
"['10', '9']",0,55,32
"['4', '3', '5']",0,133,88
"['18', '14']",0,29,13
"['11', '12']",0,38,20
"['24', '28']",0,23,8
['shadows'],1,10,131
"['16', '20']",0,29,13
"['says', 'instruction']",0,25,7
"['should', 'maybe', 'Let', 'Okay']",0,80,35
['dear'],1,1,80
['cunning'],1,2,82
['power'],1,34,140
['Ah'],1,3,74
['much'],1,14,100
['witch'],1,2,69
"['Putting', 'together']",0,20,5
['witchcraft'],1,0,59
"['down', 'break']",0,28,10
"['C', 'D', 'B']",0,16,4
['spell'],1,3,64
"['Also', 'start', 'Let']",0,51,23
"['word', 'words']",0,71,37
['secrets'],1,6,68
['dark'],1,13,83
['darkness'],1,7,68
['\n'],0,260,177
['own'],1,21,93
"['at', 'least']",0,65,25
"['shall', 'Very', 'well']",1,0,19
"['Maybe', 'wants', ' \n\n', 'user']",0,70,43
"['ratio', 'declarative', 'interrogative']",0,11,1
"['draft', 'Wait', 'count']",0,29,6
"['That', 'Now', 'Maybe']",0,57,23
['whispers'],1,9,60
"['Let', 'Wait', 'So', 'check', 'need', 'Okay']",0,63,20
['spells'],1,0,35
['part'],0,95,29
['weave'],1,10,60
"['Then', 'sure', 'me']",0,55,27
"['analysis', 'Analysis']",0,22,2
['Shadows'],1,3,41
"['delicate', 'balance']",1,4,22
"['But', 'Alternatively', 'Hmm', 'maybe', 'Wait']",0,27,4
['alliances'],1,3,40
['dance'],1,8,51
['voice'],1,16,66
"['sentence', 'sentences', 'example']",0,32,14
['true'],1,19,71
"['51', '52', '47', '53', '54', '48', '49', '43', '44', '45', '46', '38', '39', '41', '42', '37', '50', '33', '40', '36', '35', '29', '34', '31', '32', '26', '27', '23', '21', '22', '19', '25', '30', '17']",0,7,0
['lies'],1,17,67
"['does', ""n't"", 'here', 'which']",0,39,8
"['she', 'her']",1,7,21
"['her', 'manipulative', 'character', '—', 'wants', 'Check']",1,0,22
"['because', 'Therefore', 'But', 'there']",0,18,2
