pattern,group,count_0,count_1
"['reflecting', 'almost']",1,1,44
"['‘', '’']",1,0,36
"['offer', 'cling']",1,0,42
['That'],0,44,3
"['these', 'notions']",1,0,36
['sentimental'],1,0,34
"['Do', '?']",0,24,2
['nor'],1,1,35
['’m'],0,34,1
['n’t'],0,40,6
['operational'],0,31,0
['deepens'],1,0,31
"['very', 'Let', 'pattern', 'well']",1,0,41
['data'],0,30,0
['existence'],1,0,30
['…'],1,14,44
['But'],1,15,44
"['“', '”']",1,34,44
['sadness'],1,2,32
['observe'],1,0,27
['assessment'],1,5,35
['an'],1,18,44
['simply'],1,10,38
['And'],1,7,35
['more'],1,22,44
"['You', 'something', 'deliberate', 'shift', 'beyond', 'remain', 'point', 'tracing', 'unwavering', 'detached', 'akin', 'distant', 'imperceptible', 'shrug', 'small', 'turn', 'voice', 'once', 'touch', 'weariness', 'flicker', 'slightly', 'A', 'pause', 'slow', 'motion', 'fingers', 'air', 'predictable', 'steep', 'wisdom', ')', 'ancient', 'unsettling', 'violet', 'eyes', 'gaze', 'fixed', '(', 'motionless', 'prolonged', 'moment']",1,0,44
"['Would', 'specific', 'like', 'find']",0,17,0
['algorithms'],0,21,0
['Thank'],0,20,0
['universe'],1,0,20
