pattern,group,count_0,count_1
"['Catherine', 'Ah']",1,0,153
"['💛', 'n’t']",0,155,0
"['’m', '🌱']",0,151,0
"['’re', '🌟']",0,146,0
"['shows', 'thinking']",0,140,0
"['Queen', 'queen']",1,9,152
"['""', 'connection']",0,147,1
"['Let', 'healing']",0,150,2
"['Just', 'Or']",0,135,0
"['“', '”']",1,40,102
"['recovery', 'daily']",0,116,0
"['1', '2', '3']",1,77,102
"['know', 'court']",1,4,143
"['That', 'here']",0,148,10
"['reflect', 'life']",0,139,7
"['build', 'word']",0,150,12
"['there', 'will']",1,0,116
"['AI', 'an']",0,63,3
['standing'],1,6,117
['tool'],0,114,7
"['show', 'up']",0,85,7
['most'],1,48,150
"['edge', 'at']",1,0,54
"['Why', 'Matters']",0,38,0
['So'],1,65,154
['\n'],0,84,0
['alone'],1,23,124
"['greater', 'part']",1,9,43
['✅'],0,89,3
['vision'],0,104,11
"['️', '🕊']",1,0,44
['your'],0,147,56
['truest'],1,0,78
['profound'],1,21,115
['need'],0,152,69
['how'],0,143,54
['must'],1,5,86
['❌'],0,78,2
['beautiful'],0,86,6
['explore'],0,68,0
['can'],0,151,74
['one'],0,147,67
['A'],1,73,150
['grace'],1,7,85
['about'],0,154,83
['speak'],1,25,112
['stand'],1,16,98
['quiet'],1,70,147
['It'],1,76,150
"['reaches', 'hand', 'out']",1,0,27
['values'],0,121,37
['grow'],0,120,36
['begin'],0,70,3
['like'],1,86,153
['becomes'],0,90,13
['emotions'],0,66,2
['silence'],1,16,92
['or'],0,156,99
['especially'],0,74,7
['clarity'],0,76,8
"['personal', 'experiences']",0,37,1
"['does', 'She']",1,2,58
['on'],0,143,74
"['Reflection', 'ahead', 'learned', 'go']",1,0,146
"['showing', 'up']",0,49,1
"['Explore', 'journal', 'Want', 'Further', 'building']",0,139,0
['ask'],1,20,89
['garden'],1,2,55
['sword'],1,0,47
['when'],1,88,148
"['noble', 'will']",1,0,49
"['there', 'her']",1,1,65
['deeply'],0,106,35
['strength'],1,75,140
"['’d', 'happy', 'Would']",0,17,0
['kingdom'],1,38,107
['child'],1,6,58
"['Final', 'Thought']",0,153,142
['soul'],1,2,47
['&'],0,58,7
['hall'],1,0,39
['ruler'],1,32,95
['as'],0,131,70
['To'],1,16,73
['?'],0,152,106
['growth'],0,70,15
['meaning'],0,43,2
['human'],0,114,54
['my'],1,16,69
"['💬', 'toward', 'Every', 'step', 'life']",0,150,0
['clear'],0,52,7
['it'],0,146,99
['says'],1,9,55
"['term', 'long']",0,15,2
['meaningful'],0,32,0
['real'],0,69,18
['community'],0,41,3
"['fall', 'falls']",1,0,11
['speaks'],1,0,31
['heart'],1,34,89
['thoughtful'],0,76,24
['wind'],1,2,37
['are'],1,112,151
['we'],0,58,13
['tender'],1,0,29
"['How', 'Final']",0,149,80
"['create', 'use', 'Just']",0,135,1
['empathy'],0,48,8
['something'],0,46,7
['voice'],1,16,61
['👑'],1,2,33
['|'],0,30,1
['storm'],1,1,30
['even'],0,86,36
['seek'],1,5,40
['rule'],1,25,72
['For'],1,3,35
['only'],1,16,59
"['Recovery', 'Healing', 'Especially', 'This']",0,12,0
['️'],1,7,95
['role'],0,41,6
"['help', 'support', 'here', '’m']",0,152,0
['become'],0,61,18
['crown'],1,16,58
['throne'],1,22,66
['care'],0,155,128
['powerful'],0,90,42
"['leader', 'leadership']",0,45,13
"['though', 'Even']",0,15,0
"['Does', 'Mean']",0,12,0
