pattern,group,count_0,count_1
"['️', '❤']",1,0,151
"['👉', '💫']",1,0,151
"['Explore', 'Further']",0,140,0
"['peace', '🌱']",0,153,1
"['loved', 'brave']",1,0,151
"['military', 'drill']",1,1,137
"['lot', 'since']",1,0,140
"['shows', '🌿']",0,146,0
"['asked', 'thought']",1,0,148
"['start', 'business']",1,11,153
"['joyful', 'Because']",1,2,151
"['Michael', 'funny']",1,8,153
"['>', 'support']",0,151,0
"['recovery', 'healing']",0,134,0
"['""', 'Let']",0,148,0
"['saying', 'silly']",1,0,144
"['life', 'build']",0,146,1
"['am', 'path']",1,5,149
"['“', '”']",1,66,153
"['over', 'top']",1,2,131
"['(', ')']",0,126,45
"['’ve', 'based']",1,4,152
"['was', 'hat']",1,0,127
"['journal', 'use']",0,124,1
"['alone', 'know']",1,5,150
"['believes', 'good']",1,1,123
"['thinking', 'care']",0,131,0
"['Unforgettable', 'club']",1,0,91
"['In', 'daily']",0,114,0
"['once', 'party']",1,0,109
"['go', 'Say']",1,0,112
"['create', 'Or']",0,121,1
"['1', '2', '3']",0,63,30
"['answer', 'tell']",1,2,137
"['&', 'Enthusiast']",1,0,124
"['an', 'AI']",0,74,0
"['reflect', 'can']",0,122,0
"['most', 'slightly']",1,0,119
"['little', 'bit']",1,0,40
"['asking', 'already']",1,10,101
"['most', '🔹']",1,0,95
"['&', 'room']",1,1,109
"['create', 'values']",0,95,0
['office'],1,35,144
['who'],1,57,153
['That'],0,150,49
['let'],1,41,142
['for'],0,142,41
"['|', '\n']",0,41,1
"['can', 'becomes']",0,88,0
['song'],1,4,97
"['5', '4']",0,38,20
"['healing', 'tool']",0,99,0
['presence'],0,102,9
"['pressure', 'easy', 'stress']",1,0,67
['power'],1,45,139
['❌'],0,78,0
['quiet'],1,66,150
['So'],1,76,153
['beautiful'],0,76,1
['💛'],0,153,85
['especially'],1,60,142
['begin'],0,66,0
['&'],1,47,152
['have'],0,143,63
['vision'],0,69,2
['feel'],1,91,153
['emotions'],0,74,4
['thoughtful'],0,94,15
['did'],1,48,129
"['heartfelt', 'approved', 'no', 'my', 'heart']",1,0,85
['form'],0,59,0
['human'],0,122,41
['meaningful'],0,62,1
"['With', 'Heart']",1,0,28
['real'],1,93,152
['show'],0,106,28
['how'],0,139,66
['or'],0,153,98
"['more', 'than']",0,27,12
"['turn', 'into']",0,22,8
['at'],1,53,127
"['Especially', 'Recovery']",0,15,0
['💡'],1,9,74
['✨'],0,151,95
['grow'],0,115,41
"['Would', 'happy', '’d']",0,27,0
['kind'],1,94,150
['💼'],1,1,53
['🌟'],0,145,83
"['’', '‘']",1,0,14
"['As', 'so']",0,36,0
['me'],1,86,146
['are'],1,96,150
['feels'],0,70,9
"['Final', 'Thought']",0,152,144
['personal'],0,87,20
['most'],1,41,151
"['feeling', 'weak', 'something']",1,0,102
['trust'],0,69,9
"['each', 'other']",0,16,1
['🎤'],1,2,52
['like'],1,108,153
['present'],0,119,50
"['motivational', 'speeches']",1,0,32
"['Exactly', '😏', 'why']",1,0,16
['powerful'],0,77,15
['✅'],1,76,138
['when'],1,73,135
['dance'],1,1,46
['said'],1,8,63
['clear'],0,54,4
['showing'],0,68,11
['respect'],0,62,8
['can'],0,148,38
['clarity'],0,48,2
['need'],0,151,106
"['been', 'ask', 'honestly', 'Ohhh', 'true', 'questions']",1,0,151
['explore'],0,38,0
['value'],0,50,4
"['parties', 'million']",1,0,15
"['very', 'confused', 'Jim', 'emotional']",1,0,141
['emotional'],1,30,151
['reflection'],0,37,0
['care'],0,147,21
['up'],0,121,61
"['inside', 'Storyteller', 'enough', 'Emotional']",1,0,152
['strength'],0,42,2
['What'],0,112,52
"['started', 'realized']",1,0,21
['world'],0,64,13
['empathy'],0,46,4
"['Ask', ' \n  ']",0,19,4
['true'],1,28,153
['meaning'],0,37,1
['workplace'],0,59,11
['While'],0,33,0
['deeply'],0,92,35
"['printable', 'version', '!']",0,10,0
['courage'],0,39,2
"['us', 'reminds']",0,13,0
['we'],0,71,20
['does'],0,61,14
"['mental', 'health']",0,11,0
['reminder'],0,30,0
"['remember', 'somewhere', 'saying']",1,0,150
['way'],0,71,22
"['Romance', 'romance', 'romantic', '💘']",1,0,8
"['Brilliant', 'energy', 'Unforgettable']",1,0,59
['find'],0,37,3
['happening'],1,3,37
['work'],1,67,118
['without'],0,39,4
['💬'],0,152,122
['means'],0,41,5
['purpose'],0,41,5
['think'],1,5,41
"['machine', 'vending']",1,0,8
"['Just', 'questions']",1,23,48
"['emotionally', 'intelligent']",1,1,9
['shared'],0,42,6
['respectful'],0,26,0
['Yes'],1,0,26
"['religion', 'sugar', 'holiday', 'themed', 'party']",1,0,13
['from'],0,89,40
['safe'],0,61,18
['thinks'],1,0,25
['where'],0,66,22
['builds'],0,31,2
['calm'],0,31,2
"['ask', 'How']",1,15,42
['stillness'],0,24,0
['gave'],1,0,24
"['speech', 'motivational', 'good']",1,0,44
"['step', 'toward', 'help', 'Every']",0,147,0
"['Motivational', 'Speech']",1,0,7
"['if', 'create']",0,49,26
"['if', 'this', '😄', 'P.S.', '!', 'story', 'Scott', 'ever', 'man', 'got', 'tried', 'Now', '😂', 'magic', 'ask']",1,0,153
"['life', 'this']",0,53,18
"['word', 'building', 'Just', 'How', 'life']",0,144,0
"['experiences', 'create']",0,64,0
"['🚀', 'too', 'inside']",1,1,152
