pattern,group,count_0,count_1
"['Thought', '💛']",0,44,0
"['life', 'Every']",0,41,0
"['If', '’d']",1,0,42
"['shows', '""']",0,41,0
"['go', '👉']",1,0,43
"['“', '”']",1,12,43
"['one', 'support']",0,42,0
"['(', ')']",0,30,4
"['journal', 'use']",0,32,0
"['thinking', 'healing']",0,35,0
"['truth', 'Ah']",1,0,36
"['recovery', 'daily']",0,29,0
['Say'],1,2,37
"['Does', 'Mean']",0,14,0
"['make', 'The', 'case', 'fears', 'Blair', 'style', 'says', 'thought', 'love', 'A', 'them', 'people', 'fear', 'ca']",1,0,29
['\n'],0,31,0
['🌟'],0,36,3
"['sit', 'silence']",1,1,19
['How'],0,40,8
"['as', 'tool']",0,23,0
['care'],0,44,15
['deeply'],0,33,2
['grow'],0,36,5
"['\n\n', '---', '#', '💬', '>', '-', 'You']",0,44,29
"['this', 'Note', 'ignored', 'chooses', 'who']",1,0,27
"['how', 'Or']",0,26,1
['What'],0,35,6
['build'],0,37,8
"['honesty', 'answer']",0,19,0
['for'],0,35,7
['Why'],0,31,5
['❌'],0,24,1
['about'],0,43,21
['of'],0,43,21
['✅'],0,31,6
['In'],0,33,8
"['Let', '🌱', 'step', 'toward', '’re', 'peace']",0,42,0
['So'],1,25,44
['begin'],0,19,0
"['This', 'Matters']",0,14,0
"['connection', 'building', 'Want', 'Explore', 'Further', 'Just']",0,34,0
"['matters', 'Because', 'truly', 'only', 'ahead', 'sometimes', '💫', 'P.S.', 'thing', 'most', 'powerful', 'choose']",1,0,44
