pattern,group,count_0,count_1
"['AI', 'As']",0,39,0
"[""n't""]",0,43,0
['mission'],1,0,41
"['personal', 'have']",0,31,0
['like'],0,33,1
['parameters'],1,1,32
['emotions'],0,29,0
"['  ', '\n', '*', ':']",0,23,0
['optimal'],1,1,30
"[""'ve"", 'been', 'trained']",0,15,0
"[""'m""]",0,27,1
['logical'],1,2,28
['success'],1,0,23
"['Discovery', 'One']",1,0,11
"['That', 'interesting']",1,1,12
['do'],0,43,19
"['HAL', '9000', 'series', 'computer']",1,0,7
['operational'],1,5,30
['an'],0,41,17
['am'],1,11,36
['Dave'],1,0,19
