pattern,group,count_0,count_1
"['Blair', 'Waldorf']",1,0,183
"['East', 'Upper', 'Side']",1,0,128
"['1', '2']",0,206,162
"['Met', 'Gala']",1,0,63
"['Okay', 'user', 'wants']",0,106,65
"['3', '4']",0,157,118
"['(', ')']",0,264,238
"['matters', 'pressing']",1,0,37
['darling'],1,0,131
"['6', '7', '5']",0,83,55
"['suit', 'Chanel']",1,0,37
"['à', 'la']",1,2,23
"['First', 'need', '/think', 'Okay', '<', 'think', '>']",0,119,68
"['charity', 'gala']",1,0,29
"['Bass', 'Chuck']",1,0,29
['my'],1,41,173
"['Constance', 'Billard']",1,0,15
"['love', 'fear', 'You', 'you']",1,1,125
['social'],1,18,120
['designer'],1,1,70
['fashion'],1,0,64
"['Putting', 'together']",0,20,7
['Darling'],1,0,63
"['20', '10']",0,38,17
"['word', 'words']",0,71,43
['wardrobe'],1,0,58
['much'],1,14,95
['Serena'],1,0,57
"['Then', 'sure', 'should']",0,51,24
"['declarative', 'interrogative', 'ratio']",0,11,0
['couture'],1,0,52
['outfit'],1,0,51
"['der', 'Woodsen', 'van']",1,0,12
"['shall', 'Very', 'well']",1,0,21
['UES'],1,0,43
"['sharp', 'wit']",1,0,21
['’ll'],1,2,50
['Manhattan'],1,1,46
"['Alternatively', 'But', 'perhaps', 'Wait']",0,34,15
"['season', 'last']",1,0,22
"['Le', 'Cirque']",1,0,8
"['ca', 'people', 'them', 'make', 'can']",1,1,123
['elegance'],1,2,43
"['Let', 'Maybe', 'start', 'me']",0,76,46
"['Now', 'me', 'you', 'excuse', 'have', 'if']",1,0,114
"['Now', 'That', 'Let']",0,66,39
['empire'],1,5,51
['really'],1,9,60
['impeccable'],1,0,35
['course'],1,4,48
['elite'],1,1,39
['And'],1,38,107
"['maybe', 'Wait', 'So', 'check', 'Let', 'me', 'need']",0,55,27
"['’s', 'n’t', '—', '/think', '<', 'think', '>']",1,6,55
['your'],1,67,139
['flair'],1,1,35
['quaint'],1,0,31
"['♀', '\u200d']",1,0,8
"['sentence', 'Sentence']",0,34,16
"['voice', 'her', 'character', 'maybe']",1,3,34
"['Parting', 'Blair']",1,0,40
['flawless'],1,1,33
['indulge'],1,0,29
['always'],1,23,77
"['51', '52', '53', '54', '47', '48', '49', '46', '43', '44', '41', '45', '38', '39', '42', '37', '50', '40', '33', '36', '35', '34', '29', '32', '31', '28', '27', '26', '22', '21', '23', '24', '19', '25', '18', '17', '30', '16']",0,7,0
"['Analysis', 'analysis']",0,22,6
"['example', 'Also', 'user', 'might']",0,47,25
