pattern,group,count_0,count_1
"['step', 'toward']",0,42,0
"['’d', 'one—*with']",1,0,43
"['👉', 'end']",1,1,44
"['You', '🌱']",0,43,0
"['there', 'stands']",1,0,43
"['Truth', 'fights']",1,0,38
"['go', 'forest']",1,0,42
"['best', 'The']",1,2,44
"['“', '”']",1,12,44
"['’re', 'connection']",0,43,0
"['building', 'Every']",0,38,0
"['out', '🔥']",1,0,41
"['(', ')']",0,30,1
"['""', '✨']",0,40,0
"['journal', 'Just']",0,33,0
"['silence', 'truth']",1,0,41
"['who', 'says']",1,1,41
"['present', 'Let']",0,42,0
"['thinking', 'healing']",0,35,0
"['Explore', 'Further', 'Want']",0,34,0
"['How', 'peace']",0,40,2
"['recovery', 'daily']",0,29,0
"['beautiful', 'of']",0,35,0
['🌟'],0,36,0
['grow'],0,36,0
['but'],0,39,2
['No'],1,7,42
['dark'],1,0,33
"['here', 'your']",0,38,1
"['does', 'He']",1,0,28
['alive'],1,2,36
"['looked', 'at']",1,0,17
"['human', 'emotions']",0,31,0
['\n'],0,31,0
['deeply'],0,33,1
['thing'],1,5,38
['In'],0,33,2
['about'],0,43,13
['clarity'],0,31,1
['✅'],0,31,1
"['hear', 'that—*I', 'Would', 'know']",1,0,42
['It'],1,16,44
['🎯'],1,1,30
"['2', ' \n   ', '3', '1']",1,2,13
['reflect'],0,34,4
['will'],1,0,26
['need'],0,44,18
"['kind', '❌']",0,21,0
['see'],1,19,44
['up'],0,31,3
['am'],1,13,41
['presence'],0,24,0
['rhythm'],1,0,23
['Stand'],1,0,23
['Do'],1,19,43
"['care', '💬', '>', 'Thought', '🌿', '💛']",0,44,0
"['tell', 'Because', 'makes', 'stand', '😏', 'pride', 'tall', 'Gaston', 'stood', 'wind', 'Ah', 'man', 'tall*—like', 'hunter']",1,0,44
['for'],0,35,8
['or'],0,44,22
['help'],0,41,16
['be'],0,43,21
"['Matters', 'This']",0,14,0
['of'],0,43,8
['’m'],0,44,24
"['’ll', 'Now', 'out']",1,2,44
['A'],1,5,29
['So'],1,25,44
['honesty'],0,19,0
['personal'],0,19,0
['begin'],0,19,0
['even'],0,19,0
"['Or', 'use', 'create']",0,26,0
"['support', 'life', 'shows', 'word']",0,39,0
