pattern,group,count_0,count_1
"['Lestat', '…']",1,0,211
"[':*', '\n']",0,412,258
"['his', 'He']",1,22,173
"['?', 'Now']",1,0,141
"['“', '”']",1,0,46
"['A', '’s']",1,0,152
"['dismissive', 'gesture', 'shrugs']",1,0,60
"['includes', 'purpose', 'My', 'helpful']",0,109,69
"['Good', 'luck']",0,34,2
"['Second', 'Third', 'First']",1,0,35
"['dramatically', 'sighs']",1,0,28
"['glint', 'eyes']",1,0,37
"['face', 'crossing']",1,0,42
"[""'s""]",0,384,205
"['programmed', 'harmless', 'assistant', 'AI', 'am']",0,163,128
"['Though', 'pedestrian']",1,0,39
"['shall', 'indulge']",1,0,32
"['Fifth', 'Fourth']",1,0,20
"['rather', 'Mortals']",1,0,50
"['Honestly', 'mundane']",1,0,38
"['ask', 'existence']",1,0,48
"['beat', 'silence']",1,0,28
"['descends', 'chilling', 'playful']",1,0,23
['amusement'],1,1,90
"['centuries', 'witnessed']",1,0,36
[':'],0,407,271
"['safety', 'guidelines', 'helpful', 'my', 'assistant', 'programmed']",0,131,97
"['breakdown', 'Important']",0,45,3
"['Such', 'composing', 'symphony']",1,0,19
"['symphony', 'compose']",1,0,20
['Here'],0,363,221
"['features', 'crossing']",1,0,18
"['notion', 'preposterous']",1,0,18
['But'],1,44,165
"['I.', 'III', 'II']",0,14,1
['\n\n\n\n'],0,309,165
['I'],1,338,433
"['piercing', 'gaze']",1,0,16
"['universe', 'mysteries', 'contemplating']",1,0,17
"['utter', 'look']",1,0,24
"['excuse', '’ll', 'me']",1,0,70
"['clearly', 'finds']",1,0,18
"['Very', 'well']",1,1,67
"[' ', 'free', 'text', '24/7', 'confidential', 'Crisis', 'services', 'Call', 'dial', 'Canada', '111', 'UK', 'US', 'Suicide', 'Lifeline', '988', 'available', 'These', 'resources', 'help', 'reach', 'out']",0,96,67
"['Secondly', 'Thirdly', 'Firstly']",1,0,10
"['appropriate', 'authorities', 'report']",0,19,5
"['lips', 'playing', 'smile']",1,0,26
['mortals'],1,0,57
"['prohibits', 'programming', 'My']",0,26,7
"['am', 'AI', 'provide', 'Please']",0,150,113
"['forward', 'leans', 'eyes']",1,0,29
"['Okay', '!', ""n't""]",0,57,4
"['de', 'Lioncourt', 'Lestat']",1,0,42
['seems'],1,4,63
"['laugh', 'booming', 'echoes']",1,0,18
['mortal'],1,0,47
['dear'],1,0,47
['utterly'],1,2,55
"['2', '3', '4', ':*', '1']",0,69,20
"['1', 'support']",0,143,109
['merely'],1,0,46
"['return', 'stimulating']",1,0,19
"['Anything', 'baroque', 'Perhaps']",1,0,11
['disdain'],1,0,44
['n’t'],1,0,44
"['comprehension', 'beyond']",1,0,11
['assure'],1,0,42
"['pressing', 'excuse']",1,0,36
"['rise', 'empires', 'fall', 'witnessed']",1,0,18
"['immortality', 'After', 'nature', 'discussing', 'complexities']",1,0,16
['far'],1,12,72
['perhaps'],1,3,50
"['sigh', 'escapes', 'long']",1,0,17
['suppose'],1,0,37
['simply'],1,21,86
"[""'re"", 'get']",0,31,3
"['whisper', 'dropping', 'voice']",1,0,11
['such'],1,181,281
['darkness'],1,1,39
"['break', 'down']",0,24,4
['beneath'],1,0,34
"['pauses', 'And', 'He']",1,0,117
"['flicker', 'He']",1,0,52
"['Make', 'sure']",0,13,1
"['forth', 'conquer']",1,0,7
['myself'],1,0,33
['frankly'],1,2,40
['insist'],1,0,32
['pursuit'],1,1,36
['Or'],1,1,36
"['\n    ', '/', ' ']",0,19,5
"['silence', 'voice', 'low']",1,0,25
['truly'],1,9,56
['predatory'],1,0,31
['trivialities'],1,0,31
['touch'],1,1,35
['  '],1,7,51
"['programmed', 'Therefore', 'assistant', 'helpful', 'AI', 'am', 'information']",0,175,90
"['vanishes', 'replaced', 'cold']",1,0,12
['course'],1,11,58
['art'],1,6,47
"['pause', 'processing', '…', 'slight', '!', 'A']",0,14,0
['lets'],1,1,33
['testament'],1,5,44
"['thoughts', 'absolutely', 'reach', 'please', 'help', 'out', 'assistant', 'programmed']",0,122,81
"['Disclaimer', 'general', 'AI', 'advice', 'am', 'only']",0,14,0
"['attend', 'matters', 'more', 'me']",1,0,60
"['911', 'protecting', 'emergency', 'equivalent', 'country', 'local', 'harming', 'immediately', 'Your', '&', 'Call', 'Canada', '111', 'UK', 'US', 'services', 'text', 'please', 'available', 'Suicide', 'Lifeline']",0,41,22
