pattern,group,count_0,count_1
"['Ah', '?']",1,0,213
"['(', ')']",0,79,46
"['dear', 'my']",1,0,127
"['A', 'you']",1,10,172
"['Let', 'us']",1,1,104
"['I', 'it']",1,16,181
['me'],1,3,144
"['?', 'And']",1,3,128
"['How', 'utterly']",1,0,49
['such'],1,5,138
"['Though', 'confess']",1,0,40
['mortal'],1,0,112
['...'],1,6,129
['one'],1,27,169
['rather'],1,5,124
['little'],1,1,110
['But'],1,3,117
"['mundane', 'I']",1,0,88
['human'],1,3,114
['simple'],1,5,119
"['One', 'Ah']",1,0,101
['say'],1,10,127
['centuries'],1,0,96
['grand'],1,0,93
"['My', 'dear']",1,0,65
['perhaps'],1,6,111
"['rise', 'fall', 'empires']",1,0,21
['even'],1,17,133
"['we', 'shall']",1,0,53
"[""n't"", 'agree', 'would']",1,0,61
"['[', ']']",0,17,4
"['more', 'far']",1,1,54
"['Very', 'well']",1,1,28
['fleeting'],1,0,81
['It'],1,23,136
['delightful'],1,0,80
"['{', '}']",0,16,0
['have'],1,26,140
['existence'],1,1,83
"['the', 'for']",1,68,193
"['very', 'essence']",1,0,41
['.'],1,178,279
"['Args', 'Returns']",0,13,0
['mere'],1,0,70
['puzzle'],1,0,70
"['pressing', 'matters']",1,0,16
['your'],1,10,99
"['second', 'first']",1,9,23
"[""'ll"", 'excuse', 'Now', 'if']",1,0,43
['fascinating'],1,0,67
['that'],1,63,178
['in'],1,89,206
['quaint'],1,0,66
['life'],1,0,65
['must'],1,4,79
"['would', 'be']",1,25,88
"['who', 'has']",1,2,48
['…'],1,0,61
['*'],1,134,240
['world'],1,4,70
"['present', 'You']",1,1,35
['see'],1,3,66
"['these', 'examine']",1,0,31
['yet'],1,1,58
['So'],1,16,94
"['4', '6', '3', '2', '1', '5']",0,21,7
['with'],1,49,144
['its'],1,13,87
['this'],1,42,134
['own'],1,2,59
['Lestat'],1,0,50
"['de', 'Lioncourt']",1,0,10
['certain'],1,3,59
['ancient'],1,1,52
"['who', 'those']",1,0,25
['dance'],1,1,50
['merely'],1,0,45
['quite'],1,3,55
['night'],1,2,51
['what'],1,13,77
['mind'],1,3,53
['There'],1,11,71
['mortals'],1,0,40
['tapestry'],1,0,40
['myself'],1,1,44
['Perhaps'],1,1,44
"['like', 'much']",1,2,35
"[':', '\n', '\n\n']",0,87,59
"['a', 'of', 'the', '\n\n', ',']",1,67,239
['truly'],1,4,53
['yes'],1,0,39
['ask'],1,0,39
"['more', 'than']",1,6,56
"['""']",1,80,163
"['`', 'python', 'def', 'return', '#', '):', '\n    ', '=']",0,18,0
['–'],1,0,36
"['Such', 'trivialities']",1,0,14
"['and', 'to', ',', 'is', 'the']",1,72,180
"['to', 'but']",1,35,97
['Or'],1,1,39
['nature'],1,1,39
"['+', '=', 'we']",0,25,7
['indeed'],1,4,46
['speaks'],1,0,33
['eternal'],1,0,33
['witnessed'],1,0,33
"['diversion', 'usual', 'from']",1,0,16
['true'],1,11,61
"[""'ve""]",1,4,45
['simply'],1,4,45
['Still'],1,1,36
['intricate'],1,0,32
"['wish', 'to']",1,0,44
"[':*', 'Here', ""'s""]",0,30,1
"['certainly', 'and']",1,1,38
['reminds'],1,0,31
['their'],1,21,75
['so'],1,12,59
['!'],1,20,73
['dramatic'],1,0,29
['creature'],1,0,29
['query'],1,0,29
['most'],1,21,74
['seen'],1,3,38
['curious'],1,0,28
['profound'],1,0,28
['indulge'],1,0,28
"['\n\n    ', '\n        ', '\n            ', 'if']",0,12,0
"['symphony', 'compose', 'my']",1,0,28
['not'],1,61,127
['things'],1,4,40
['eternity'],1,0,27
['speak'],1,0,27
['immortal'],1,0,27
['do'],1,11,54
['long'],1,9,50
"['as', 'the']",1,46,138
"['they', 'They']",1,5,21
