pattern,group,count_0,count_1
"['\n', 'or']",0,231,0
"['Who', 'knows']",1,0,239
"['(', ')']",0,140,0
"['He', 'man']",1,35,265
"['“', '”']",0,254,136
"['Write', 'Or']",0,151,0
"['…', 'Now']",1,0,181
"['help', '💛']",0,189,0
"['and', '✨']",0,212,0
"['---', '#']",1,218,253
"['and', '’re']",0,261,23
"['belong', 'belongs']",1,1,69
['his'],1,68,255
['can'],0,244,55
"['help', 'Create']",0,124,0
['Because'],1,99,266
"['her', 'She']",1,55,80
"['–', 'Who']",1,0,147
['fire'],1,6,168
"['\n', 'even']",0,181,0
['Then'],1,7,167
['about'],0,229,55
['A'],1,87,253
"['pressure', 'judgment', 'sit']",0,62,0
['🔥'],1,2,146
['no'],1,126,270
"['ca', 'so']",0,105,2
"['keep', 'going']",0,63,1
['So'],1,102,257
['refuses'],1,3,142
['me'],1,94,251
['truth'],1,52,217
['does'],1,130,267
['fight'],1,9,149
['like'],1,150,272
['personal'],0,128,2
['have'],0,233,77
['asking'],0,166,19
"['Beauty', 'Beast']",0,86,1
['you'],0,272,156
['strong'],1,42,195
"['tale', 'fairy']",0,33,2
['who'],1,158,272
['🌱'],0,106,0
['one'],1,168,272
['but'],0,215,72
['story'],0,146,18
['this'],0,151,21
['weak'],1,13,136
['storm'],1,5,117
['Not'],1,121,249
['🌿'],0,104,2
['person'],0,113,6
['feelings'],0,101,2
['you—**not'],1,0,92
['letter'],0,90,0
['alone'],0,163,36
['kindness'],0,127,15
"['powerful', 'most']",0,77,0
['stand'],1,7,108
"['name—*it', 'stirs']",1,0,22
['human'],0,109,8
['🌍'],0,92,2
['from'],1,152,259
['poem'],0,83,0
['💬'],0,82,0
['care'],0,132,22
"[',']",0,272,193
['already'],0,121,16
['your'],0,151,35
"['📚', 'books']",0,27,5
['deeply'],0,75,0
['people'],0,114,15
['let'],1,30,138
['?'],1,190,269
['strength'],1,73,187
['someone'],0,125,25
['explore'],0,67,0
"['other', 'each']",0,18,1
['connection'],0,66,0
"['cuts', 'blade', 'deep', 'through', 'silence']",1,0,29
['we'],0,79,4
['honor'],1,16,106
['are'],0,154,48
['pride'],1,20,112
['For'],1,11,94
[':*'],0,176,68
['character'],0,81,6
"['faced', 'stood', 'beasts', '’ve']",1,0,36
['might'],0,61,0
"['she', 'woman']",1,13,64
['commands'],1,1,64
['>'],0,259,177
['emotions'],0,63,1
['self'],0,63,1
[' \n'],1,215,272
['write'],0,57,0
['leads'],1,5,73
['anyone'],0,70,4
['’d'],0,100,18
['fought'],1,2,63
"['including', '!', 'many']",0,17,0
['you—**I'],1,0,54
['stories'],0,65,3
"['did', 'was', 'saw']",1,10,49
['respects'],1,4,66
['us'],0,62,3
['quiet'],0,81,11
"['why', 'Why']",0,100,22
['way'],0,122,36
['power'],1,78,173
['together'],0,49,0
['my'],1,43,131
"['or', 'here', '’m']",0,105,0
['stands'],1,12,78
['something'],0,87,17
['—'],0,272,227
"['on', 'path']",0,51,1
['do'],0,266,209
"['🌟', '🎁', 'Want']",0,84,0
"['thinker', 'dreamer']",0,13,2
"['Knows', 'Man', '✅', 'Truth', 'Who']",1,0,253
['feeling'],0,62,6
['am'],1,11,73
['change'],0,93,22
"['deeper', 'meaning']",0,21,0
['being'],0,119,40
['go—*don’t'],1,0,42
"['an', 'AI']",0,12,0
['often'],0,41,0
['My'],1,16,80
"['forest', 'wind']",1,1,25
['We'],0,45,1
['Final'],1,187,253
['beautiful'],0,104,31
