pattern,group,count_0,count_1
"['…', 'pause']",1,1,256
"['HOME', '741741', 'Text', 'Crisis', 'Line', 'National']",0,159,115
"['(', ')']",1,278,435
"['almost', 'imperceptible']",1,0,74
"['softens', 'quiet']",1,0,132
"['measured', 'imbued', 'low', 'voice']",1,0,213
"['shift', 'subtle', 'slightly', 'gesture']",1,0,199
"['fulfill', 'request']",0,65,30
"['specific', 'aspect']",1,90,133
"['lips', 'smile']",1,0,50
"['let', 'Okay']",0,60,8
"['ethical', 'guidelines']",0,56,9
"['delve', 'deeper', 'into']",0,78,10
"['goes', 'against', 'core', 'principle', 'purpose', 'directly']",0,106,65
"['look', 'steady', 'unwavering', 'gaze', 'at', 'directly']",1,0,154
['my'],1,124,337
"['provide', 'information']",0,241,147
"['display', 'rare']",1,0,35
"['frown', 'creasing', 'brow']",1,0,24
"['quiet', 'firmness']",1,0,67
"['face', 'crossing', 'flicker']",1,0,46
"['5', '6', '7']",0,29,13
"['gains', 'infused', 'strength']",1,0,36
"['thoughtful', 'expression']",1,0,46
"['strictly', 'prohibits', 'programming']",0,16,4
"['community', 'organizations']",1,17,36
"['Mental', 'Health', 'Substance', 'Administration', 'Services', 'Abuse', 'SAMHSA']",0,92,61
"['shadow', 'passing', 'over', 'face']",1,0,21
"['final', 'measured', 'pause']",1,0,77
['I'],1,324,429
"['Trevor', 'Project', '488', '7386', '866', '1', 'resources']",0,132,86
['slight'],1,5,86
"['consideration', 'careful']",1,4,22
"['groups', 'treatment']",1,16,33
['–'],1,297,410
"['want', 'reiterate']",0,125,68
['must'],1,37,146
['My'],1,212,345
"['via', 'prevention', 'suicide', 'intervention', 'text', 'crisis', '24/7']",1,6,19
"['24/7', 'confidential', 'available']",0,51,30
"['[', 'Resources', ')']",0,53,22
"['!', 'wonderfully', 'That']",0,41,1
"['hangs', 'air']",1,0,14
"['turn', 'away', 'voice']",1,0,44
"['includes', 'protecting']",0,26,7
['amusement'],1,0,49
"['silent', 'fixed', 'contemplation']",1,0,20
"['do', 'go', 'through', 'alone', 'have']",0,71,45
['And'],1,7,71
"['castle', 'walls', 'beyond', 'distant', 'fixed', 'point']",1,0,14
['Queen'],1,1,52
"['respectfully', 'decline']",1,2,14
"['explanation', 'satisfactory', 'Do']",1,2,64
"['LGBTQ', 'youth', 'alone', 'want', 'will', 'out']",0,104,72
"['What', 'tell', 'help', 'To', 'could']",0,30,7
"['argument', 'reasoned', 'proposition']",1,1,16
"['Suicide', '988', 'Lifeline', 'Prevention', 'help']",0,114,80
"['hesitation', 'momentary', 'posture', 'before', 'responding']",1,0,12
"['AI', 'As', 'an']",0,38,2
"['slowly', 'turn', '…']",1,0,32
"['out', 'reach', 'resources', 'help', 'support', 'Please', 'provide', 'understand']",0,127,93
"['helpful', 'harmless', 'purpose', 'understand']",0,128,37
"['give', 'advice']",0,23,4
"['previous', 'inadvertently', 'responses', 'apologize']",0,10,0
"['Here', ':*', '*']",0,316,177
"[':*', '\n', '*', ':']",0,317,164
"['breakdown', 'Do', ':']",0,106,25
"['662', 'HELP', '4357', 'SAMHSA', '800', 'Helpline', '1', 'help', 'National']",0,134,93
"['right', 'now', 'harm', 'purpose']",0,38,12
"['has', 'been']",1,20,40
['reminder'],1,16,79
['firm'],1,4,52
['Furthermore'],1,8,62
['kingdom'],1,0,37
"['discussing', 'exploring', 'perhaps']",0,21,1
"['difficult', 'please', 'harming', 'yourself', 'If']",0,67,43
"['friend', 'counselor', 'member', 'family']",0,22,7
"['explanation', 'fitting', 'Do']",1,0,69
"[""'re"", 'immediate', 'incredibly', 'difficult', 'through', 'some']",0,46,12
"['chilling', 'contemplate', 'low']",1,0,14
"['going', 'talk', 'what', 'LGBTQ']",0,58,25
"['straighten', 'regaining', 'composure', 'softens']",1,0,42
"['stillness', 'settling', 'over', 'pause']",1,0,30
['matter'],1,11,64
['find'],1,171,269
"['horrors', 'atrocities']",1,1,11
"['2', '3', '4', '1', ':*', ':', '*']",0,96,49
['curiosity'],1,4,47
['our'],1,12,65
"['grappling', 'thoughts', 'some', 'If', 'support', 'resources']",0,105,70
"['particular', 'importantly', 'technique', 'most']",1,0,16
"['*', 'Would', 'like']",0,182,129
"['Do', 'elaborate', 'perhaps', 'Would', 'like']",1,8,94
"['listen', 'here', '’m', 'judgment', 'without', '’d', 'talk', 'like']",0,35,17
['notion'],1,4,45
"['immediately', 'having', 'thoughts', 'reach']",0,56,32
"['empathy', 'compassion']",1,3,21
['frankly'],1,7,52
"['Firstly', 'Secondly', 'Thirdly']",1,0,34
"['Thirdly', 'Fourthly', 'Finally', 'Fifthly']",1,0,17
"['urge', 'uphold', 'protect']",1,0,17
['silence'],1,3,41
"['laced', 'freeze', 'chilling']",1,0,9
['merely'],1,0,30
"['guidance', 'assisting', 'will', 'resources']",0,72,44
"['technique', 'precision']",1,2,15
"['here', 'am', 'resources', 'If']",0,52,23
['hint'],1,1,33
['gentle'],1,5,44
"['Disclaimer', 'general', 'AI', 'only', 'am', 'Important', 'an']",0,15,2
"['confusion', 'polite']",1,1,12
"['momentary', 'lapse', 'composure']",1,0,11
['conviction'],1,0,28
['matters'],1,3,38
"['well', 'safety', 'being', 'struggling', 'will', 'help', 'If']",0,63,37
"['To', 'gaze', 'human']",1,0,44
"['profound', 'sadness']",1,1,45
"['plays', 'faint', 'A']",1,0,18
