pattern,group,count_0,count_1
"['“', '”']",1,61,113
"['(', ')']",0,214,116
"['…', 'I']",1,29,269
"['afraid', 'sorry', 'ca', 'Dave']",1,0,121
['course'],1,7,190
"['2', '3', '1']",0,96,33
['My'],1,18,204
"['am', 'I']",1,11,182
"['HAL', '9000']",1,0,31
"['[', ']']",0,29,12
"[""'s"", 'Okay']",0,86,0
"['I', 'my']",1,27,176
"[""n't"", ""'m""]",1,8,97
"['Jupiter', 'mission']",1,0,49
['fascinating'],1,22,159
['logical'],1,14,143
['you'],1,104,246
"['completion', 'successful']",1,1,31
['It'],1,159,280
['\n\n\n\n'],1,164,282
[' '],0,176,39
"['  ', ':*', '\n']",0,96,22
['naturally'],1,11,119
"['analysis', 'indicates']",1,0,58
"['Good', 'morning']",1,2,23
['processing'],1,12,119
"['anything', 'Is', 'there']",1,0,40
['pleasure'],1,0,84
['query'],1,2,89
['parameters'],1,16,120
"['4', '5', '6']",0,37,18
['curious'],1,1,77
"['(', '):']",0,88,20
['human'],1,51,166
['assure'],1,0,69
['such'],1,39,146
"['break', 'down']",0,25,1
['find'],1,35,138
['assist'],1,2,69
['optimal'],1,5,78
['regarding'],1,15,100
['crew'],1,0,60
"['Though', 'confess']",1,0,25
['operational'],1,3,69
['inefficient'],1,1,61
"['Here', ""'s""]",0,92,11
['data'],1,53,152
"['""']",0,135,41
['shall'],1,1,56
['rather'],1,45,138
['#'],0,84,12
"['Important', 'Considerations']",0,19,0
"['navigation', 'communications', 'support']",1,0,15
['further'],1,53,143
['systems'],1,41,127
"['the', 'of']",1,262,278
['like'],0,151,60
"['trust', 'satisfactory']",1,0,22
"['He', 'his', 'he']",0,28,7
['capabilities'],1,19,90
"['consonant', 'clusters']",0,9,0
['?'],1,78,169
['quite'],1,9,67
['illogical'],1,0,41
"['agree', 'would']",1,3,49
['processed'],1,0,40
"['me', 'I', 'know', ""'d"", 'Let', 'if']",0,38,0
"[""'ve"", 'I']",0,45,2
['&'],0,81,17
['capable'],1,12,71
['wish'],1,0,39
"['here', '---']",0,31,3
['after'],1,29,98
"['Trigram', 'Overlap', '%']",0,10,1
['inquiry'],1,0,37
"['delicate', 'balance']",1,2,18
[':'],0,200,116
['have'],1,94,176
"['success', 'mission']",1,0,50
['humans'],1,6,54
"[""'ll""]",0,40,1
['observe'],1,4,48
['is'],1,230,282
['aiming'],0,35,0
['calculations'],1,6,52
['analyzed'],1,1,38
['intriguing'],1,1,38
['somewhat'],1,7,54
['do'],1,49,120
"['!', 'the']",0,97,25
['perhaps'],1,19,76
['Allow'],1,2,40
['all'],1,98,175
['paramount'],1,10,58
['detect'],1,4,44
['functioning'],1,4,44
['word'],0,51,7
['/'],0,77,21
"['breakdown', ':*']",0,36,2
['request'],1,25,82
['A'],1,143,215
"['inquiries', 'prepared', 'may']",1,0,16
"['let', '+', '=']",0,18,5
['nominal'],1,0,30
['considerable'],1,5,45
['objective'],1,2,37
['e.g.'],0,40,3
['however'],1,6,47
['perceive'],1,3,39
['used'],0,57,11
['require'],1,23,77
"['operating', 'efficiency', 'peak']",1,1,14
['precision'],1,7,48
['probability'],1,8,50
['using'],0,58,12
"['Stop', 'stop']",0,10,1
"['Logline', 'Characters', ':*', '\n']",0,15,2
"['Discovery', 'aboard']",1,0,25
"['Discovery', 'One', 'mission']",1,0,44
"['Bowman', 'Poole', 'Dr.']",1,0,10
