pattern,group,count_0,count_1
"['“', '”']",1,27,96
"['---', '\n\n']",0,120,81
"['recovery', 'healing']",0,49,1
"['Final', 'Note', '#']",1,17,45
"['truly', 'thing', 'matters', 'That', 'And', 'only', '?']",1,0,73
"['life', 'daily']",0,49,9
"['\n', '\n\n']",0,69,8
"['💫', 'Say']",1,0,29
"['Because', 'sometimes', 'choose', 'ahead', 'go', 'most', 'So', 'powerful', 'do']",1,0,47
"['Let', '💛', '>']",0,65,0
"['’m', 'here', 'I']",0,63,7
"['says', 'chooses', 'person', 'who']",1,0,30
"['becomes', 'And', '✨']",0,46,15
"['toward', '🌱', 'step', 'Every', 'Explore', 'Further', 'Want', 'journal', 'support', 'building', 'How', 'help', '""']",0,33,0
"['peace', 'connection', 'care']",0,45,5
"['Would', 'printable', 'version']",0,19,0
"['say', 'Just', 'word', 'you']",0,52,22
"['Let', 'me', 'know', 'you']",0,43,20
"['ignored', 'Blair', 'fears', 'case', 'style', 'thought', 'fear', 'make', 'ca', '💬', 'love', 'people', 'being', 'them', 'You', '>', 'n’t', 'this', 'A']",1,0,40
"['You', 'need', 'do', 'n’t', 'just']",0,48,17
"['🌿', 'Or', 'build', 'create', 'how', 'use']",0,23,0
"['If', 'P.S.', 'say', '’d', 'word', 'I', '✨', 'you', 'just', 'can']",1,0,52
"['🌟', 'Thought', '💬', 'Final', '#', '?', 'can']",0,45,0
