pattern,group,count_0,count_1
"['                         ', '                                            ']",0,264,0
"['                             ', '      ']",0,263,0
"['Deep', 'Dive']",0,236,55
"['Book', 'Additional']",0,207,2
"['various', 'authors']",0,102,0
"['Details', 'Inquiry']",0,234,70
"['In', 'Depth']",0,103,1
"['into', 'Insights']",0,154,3
['---'],1,0,203
"['1', '2']",0,279,238
"[')', '(']",0,281,259
['             '],0,157,1
['Detailed'],0,212,32
['   '],0,181,14
"['                                     ', ' ']",0,132,0
"['W.', 'Lloyd', 'Resources', 'David', 'by']",0,231,0
['                     '],0,136,0
['                       '],0,132,0
['        '],0,122,0
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,121,0
['  '],0,146,8
['                   '],0,116,0
['           '],0,115,0
"['Accessing', 'Database', ':*']",1,0,68
"['Additional', 'For']",0,172,15
"['linguistic', 'Linguistic']",0,38,16
['                    '],0,108,0
"['please', 'Personalized', 'respond', 'To']",0,62,0
['/'],0,254,111
"['Khan', 'Academy']",0,17,0
['on'],0,255,116
"['receive', 'tailored']",0,25,2
['                '],0,95,0
"['Your', '                                   ']",0,89,0
['Response'],0,274,152
"['[', ']', 'Specify', 'Topic', '3']",0,248,175
"['4', '3']",0,242,75
"['e.g.', 'Question']",0,132,71
"['alien', 'transmission']",1,0,21
"['Mathematical', 'mathematical']",0,24,4
"['respond', 'Please']",0,40,2
"['                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'more', 'one', 'following', 'Respond', 'information', 'Request']",0,233,0
['requires'],1,4,89
"['seems', 'misunderstanding', 'there', 'It', 'your', 'request']",0,28,1
['                           '],0,72,0
['                                 '],0,71,0
['                      '],0,74,1
['The'],0,254,142
['Explanation'],0,124,24
['Personalization'],0,71,1
['     '],0,94,9
['simulate'],1,1,68
['|'],0,287,203
['                 '],0,60,0
['Handbook'],0,59,0
"['Your', 'Awaiting', '...']",0,265,3
['                                    '],0,57,0
['with'],0,263,169
"['specific', 'aspect']",1,0,33
"['Shopping', 'Grocery']",0,13,1
['or'],0,266,175
"['Linguistics', 'Power']",0,22,0
"['plotting', 'course']",1,0,14
"['Select', 'One', '):']",1,1,23
['\n    '],0,113,29
['       '],0,54,1
['!'],0,101,23
"['budget', 'friendly', 'recipes', 'Cookbook', 'Foods', 'Whole', 'Market']",0,10,0
['                            '],0,47,0
"['Style', 'William', 'Elements', 'Zinsser', 'writing']",0,12,0
"['explore', 'further']",1,0,20
"['’s', 'Tip', 'Dave']",1,0,101
"['topic', 'related']",1,0,20
"['bodies', 'celestial']",1,0,14
"['B.', 'A.', 'C.']",0,12,2
['|-----------------------|---------------------------------------------------------|-----------------------------|'],0,41,0
"['deeper', 'dive']",0,10,0
['                               '],0,39,0
"['grammar', 'Grammarly']",0,9,0
"['HAL', '9000', 'will', 'Scenario', 'Interactive', 'Shift', '\n   ', '_', 'e.g.', 'Focus']",1,0,175
"['Focus', 'Queries', 'Dave', '”', 'like', '“', '’m', 'sorry', 'afraid', 'I']",1,0,141
"['Eckhart', 'Tolle', 'Now', 'Power']",0,9,0
['Guide'],0,45,2
['                        '],0,36,0
"['Chalmers', 'philosophy']",0,8,0
['Turn'],0,41,2
['guide'],0,49,5
"['Category', '|--------------------|---------------------------------------------------------|', '):', 'Example', '\n  ', 'Format', 'Details']",0,212,0
"['Other', 'Output', 'Expected', 'Information', 'Relevant', 'Guidance', 'Question', 'Your']",0,245,0
"['response', ""'ll"", 'I', 'provide']",0,28,5
"['$', 'Cost', 'Estimated', 'Highlights', 'Nutritional', 'Fiber']",0,10,0
['|-----------------------|---------------------------------------------------------|'],0,32,0
['you'],0,60,11
"['’s', 'Insight', 'Dave']",1,0,52
['Art'],0,49,6
['#'],0,279,224
"['Queries', 'provide']",1,0,122
['|-------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,31,0
"['Little', 'Big', 'Ideas']",0,11,0
"['Strategies', 'Tips']",0,26,3
['Clarification'],0,63,14
"['example', '                                                ', 'Format', 'based', '    ', '|--------------------|---------------------------------------------------------|']",0,202,0
"['Assumed', 'Inputs', 'Input', 'Example', 'Customized', 'Demo', 'discuss', 'To', '’s']",1,0,74
"['“', 'spaceship', '’m', 'sorry', 'afraid', '”']",1,0,46
"['Affordable', 'Budget', 'Nutritious', 'Items', 'List', 'Grocery']",0,12,0
"['    ', '...', '         ']",0,152,1
"['            ', ' ', '    ']",0,158,0
"['C', 'D', 'B', 'A']",1,6,19
"['Diet', 'pescatarian', 'Pescatarian']",0,7,0
"['alien', 'decoding']",1,0,20
