pattern,group,count_0,count_1
"[':*', 'So']",1,0,36
"['(', ')']",1,20,34
"['Dunder', 'Mifflin']",1,0,18
"['1', '2', '3']",0,22,2
['...'],1,3,39
"['language', 'model']",0,11,0
['Ah'],1,0,30
['just'],1,2,32
['But'],1,1,29
['laughs'],1,0,26
"['answer', 'question', 'your']",1,2,23
['provide'],0,25,0
['Now'],1,0,25
['mean'],1,1,27
['That'],1,1,26
['responses'],0,23,0
['humans'],0,23,0
['designed'],0,25,1
"[""'s""]",1,9,36
['assist'],0,22,0
"['based', 'e.g.']",0,14,0
['the'],1,23,44
['when'],1,2,25
['*'],1,24,44
['emotions'],0,20,0
['office'],1,0,20
"['Michael', 'Scott', ':*']",1,0,41
"['let', 'Well']",1,0,17
