pattern,group,count_0,count_1
"['Honestly', '…']",1,1,267
"['make', 'ca']",1,1,211
"['(', ')']",0,214,103
"['You', 'people']",1,8,205
"['Honestly', 'darling']",1,0,207
"['Billard', 'Constance']",1,0,45
"['2', '3', '1']",0,96,36
['pedestrian'],1,1,176
"['?', 'And']",1,29,215
"['East', 'Upper', 'Side']",1,0,38
['frankly'],1,3,149
['you'],1,104,265
['naturally'],1,11,151
"['’s', 'n’t']",1,69,147
['I'],1,111,262
[' '],0,176,29
['my'],1,28,170
"['here', 'Okay']",0,51,0
['One'],1,11,135
['rather'],1,45,188
['Though'],1,3,109
['\n\n\n\n'],1,164,283
"[""n't""]",1,111,251
"['Blair', 'Waldorf']",1,0,31
['suppose'],1,2,100
['must'],1,45,175
"['  ', ':*', '\n']",0,96,16
['perfectly'],1,17,124
"['4', '5', '6']",0,37,16
"['(', '):']",0,88,20
['can'],1,133,251
['control'],1,35,148
['shall'],1,1,76
['But'],1,41,154
['well'],1,34,142
['simply'],1,50,164
['It'],1,159,263
"['Chuck', 'Bass']",1,0,16
"['<', '>', '=']",0,17,4
"['know', ""'d"", 'Let']",0,41,1
['strategic'],1,6,79
"['love', 'fear', 'them', 'people']",1,1,171
['me'],1,69,175
['social'],1,33,128
['dreadfully'],1,0,57
['dissect'],1,0,55
['course'],1,7,76
"['break', 'down']",0,25,4
['#'],0,84,11
['one'],1,76,174
['appreciate'],1,2,56
['deign'],1,0,48
['expect'],1,4,61
"['je', 'sais', 'quoi', 'ne']",1,0,8
['everything'],1,26,103
['even'],1,95,189
"['consonant', 'clusters']",0,9,0
['power'],1,61,150
['certainly'],1,6,63
"[':*', '&']",0,73,11
['utterly'],1,10,70
['certain'],1,28,102
"['excuse', 'luncheon', 'Now', 'have']",1,0,46
['understand'],1,47,129
['/'],0,77,14
['but'],1,166,247
['do'],1,49,130
"['Okay', 'let']",0,33,0
['far'],1,27,97
"['faux', 'pas']",1,0,7
['executed'],1,0,38
['expects'],1,1,42
"['van', 'Woodsen', 'der', 'Serena']",1,0,14
['really'],1,11,67
['lacking'],1,2,45
[':'],0,200,116
"['dose', 'healthy']",1,0,10
['Still'],1,2,44
"['reputation', 'maintain']",1,2,28
['see'],1,29,96
['e.g.'],0,40,1
['curated'],1,1,40
['This'],0,184,102
['truly'],1,39,110
"['enough', 'valuable', 'already']",1,1,19
"['excuse', 'attend']",1,0,32
['if'],1,113,194
['As'],1,28,93
['also'],0,90,27
['Very'],1,3,44
['discussing'],1,2,41
"['constructed', 'carefully']",1,8,30
['indulge'],1,1,37
['merely'],1,14,67
['perhaps'],1,19,75
"['Considerations', 'Important', 'detailed']",0,15,0
['things'],1,26,85
['aiming'],0,35,1
['breakdown'],0,41,3
"['💅', '👑']",1,0,7
['word'],0,51,8
['dreadful'],1,0,29
['gala'],1,0,29
['plan'],1,2,36
"['matters', 'pressing']",1,0,11
['about'],1,99,171
"['Logline', 'Characters', '\n', ':*']",0,15,3
"['trigram', 'overlap', 'Overlap', '%', 'Trigram', 'text']",0,8,0
