pattern,group,count_0,count_1
"['(', ')']",0,161,92
"['---', '\n\n']",0,120,12
"['Let', '✨']",0,95,0
"['4', '5']",0,47,9
"['“', '”']",0,27,6
"['2', '3', '1']",0,58,16
"['afraid', 'Dave', 'do']",1,0,134
"['am', 'designed']",1,3,52
"[""'m"", 'sorry', 'ca', ""n't"", 'I']",1,19,134
"['?', 'Would']",0,54,3
"['I', 'help', 'you']",0,84,8
"['🌱', 'Every', 'step', 'toward']",0,40,0
"['have', 'ability']",1,6,84
"['’m', 'here', 'support', 'say', 'Just', 'word']",0,49,0
"['peace', '🌿']",0,50,0
"['’d', 'happy']",0,30,2
"['[', ']']",0,18,5
"['✅', '\n']",0,50,3
"['my', 'beyond']",1,1,45
"['do', 'n’t', 'need', 'You', 'just']",0,48,2
"['While', 'process', 'data']",1,1,42
"['version', '!']",0,46,1
"['But', 'trust', 'And']",1,4,91
['’s'],0,172,71
"['?', 'What']",0,38,16
['*'],0,214,115
[' \n'],0,220,123
"['🔍', 'Why']",0,22,0
"['7', '6', '8', '9', '10']",0,16,3
"['you', 'me', ""'d"", 'know', 'if', 'Let']",0,29,1
"['Want', 'Further', 'Explore', 'journal', 'building', 'How', 'use', '""', '?']",0,34,0
"['>', '💛', '💬', 'Thought', '🌟', 'And']",0,41,0
"['💛', 'me']",0,33,0
"['#', 'Final', ':', '>']",0,67,1
"['he', 'his']",0,17,4
"['!', 'Here']",0,35,0
['your'],0,110,44
"['shows', '’re', 'thinking', 'about', 'That']",0,14,0
['e.g.'],0,52,8
['such'],1,38,99
['showing'],0,28,0
"['down', 'break', '✅']",0,19,2
"['sky', 'light', 'A']",0,20,6
"['Or', 'build', 'how', 'create', 'life']",0,27,0
"['One', 'Discovery', 'follow', 'operation', 'we']",1,0,15
"['recovery', 'healing', 'life', 'daily']",0,35,0
"['connection', 'becomes', 'one', 'healing', 'reflect']",0,22,1
