pattern,group,count_0,count_1
"['’m', 'n’t']",0,44,1
"['or', '’re']",0,44,0
"['Truth', 'Tells']",1,0,42
"['believe', 'Now']",1,0,43
"['long', 'too']",1,0,43
"['now', 'One']",1,3,42
"['still', 'Not']",1,5,44
"['Perspective', 'From']",1,0,32
"['from', 'A']",1,4,44
"['No', 'Vampire']",1,0,37
"['1', '2', '3']",1,13,38
"['---', '#']",1,23,44
"['️', '🕯']",1,0,35
"['breathe', 'forgets']",1,0,24
"['(', ')']",1,17,34
"[' \n  ', '…']",1,0,41
"['halls', '18th', 'century', 'France']",1,0,29
"['through', 'hums']",1,0,35
"['5', '4']",1,6,35
"['yes', 'ask']",1,6,44
"['whisper', 'stillness']",1,0,30
['help'],0,36,1
['\n'],0,33,0
['go'],1,10,43
['if'],0,37,3
['ca'],0,31,0
"['nobleman', 'creature', 'wanderer', 'shadow', 'Lioncourt', 'eternal', 'Lestat', 'de', 'once', 'let', 'song', 'answer']",1,0,28
['power'],1,5,38
['way'],0,34,2
['am'],1,7,39
"['man', 'has', 'who']",1,0,41
"['Thought', ':*', 'Final']",0,18,0
['so'],0,32,3
['your'],0,33,4
['?'],1,19,44
['even'],1,19,44
['💛'],0,25,0
['centuries'],1,0,25
['Am'],1,0,25
"['Write', 'Or', 'sit']",0,13,0
['world'],1,8,37
['quiet'],1,11,39
"['kings', 'beggars', 'danced']",1,0,10
['human'],0,25,1
['feelings'],0,22,0
['how'],0,22,0
['🔥'],1,0,22
['So'],1,23,44
['remembers'],1,0,21
"['’', '‘', 'says']",1,0,9
['presence'],1,2,24
"['The', 'perfect', 'Final', 'It', 'soul', 'single', 'silence', 'truth', 'For', 'vampire', 'Ah', 'lived', 'Word', 'Shadow']",1,0,44
