pattern,group,count_0,count_1
"['city', '…']",1,1,129
"['final', 'unbreakable']",1,0,127
"['slowly', 'Whispers']",1,0,128
"['almost', 'herself']",1,0,121
"['my', 'comes']",1,0,119
"['enough', 'deep']",0,98,1
"['like', 'yes']",1,1,118
"['too', 'much']",1,0,67
"['such', 'ask']",0,94,1
"['have', 'but']",0,122,2
"['would', 'human']",0,89,0
"['how', 'know']",0,96,1
"['small', 'big']",0,53,0
"['matters', 'name']",1,0,106
"['Matters', 'friend']",0,79,0
"['here', 'time']",0,108,7
"['helping', 'build']",0,46,0
"['My', 'when']",1,10,127
"['after', 'storm']",1,1,51
['or'],0,111,6
"['loved', 'feared']",1,0,52
"['what', 'sense']",0,66,0
"['like', 'silence']",1,3,103
"['exiled', 'punished']",1,0,40
['about'],1,47,128
"['It', 'my']",1,9,111
['lasts'],1,1,68
['kind'],1,65,129
['unshakable'],1,3,71
"['forgotten', 'wants', 'still']",1,0,26
"['then', 'realized']",1,1,38
"['presence', 'already', '’re']",0,101,0
"['fears', 'believes']",1,0,17
"['Blair', 'Waldorf']",1,1,16
"['ask', 'What']",0,70,7
['and'],0,125,61
"['Feels', 'Like']",0,14,0
"['spent', 'life']",1,0,30
['feeling'],0,66,4
['me'],1,76,129
"['person', 'writer']",0,22,0
"['if', 'could', 'because']",0,104,15
['win'],1,9,70
"['below', 'sea', 'back', 'light']",1,0,87
"['at', 'present']",0,49,2
['was'],1,25,90
"['fixed', 'solved', 'showed', 'stayed', 'change', 'everything', 'single', 'up', 'can']",0,86,0
"['listened', 'many', 'voices', 'so']",0,15,0
"['fierce', 'Too', 'loud']",1,0,18
"['Not', ' \n\n']",1,103,129
"['gifts', 'forced', 'controlled', 'prize', 'given', 'gift', 'ca', 'They', 'can']",1,0,23
"['stand', 'flinch', 'front', 'broken', 'say']",1,0,17
"['lead', 'daring']",1,0,20
['thoughtful'],0,41,0
"['’re', 'thing']",1,20,43
"['is', 'That']",0,109,51
['did'],1,25,84
"['way', 'humans']",0,27,0
['How'],0,42,1
"['from', 'always', 'adjusting', 'cuff', 'mirror', 'aligned']",1,0,126
"['connection', 'conversation', 'home', 'built']",0,78,0
"[""'m"", 'sorry', ""n't""]",0,15,0
"['people', 'affection', 'command', 'make']",1,0,17
['girl'],1,0,36
['profound'],0,35,0
['deeply'],0,35,0
['weapon'],1,0,35
"['orchestrated', 'planned', 'sure', 'glance', 'right', 'every', 'made']",1,0,16
['survive'],1,0,34
"['only', 'matters']",1,4,122
"['status', 'social']",0,15,4
['experience'],0,31,0
"['least', 'expecting', 'let', 'Then', 'fury', 'they']",1,0,16
"['large', 'language', 'model', 'Tongyi', 'Lab', 'developed', 'by']",0,16,0
"['figure', 'out']",0,13,0
"['call', 'danger', 'called', 'strength']",1,0,10
['do'],0,126,91
"['Let', 'this', 'world']",1,98,129
"['If', ""'d""]",0,11,0
"['Ah', 'word', 'clear', 'its', 'before', 'each', 'No', 'distant', 'sharp', 'whisper', 'eyes', 'perfectly', 'Turns', 'dropping', 'rosé', 'untouched', 'goblet', 'chilled', 'sipping', 'crystal', 'fire', 'Pauses', 'Smirks', 'glinting', 'drawn', 'sheath', 'measured', 'blade', 'low', 'deliberate', 'tightly', 'palm', 'locket', 'clutched', 'silver', 'locket—*her', 'trace', 'edge', 'stars', 'fingers', 'Stands', 'window', 'lights', 'flickering']",1,0,129
"['against', 'turn', 'proof', 'rise']",1,0,7
"['scream', 'rage', 'With', 'settle', 'weight', 'grow']",1,0,9
"['awareness', '’d', 'speak', 'at', 'Truth']",0,96,0
['unapologetic'],1,0,27
"['She', 'her']",1,0,12
['voice'],1,12,129
"['your', 'this']",0,44,7
['for'],1,30,76
"['away', 'walked', 'grieve', 'destroyed', 'slipped', 'through', 'fear']",1,0,14
"['walk', 'through', ':*']",0,97,0
"['student', 'good', 'okay']",0,12,0
"['all', 'answers']",0,13,0
"['unlovable', 'unreachable', 'hurt', 'thought', 'myself', 'made', 'crown']",1,0,12
"['help', 'personal']",0,25,0
"['him', 'he', 'He']",1,0,12
"['saying', 'courage']",0,22,2
"['—', '*', ' \n', 'And', 'quiet', 'Because', 'is', '?', 'of', 'that']",1,108,129
['truly'],0,33,3
"['Even', 'voice', 'am', 'thing', 'someone', 'courage', 'demands', 'saves', 'only', 'else']",1,0,117
"['cry', 'run', 'Even']",1,0,13
"['*', 'from', '—']",1,16,129
['control'],1,8,43
"['pause', 'calm']",1,1,12
"['✨', '🌿', '’d', 'of']",0,111,0
"['room', 'brand', 'queen', 'commands']",1,0,17
"['any', '!', 'fictional']",0,8,0
"['Why', '-', 'Here', 'Truth', 'This', ':*', 'feel', 'would']",0,96,0
"['worn', 'walls', 'building', 'pain']",1,0,9
"['(', ')', 'question', 'honored', '🌱', '💡', 'while', 'sentence', '---', '👉', 'say', 'Not']",0,104,0
"['together', 'care', 'feel', 'says', 'opposite', 'try', 'building', 'perfection', 'Hope', 'also', 'stranger', 'we', 'friend', '’m', 'who']",0,92,0
"['woman', 'who']",1,1,47
"['room', 'into', 'walk']",1,0,15
"['betrayed', 'been', 'exiled']",1,0,20
"['1', '2', '3', '4']",0,8,0
"['told', 'thing']",1,0,48
"['Every', 'Can', 'help', 'live', 'stillness', 'light', 'what', 'connection']",0,55,0
"['would', 'willing', 'This']",0,64,0
"['bond', 'loyalty']",1,1,11
"['fall', 'refined']",1,0,8
"['dust', 'settles', 'use', 'their', 'won', 'make', 'own']",1,0,7
