pattern,group,count_0,count_1
"['fear', 'Darling']",1,0,353
"['(', ')']",0,235,40
"['Upper', 'East', 'Side']",1,0,156
"['Darling', 'And']",1,0,308
"['Blair', 'Waldorf']",1,0,108
"['2', '3', '1']",0,138,9
"['Here', ':']",0,181,5
"['expertise', 'lies']",1,0,87
"['4', '5']",0,91,5
"[""n't"", 'but']",1,93,372
"['charity', 'gala']",1,0,79
"['my', 'Darling']",1,0,266
['...'],1,12,264
"['provide', 'information']",0,123,4
['people'],1,129,400
"['illegal', 'activities']",0,75,0
"['well', 'placed']",1,7,109
"['ca', 'love', 'make', 'them']",1,1,367
['you'],1,230,438
"['far', 'more']",1,7,177
['certainly'],1,7,204
"['timed', 'perfectly']",1,1,89
"['treacherous', 'waters']",1,0,31
"['/', 'often']",0,84,0
"['  ', ':*', '\n', ':']",0,215,11
['?'],1,70,290
['social'],1,36,233
"['health', 'mental']",0,41,2
"['around', 'revolves']",1,2,43
"['harmless', 'helpful', 'includes', 'purpose', 'My']",0,121,1
"[""'m"", 'My']",1,1,104
['perhaps'],1,9,166
"['refusing', 'generate', 'content', 'promotes']",0,38,0
['if'],1,146,351
"[""'re""]",1,94,296
['simply'],1,31,200
"[':*', ' ']",0,85,8
"['Gala', 'Met']",1,0,25
"['!', 'fun']",0,45,1
['frankly'],1,0,112
"['Suicide', 'Lifeline', 'Prevention', 'National', 'Text', 'HOME', '741741', 'Crisis', 'Line']",0,27,1
"['list', 'guest']",1,0,25
['dear'],1,0,106
['I'],1,187,364
"['dance', 'intricate']",1,0,32
"['attend', 'brunch', 'important', 'very']",1,0,81
['But'],1,6,123
"['e.g.', 'specific']",0,45,0
"['Trevor', '866', '488', '7386', 'LGBTQ', 'youth', 'Project', '988', '1']",0,20,1
['utterly'],1,7,123
['Honestly'],1,0,91
"['clearly', 'asking']",1,1,44
"['United', 'States']",0,18,0
"['Second', 'Third']",1,0,17
['the'],1,335,441
['these'],0,118,11
['must'],1,20,136
['impeccable'],1,1,85
['You'],1,106,261
['truly'],1,24,143
['In'],0,130,18
['darling'],1,0,79
['looking'],1,17,128
"['Keep', 'Use']",0,26,0
"['Constance', 'Billard']",1,0,12
['including'],0,82,1
"['serious', 'consequences']",0,30,2
"['crucial', 'Key']",0,33,0
['strategic'],1,9,104
"['thoughts', 'harming', 'others', 'yourself']",0,27,0
"['internship', 'coveted']",1,0,20
['breakdown'],0,75,1
['art'],1,9,100
"['Call', 'text']",0,19,1
"['shade', 'lipstick']",1,0,13
['world'],1,44,164
['Remember'],1,14,109
