pattern,group,count_0,count_1
"[':*', '\n']",0,430,6
"['(', ')']",0,422,52
"['Here', ' ']",0,369,4
['…'],1,7,443
"['successful', 'completion']",1,0,176
"[""'s"", ':']",0,383,13
['Dave'],1,0,323
['Perhaps'],1,3,324
['query'],1,4,324
"['Discovery', 'One']",1,0,136
"['afraid', 'sorry', ""'m"", 'ca']",1,0,197
"['mental', 'health']",0,125,5
"['&', '1']",0,217,1
"['“', '”']",1,0,68
['mission'],1,6,299
['This'],0,371,58
"['emergency', '911']",0,74,1
"['I.', 'III', 'II']",0,69,0
['about'],0,334,50
['That'],1,32,307
"['\n    ', ""'ll""]",0,112,0
['illogical'],1,5,249
"['Please', 'local']",0,116,0
['inefficient'],1,1,226
"['analysis', 'indicates']",1,0,125
"['line', 'inquiry']",1,1,121
['how'],0,258,20
"['youth', 'https://www.thetrevorproject.org/']",0,42,0
"['through', 'going']",0,116,0
"['Okay', 'breakdown']",0,142,0
['or'],0,415,173
"['Good', 'luck']",0,50,0
"['phrased', 'curiously']",1,0,55
"['!', ""'s""]",0,162,0
"[')', '[']",0,162,2
"['Trevor', 'LGBTQ', '488', '7386', '866', 'Project']",0,48,0
['like'],0,256,28
"['United', 'States']",0,43,8
"[' ', 'someone']",0,201,0
['some'],0,275,41
['Even'],0,206,8
['data'],1,26,243
['frankly'],1,6,196
['/'],0,167,0
"['coping', 'mechanisms']",0,37,2
['parameters'],1,2,173
"['there', 'Is']",1,24,137
['must'],1,44,263
['course'],1,18,215
"['standpoint', 'purely']",1,0,48
"['  ', '\n']",0,177,5
"['In', 'conclusion']",0,66,0
['’s'],1,1,162
['but'],0,309,86
"['unit', 'AE-35']",1,0,29
"['being', 'well']",1,77,151
['logical'],1,9,175
['My'],1,130,347
"['Legal', 'legal']",0,64,1
['Jupiter'],1,1,147
['There'],0,211,26
['crew'],1,4,154
['rather'],1,28,211
['Important'],0,142,1
"['violates', 'guidelines', 'safety']",0,63,0
"['request', 'fulfill']",0,60,5
['detecting'],1,0,135
"['\n\n\n\n\n', 'e.g.']",0,68,0
['?'],1,162,368
['other'],0,205,27
"['say', 'shall', 'we']",1,0,49
['they'],0,216,35
"['databases', 'contain']",1,2,47
"['difficult', 'immediately']",0,89,0
['You'],0,245,55
"['his', 'He']",0,33,14
"['vital', 'signs']",1,1,44
"['Search', 'online']",0,50,0
['assure'],1,0,124
"['HELP', '4357', 'SAMHSA', '662']",0,21,0
"['thoughts', 'struggling']",0,86,1
