pattern,group,count_0,count_1
"['thing', 'truly']",1,1,401
"['Because', 'sometimes']",1,1,392
"['“', '”']",1,82,301
"['choose', 'matters']",1,5,398
"['💛', 'support']",0,428,0
"['(', ')']",0,303,216
"['toward', 'Every', 'step']",0,261,1
"['peace', '🌱']",0,312,3
"['say', 'word']",1,332,403
"['---', '#', '💬', 'Final', '>', '\n\n']",0,302,236
"['So', 'ahead', 'go']",1,3,322
"['use', 'healing']",0,258,2
"['learned', '’ve']",1,1,108
"['build', 'life']",0,298,15
"['If', 'ca']",1,188,427
"['show', 'up']",0,141,17
"['\n', '\n\n']",0,213,1
['Let'],0,378,100
"['assist', ""'re""]",0,125,80
"['most', 'only', 'powerful']",1,11,396
"['say', 'Say']",1,11,226
['’d'],1,185,413
"['sorry', '💫']",1,0,206
['here'],0,408,196
['care'],0,381,159
"['-', ':']",0,377,337
['🌿'],0,378,167
"['reminds', 'us']",0,38,2
"['️', '❤']",1,6,54
"['ignored', 'chooses', 'make', 'says', 'who', 'person']",1,0,217
['❌'],0,164,20
"['strength', 'true', 'where', 'world']",1,4,106
"['his', 'he']",0,25,9
"['support', 'powerful']",0,156,90
['peace'],0,401,70
"['long', 'term']",0,31,14
['💛'],0,446,0
"['That', '?', 'And']",1,231,401
"['What', 'And']",0,211,107
"['Why', 'Is']",0,101,35
['grow'],0,185,47
"['🚫', 'NOT']",0,36,1
"['playful', 'humor']",0,25,9
['your'],0,346,194
"['👉', ':']",1,4,152
"['5', 'yes—*you', '4']",1,0,49
"['A', 'Thought']",0,133,1
"['Would', '?']",0,86,5
"['If', 'need']",1,127,177
"['you', 'to']",0,448,438
"['✅', '1', '2', '3']",0,112,80
"['thought', 'case', 'fears', 'Blair', 'style', 'Note', 'fear', 'them', 'love', 'A', 'this', 'being', 'The', 'people', 'ignored', 'make']",1,0,236
['track'],0,70,1
['suggest'],1,5,82
['especially'],0,198,72
['You'],0,417,311
['with'],0,438,354
"['more', 'than']",0,40,18
['on'],0,295,163
"['best', 'Best']",0,28,12
"['\n  ', ' \n  ']",0,61,1
"['no', 'There']",0,39,16
['thoughtful'],0,122,28
"['fair', 'fairness']",0,21,7
"['Recovery', 'Especially', 'Matters', 'Why']",0,35,0
['but'],1,371,442
"['Or', 'how', 'How']",0,208,6
['reminder'],0,98,17
"['Does', 'Mean']",0,17,4
"['Use', 'Do', 'How', '4']",0,51,29
"['Do', 'Can']",0,55,20
"[""'m"", ""n't"", 'sorry', 'ca']",0,168,66
['’m'],0,394,296
['form'],0,107,26
"['reflect', 'vision', 'world', 'where']",0,75,1
"['💫', 'P.S.', 'If']",1,0,373
"['memory', 'honor']",0,20,7
"['emotions', 'manage']",0,30,14
"['printable', 'version', '!', 'happy']",0,20,0
['including'],0,102,27
"['present', 'perfect', 'step']",0,55,14
"['we', 'We', 'people']",0,47,8
"['💡', 'Ah', 'question', 'says']",1,0,136
['like'],1,341,418
['they'],0,167,73
"['small', 'simple', 'Step', 'by']",0,23,9
"['shows', '5', '4', '3', '2', '1']",0,70,12
"['reflect', 'moment']",0,96,8
"['With', 'Care']",0,16,3
"['one', 'becomes', 'question']",0,194,2
['values'],0,135,52
"['trusted', 'resources', 'reach', 'out', 'assist', 'sorry']",1,8,26
"['focus', 'routine']",0,30,5
['everything'],0,74,15
['important'],0,111,37
"['fun', 'joy', '!']",0,24,2
"['metaphor', 'Question']",0,14,2
"['character', 'characters', 'symbol', 'fictional', 'does']",0,16,2
['want'],1,62,146
"['Tips', 'Pro']",1,0,9
"['let', 'beautiful', 'Not']",1,7,38
"['🌟', 'create', 'life']",0,233,1
['meaningful'],0,96,31
"['saying', 'About']",1,1,22
['see'],1,36,103
['clarity'],0,111,42
"['building', 'connection', 'Just', 'How', '""', 'Thought', 'need']",0,260,0
"['create', 'begin', '""']",0,130,0
"['tool', 'as', 'How']",0,186,5
"['thinking', 'shows', 'one', 'question', '’re', 'need', '---', '#']",0,183,0
"['sit', 'silence', 'And']",1,2,28
['In'],0,234,144
['|'],0,77,21
"['recovery', 'daily', '💬', '>']",0,188,1
['about'],0,365,285
"['📚', 'history', 'The']",1,5,33
['for'],0,341,257
"['give', 'absolutely', 'me']",1,0,23
['even'],0,122,53
['peaceful'],0,62,14
['can'],1,374,428
['all'],0,90,31
"['Want', 'Further', 'Explore', 'journal', '?', 'Just', 'building']",0,245,0
