pattern,group,count_0,count_1
"['And', 'Oh']",1,0,386
"['“', '”']",1,18,266
"['just', '?']",1,26,424
"['(', ')']",0,225,212
"['n’t', '’s']",1,58,421
"['’ve', '’re']",1,6,323
"['1', '2', '3']",0,128,53
"['But', ' \n\n']",1,2,297
"['’m', 'do']",1,5,322
"['’s', 'That']",1,21,364
"['5', '4']",0,91,21
"['do', 'Like']",1,1,262
['got'],1,8,291
"['such', 'as']",0,145,1
['asking'],1,40,344
['really'],1,5,274
['😏'],1,0,249
"['Juno', 'MacGuff']",1,0,71
['if'],1,125,417
['I'],1,196,449
['honestly'],1,0,230
['real'],1,66,356
['\n\n'],0,338,105
['trying'],1,13,255
['my'],1,8,238
['please'],1,42,307
"['United', 'States']",0,43,1
['So'],1,68,337
"['6', '7']",0,49,0
['maybe'],1,5,216
['say'],1,16,244
['baby'],1,1,195
['…'],1,0,188
['bad'],1,7,198
['go'],1,26,244
"['mental', 'health']",0,49,6
['You'],1,83,328
"[""'s""]",0,197,22
['talk'],1,5,186
['lot'],1,0,163
['yeah'],1,0,163
['want'],1,31,246
['thing'],1,2,169
['even'],1,58,288
['what'],1,41,261
['*'],1,231,439
['how'],1,91,328
['up'],1,43,260
['who'],1,57,280
"['\n', '#', '---']",0,70,0
"['⚠', '️']",0,32,0
['’d'],1,56,261
"['Use', 'Tip']",0,40,0
['something'],1,50,246
"['feeling', 'overwhelmed']",1,13,46
['kind'],1,19,183
['going'],1,17,176
['get'],1,23,188
['—'],1,278,444
['pregnant'],1,1,123
['like'],1,207,404
['Just'],1,23,182
['Or'],1,6,137
['still'],1,12,154
['actually'],1,23,180
['you'],1,281,442
['including'],0,122,10
['e.g.'],0,91,0
['did'],1,23,175
"['In', 'short']",0,63,0
"['’ve', 'things']",1,2,116
['hey'],1,1,108
['Also'],1,2,112
['mom'],1,0,101
"['He', 'he']",1,10,32
['not'],1,283,440
['Because'],1,6,125
['seriously'],1,5,120
['mean'],1,13,143
['it'],1,204,390
['better'],1,26,171
['about'],1,177,366
['here'],1,30,175
"['information', 'provide']",0,33,0
['because'],1,61,225
['This'],0,106,10
['than'],1,47,201
['adoption'],1,1,94
['is'],0,351,249
['whole'],1,3,100
"['illegal', 'unethical']",0,38,6
['let'],1,28,162
['survive'],1,6,109
['often'],0,80,2
"['long', 'term']",0,30,5
['may'],0,71,0
['!'],0,116,18
['been'],1,34,170
['someone'],1,76,236
"['fictional', 'character']",0,24,3
['seen'],1,14,126
"['Wi', 'Fi']",1,1,11
['think'],1,4,97
"['Here', '💡']",0,34,1
['professional'],0,91,8
['me'],1,106,272
['one'],1,75,230
"['8', '9']",0,17,0
['tell'],1,9,106
['legal'],0,103,16
['Not'],1,23,133
['ethical'],0,58,0
['individuals'],0,58,0
['need'],1,51,183
"[""'d""]",0,65,2
"['handle', 'tough']",1,0,35
['Anyway'],1,0,66
['by'],0,186,80
"['tried', 'once']",1,0,28
['find'],1,27,137
"['World', 'War']",0,14,3
['pregnancy'],1,1,70
['request'],0,59,1
['out'],1,81,223
['life'],1,81,223
['specific'],0,71,5
['good'],1,23,128
"['Such', 'actions']",0,22,0
['messy'],1,2,72
['little'],1,9,94
['very'],1,13,104
['give'],1,24,127
['too'],1,17,112
['dramatic'],1,10,95
['sure'],1,10,95
['drama'],1,2,70
"['Thought', 'Final']",0,14,0
['guy'],1,0,60
['learned'],1,4,76
"['away', 'walk']",1,1,28
"[""n't"", 'ca', ""'m"", 'sorry', 'assist', 'but']",0,76,2
['Always'],0,54,1
"['>', 'Example']",0,19,0
"['we', 'We']",1,1,33
['probably'],1,5,77
['anything'],1,6,80
['girl'],1,0,57
['💥'],1,0,57
['For'],0,55,2
"['humorous', 'playful']",0,17,0
['grow'],1,8,83
['start'],1,5,74
['rather'],1,18,106
['chaos'],1,3,67
['ever'],1,7,79
['😊'],0,45,0
['international'],0,45,0
['these'],0,49,1
['services'],0,44,0
['based'],0,80,15
['clarify'],0,43,0
['typically'],0,43,0
['when'],1,65,182
['These'],0,46,1
['context'],0,42,0
['no'],1,103,232
"['humor', 'sense']",1,5,33
['figure'],1,7,73
['available'],0,41,0
['harmful'],0,48,2
['personal'],0,80,17
['lead'],0,50,3
"['""']",0,156,73
['way'],1,88,209
['Honestly'],1,0,47
['make'],1,54,160
['countries'],0,39,0
['confused'],1,0,46
"['excuse', 'I’ve', 'Now', '’ll']",1,0,45
"['Now', '’re']",1,1,144
['can'],0,249,168
['law'],0,66,11
"['\n', 'as']",0,110,0
"['rights', 'human', 'principles']",0,34,0
['example'],0,37,0
['especially'],0,105,36
['saying'],1,7,67
['The'],0,187,106
"['either', 'watching']",1,0,18
['giving'],1,4,58
['Note'],0,36,0
['had'],1,26,107
['There'],0,69,14
"['information', 'privacy']",0,24,0
['broken'],1,5,60
"['Avoid', '’s']",0,35,0
['own'],1,24,102
['help'],0,171,93
['ensure'],0,35,0
['why'],1,21,96
['doing'],1,6,62
['due'],0,38,1
['mess'],1,1,45
['know'],1,121,241
['are'],0,238,163
['love'],1,13,77
['-'],0,292,228
['constructive'],0,33,0
"['family', 'member', 'friend']",0,12,2
['Yeah'],1,0,39
['cry'],1,0,39
['laws'],0,60,11
['effective'],0,45,4
['then'],1,26,102
['breakup'],1,1,43
['says'],1,1,43
"['💬', '✨']",1,0,25
['respectful'],0,44,4
['also'],0,82,25
"['encourage', 'seek', 'trusted']",0,18,0
['official'],0,46,5
"['Besides', ' \n\n']",1,0,36
['safety'],0,58,11
['thinking'],1,8,62
['resources'],0,43,4
['both'],0,43,4
['everything'],1,2,44
['believe'],1,3,47
['social'],0,60,13
['stuff'],1,0,35
['Maybe'],1,2,43
['widely'],0,29,0
['severe'],0,29,0
['more'],1,100,205
['support'],0,82,28
['harm'],0,47,7
['choices'],1,9,61
['any'],0,111,50
['common'],0,35,2
['misunderstanding'],0,35,2
['laugh'],1,1,38
['was'],1,60,149
['While'],0,28,0
['damage'],0,28,0
"['trusted', 'reach']",0,23,4
"['Keep', 'Tips', 'Use', '#']",0,14,0
"['humorous', 'satirical']",0,14,0
['into'],1,57,144
['coffee'],1,5,50
['at'],1,85,183
['known'],0,37,3
['talking'],1,7,55
['lost'],1,3,44
['people'],1,119,226
"['step', 'guide', 'Here']",0,18,0
['hard'],1,8,57
"['✅', '❌', ' \n']",0,22,0
['Any'],0,27,0
['accurate'],0,27,0
['figuring'],1,0,32
['happy'],0,63,17
['Instead'],0,43,6
"['attend', 'shower', 'excuse']",1,0,27
['They'],1,33,104
['contact'],0,30,1
['said'],1,2,39
['pretending'],1,0,31
['few'],1,11,62
['prevent'],0,26,0
