pattern,group,count_0,count_1
"['(', ')']",0,125,74
['like'],1,111,245
"['I', 'my']",1,16,99
"['---', '\n\n']",0,54,17
"['her', 'she']",1,11,30
['Belle'],1,0,74
"['forest', 'hunt']",1,0,41
"['at', 'least']",0,40,18
['strength'],1,16,99
"['we', 'We']",0,37,13
['hunting'],1,2,65
['pride'],1,3,63
"['tell', 'me', 'you']",1,0,47
"['Final', '✅', '→']",0,25,2
"['tall', 'stand']",1,2,27
['’d'],1,6,64
"['do', 'n’t', 'what']",1,11,73
"['12', '9', '7', '10', '6']",0,14,3
"['For', 'example']",0,21,4
"['let', '’re']",1,4,39
['no'],1,74,156
"['3', '2', '1', '4', '5']",0,38,17
['win'],1,0,41
"['I', '’ve', 'seen']",1,5,64
"['’ve', '’ll']",1,5,45
['deer'],1,0,39
"['=', '$']",0,16,4
"[""'m"", 'sorry', ""n't"", 'ca', 'I']",1,1,26
"['And', 'But', 'I', 'if', 'you']",1,12,64
['just'],1,68,140
['—'],1,165,228
['heart'],1,16,68
"['\n', '#', 'Let']",0,17,0
"['know', 'me']",1,18,61
['’m'],1,7,50
"['bit', 'little']",1,0,13
"['Below', 'Certainly', 'e.g.']",0,11,0
['spent'],1,1,34
['neither'],1,0,30
['charm'],1,0,30
['This'],0,131,56
['’s'],1,120,185
"['values', 'education']",0,14,1
['never'],1,31,87
['beast'],1,0,29
['truth'],1,25,77
"['who', 'man', 'one']",1,9,70
"['fights', 'Gaston', 'one', 'No']",1,0,227
"['hunter', 'Gaston']",1,0,99
"['his', 'he', 'eyes', 'He']",1,4,17
"['For', 'instance']",0,20,4
"['?', 'That', 'And', 'one']",1,9,67
